date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,15534,17259,1725,10.0
2011-02-01,15587,17292,1705,9.9
2011-03-01,15882,17495,1613,9.2
2011-04-01,15855,17296,1441,8.3
2011-05-01,15963,17407,1444,8.3
2011-06-01,16369,17931,1562,8.7
2011-07-01,16262,17799,1537,8.6
2011-08-01,16051,17545,1494,8.5
2011-09-01,16144,17617,1473,8.4
2011-10-01,16183,17631,1448,8.2
2011-11-01,16072,17475,1403,8.0
2011-12-01,15946,17353,1407,8.1
2012-01-01,15661,17213,1552,9.0
2012-02-01,15765,17314,1549,8.9
2012-03-01,16020,17468,1448,8.3
2012-04-01,15952,17240,1288,7.5
2012-05-01,16128,17429,1301,7.5
2012-06-01,16818,18230,1412,7.7
2012-07-01,16969,18355,1386,7.6
2012-08-01,16461,17786,1325,7.4
2012-09-01,16685,17901,1216,6.8
2012-10-01,16502,17735,1233,7.0
2012-11-01,16450,17672,1222,6.9
2012-12-01,16407,17689,1282,7.2
2013-01-01,16113,17531,1418,8.1
2013-02-01,16214,17612,1398,7.9
2013-03-01,16363,17646,1283,7.3
2013-04-01,16422,17606,1184,6.7
2013-05-01,16561,17784,1223,6.9
2013-06-01,16997,18323,1326,7.2
2013-07-01,16985,18255,1270,7.0
2013-08-01,16733,17938,1205,6.7
2013-09-01,16729,17852,1123,6.3
2013-10-01,16546,17678,1132,6.4
2013-11-01,16453,17571,1118,6.4
2013-12-01,16464,17550,1086,6.2
2014-01-01,16465,17691,1226,6.9
2014-02-01,16334,17585,1251,7.1
2014-03-01,16585,17770,1185,6.7
2014-04-01,16213,17237,1024,5.9
2014-05-01,16314,17359,1045,6.0
2014-06-01,16665,17789,1124,6.3
2014-07-01,16724,17866,1142,6.4
2014-08-01,16568,17648,1080,6.1
2014-09-01,16425,17389,964,5.5
2014-10-01,16535,17505,970,5.5
2014-11-01,16308,17292,984,5.7
2014-12-01,16172,17143,971,5.7
