date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,46836,52025,5189,10.0
2011-02-01,46871,52050,5179,10.0
2011-03-01,47435,52334,4899,9.4
2011-04-01,47697,52104,4407,8.5
2011-05-01,47508,51962,4454,8.6
2011-06-01,47658,52435,4777,9.1
2011-07-01,47860,52818,4958,9.4
2011-08-01,47429,52212,4783,9.2
2011-09-01,47692,52120,4428,8.5
2011-10-01,47673,52005,4332,8.3
2011-11-01,47740,51879,4139,8.0
2011-12-01,47788,52075,4287,8.2
2012-01-01,46664,51306,4642,9.0
2012-02-01,46814,51609,4795,9.3
2012-03-01,47395,51880,4485,8.6
2012-04-01,47494,51544,4050,7.9
2012-05-01,47707,51825,4118,7.9
2012-06-01,48100,52640,4540,8.6
2012-07-01,48367,52942,4575,8.6
2012-08-01,47724,52030,4306,8.3
2012-09-01,47959,51849,3890,7.5
2012-10-01,48314,52334,4020,7.7
2012-11-01,48355,52315,3960,7.6
2012-12-01,48295,52377,4082,7.8
2013-01-01,47500,52132,4632,8.9
2013-02-01,47561,52178,4617,8.8
2013-03-01,48079,52468,4389,8.4
2013-04-01,48360,52372,4012,7.7
2013-05-01,48413,52424,4011,7.7
2013-06-01,48692,53134,4442,8.4
2013-07-01,49035,53307,4272,8.0
2013-08-01,48665,52655,3990,7.6
2013-09-01,48742,52426,3684,7.0
2013-10-01,48715,52338,3623,6.9
2013-11-01,49171,52672,3501,6.6
2013-12-01,48947,52344,3397,6.5
2014-01-01,48683,52532,3849,7.3
2014-02-01,48495,52453,3958,7.5
2014-03-01,49089,52920,3831,7.2
2014-04-01,48961,52188,3227,6.2
2014-05-01,49041,52352,3311,6.3
2014-06-01,49425,52938,3513,6.6
2014-07-01,49745,53468,3723,7.0
2014-08-01,49248,52804,3556,6.7
2014-09-01,49435,52480,3045,5.8
2014-10-01,49826,52846,3020,5.7
2014-11-01,50139,53181,3042,5.7
2014-12-01,50034,53083,3049,5.7
