date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,72894,78331,5437,6.9
2011-02-01,73262,78620,5358,6.8
2011-03-01,74063,79361,5298,6.7
2011-04-01,73727,78741,5014,6.4
2011-05-01,73642,78854,5212,6.6
2011-06-01,73634,79285,5651,7.1
2011-07-01,74387,80177,5790,7.2
2011-08-01,73729,79451,5722,7.2
2011-09-01,73602,79057,5455,6.9
2011-10-01,74101,79381,5280,6.7
2011-11-01,74064,79015,4951,6.3
2011-12-01,74081,79005,4924,6.2
2012-01-01,73258,78521,5263,6.7
2012-02-01,73898,79298,5400,6.8
2012-03-01,74716,80027,5311,6.6
2012-04-01,74493,79440,4947,6.2
2012-05-01,74429,79571,5142,6.5
2012-06-01,74265,79911,5646,7.1
2012-07-01,75155,80936,5781,7.1
2012-08-01,74178,79686,5508,6.9
2012-09-01,74672,79668,4996,6.3
2012-10-01,75545,80652,5107,6.3
2012-11-01,75177,80129,4952,6.2
2012-12-01,75057,80110,5053,6.3
2013-01-01,74462,80013,5551,6.9
2013-02-01,75117,80598,5481,6.8
2013-03-01,75634,80931,5297,6.5
2013-04-01,75805,80782,4977,6.2
2013-05-01,75758,80999,5241,6.5
2013-06-01,75588,81265,5677,7.0
2013-07-01,76467,82049,5582,6.8
2013-08-01,75259,80602,5343,6.6
2013-09-01,75381,80347,4966,6.2
2013-10-01,75322,80748,5426,6.7
2013-11-01,75632,80323,4691,5.8
2013-12-01,75424,79760,4336,5.4
2014-01-01,74763,79487,4724,5.9
2014-02-01,75416,80270,4854,6.0
2014-03-01,75913,80717,4804,6.0
2014-04-01,75791,80017,4226,5.3
2014-05-01,76030,80568,4538,5.6
2014-06-01,76286,81111,4825,5.9
2014-07-01,77007,82163,5156,6.3
2014-08-01,75830,80753,4923,6.1
2014-09-01,76244,80546,4302,5.3
2014-10-01,76741,81018,4277,5.3
2014-11-01,76661,80853,4192,5.2
2014-12-01,76527,80480,3953,4.9
