date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,13969,15969,2000,12.5
2011-02-01,14092,16129,2037,12.6
2011-03-01,14306,16280,1974,12.1
2011-04-01,14304,16088,1784,11.1
2011-05-01,14620,16392,1772,10.8
2011-06-01,15328,17189,1861,10.8
2011-07-01,15380,17233,1853,10.8
2011-08-01,15152,16962,1810,10.7
2011-09-01,15132,16921,1789,10.6
2011-10-01,14933,16698,1765,10.6
2011-11-01,14765,16492,1727,10.5
2011-12-01,14400,16218,1818,11.2
2012-01-01,13758,15733,1975,12.6
2012-02-01,13917,15867,1950,12.3
2012-03-01,14256,16083,1827,11.4
2012-04-01,14256,15948,1692,10.6
2012-05-01,14537,16219,1682,10.4
2012-06-01,15360,17089,1729,10.1
2012-07-01,15334,17118,1784,10.4
2012-08-01,14820,16505,1685,10.2
2012-09-01,14844,16443,1599,9.7
2012-10-01,14454,16074,1620,10.1
2012-11-01,14254,15849,1595,10.1
2012-12-01,13996,15716,1720,10.9
2013-01-01,13712,15605,1893,12.1
2013-02-01,13832,15641,1809,11.6
2013-03-01,14098,15780,1682,10.7
2013-04-01,14207,15801,1594,10.1
2013-05-01,14547,16088,1541,9.6
2013-06-01,15038,16646,1608,9.7
2013-07-01,15213,16778,1565,9.3
2013-08-01,14905,16388,1483,9.0
2013-09-01,14856,16271,1415,8.7
2013-10-01,14658,16069,1411,8.8
2013-11-01,14450,15842,1392,8.8
2013-12-01,14236,15633,1397,8.9
2014-01-01,14073,15576,1503,9.6
2014-02-01,14231,15713,1482,9.4
2014-03-01,14565,16001,1436,9.0
2014-04-01,14227,15493,1266,8.2
2014-05-01,14401,15681,1280,8.2
2014-06-01,15100,16421,1321,8.0
2014-07-01,15106,16437,1331,8.1
2014-08-01,14973,16246,1273,7.8
2014-09-01,14910,16070,1160,7.2
2014-10-01,14751,15921,1170,7.3
2014-11-01,14422,15683,1261,8.0
2014-12-01,14055,15323,1268,8.3
