date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,119415,128298,8883,6.9
2011-02-01,119094,127904,8810,6.9
2011-03-01,120277,128806,8529,6.6
2011-04-01,119795,127790,7995,6.3
2011-05-01,119957,128219,8262,6.4
2011-06-01,120873,129836,8963,6.9
2011-07-01,122208,130923,8715,6.7
2011-08-01,120496,129012,8516,6.6
2011-09-01,120587,128870,8283,6.4
2011-10-01,120927,128981,8054,6.2
2011-11-01,120613,128148,7535,5.9
2011-12-01,120631,128183,7552,5.9
2012-01-01,119222,127489,8267,6.5
2012-02-01,119417,127911,8494,6.6
2012-03-01,120574,128699,8125,6.3
2012-04-01,120146,127494,7348,5.8
2012-05-01,120652,128324,7672,6.0
2012-06-01,122391,130696,8305,6.4
2012-07-01,123864,132047,8183,6.2
2012-08-01,121802,129608,7806,6.0
2012-09-01,121850,129128,7278,5.6
2012-10-01,122237,129654,7417,5.7
2012-11-01,121554,128747,7193,5.6
2012-12-01,121622,128945,7323,5.7
2013-01-01,120830,129061,8231,6.4
2013-02-01,120532,128608,8076,6.3
2013-03-01,121236,128984,7748,6.0
2013-04-01,121618,128779,7161,5.6
2013-05-01,121829,129397,7568,5.8
2013-06-01,122813,131059,8246,6.3
2013-07-01,124222,131956,7734,5.9
2013-08-01,122536,129847,7311,5.6
2013-09-01,122091,129093,7002,5.4
2013-10-01,120943,128177,7234,5.6
2013-11-01,121115,127681,6566,5.1
2013-12-01,121244,127373,6129,4.8
2014-01-01,121397,128171,6774,5.3
2014-02-01,121131,128146,7015,5.5
2014-03-01,122146,128947,6801,5.3
2014-04-01,121769,127589,5820,4.6
2014-05-01,122052,128412,6360,5.0
2014-06-01,123297,130182,6885,5.3
2014-07-01,124071,131063,6992,5.3
2014-08-01,122908,129543,6635,5.1
2014-09-01,122525,128608,6083,4.7
2014-10-01,123042,129112,6070,4.7
2014-11-01,122619,128548,5929,4.6
2014-12-01,122596,128255,5659,4.4
