date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,14102,15768,1666,10.6
2011-02-01,14105,15753,1648,10.5
2011-03-01,14286,15790,1504,9.5
2011-04-01,14079,15353,1274,8.3
2011-05-01,14519,15732,1213,7.7
2011-06-01,15022,16358,1336,8.2
2011-07-01,15043,16395,1352,8.2
2011-08-01,14858,16142,1284,8.0
2011-09-01,14768,15938,1170,7.3
2011-10-01,14533,15706,1173,7.5
2011-11-01,14375,15524,1149,7.4
2011-12-01,14261,15571,1310,8.4
2012-01-01,14088,15663,1575,10.1
2012-02-01,14186,15758,1572,10.0
2012-03-01,14273,15711,1438,9.2
2012-04-01,14196,15366,1170,7.6
2012-05-01,14565,15814,1249,7.9
2012-06-01,15294,16625,1331,8.0
2012-07-01,15381,16691,1310,7.8
2012-08-01,14992,16185,1193,7.4
2012-09-01,14844,15899,1055,6.6
2012-10-01,14577,15700,1123,7.2
2012-11-01,14255,15533,1278,8.2
2012-12-01,14306,15625,1319,8.4
2013-01-01,14190,15897,1707,10.7
2013-02-01,14200,15837,1637,10.3
2013-03-01,14202,15703,1501,9.6
2013-04-01,14223,15470,1247,8.1
2013-05-01,14596,15819,1223,7.7
2013-06-01,15050,16351,1301,8.0
2013-07-01,15273,16527,1254,7.6
2013-08-01,15040,16187,1147,7.1
2013-09-01,14761,15832,1071,6.8
2013-10-01,14531,15551,1020,6.6
2013-11-01,14313,15350,1037,6.8
2013-12-01,14338,15480,1142,7.4
2014-01-01,14311,15685,1374,8.8
2014-02-01,14232,15646,1414,9.0
2014-03-01,14296,15609,1313,8.4
2014-04-01,14225,15252,1027,6.7
2014-05-01,14583,15584,1001,6.4
2014-06-01,14986,16045,1059,6.6
2014-07-01,15199,16289,1090,6.7
2014-08-01,14903,15935,1032,6.5
2014-09-01,14676,15599,923,5.9
2014-10-01,14619,15503,884,5.7
2014-11-01,14271,15236,965,6.3
2014-12-01,14147,15261,1114,7.3
