date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,122032,132447,10415,7.9
2011-02-01,122193,132555,10362,7.8
2011-03-01,123793,133782,9989,7.5
2011-04-01,124081,133367,9286,7.0
2011-05-01,124307,133834,9527,7.1
2011-06-01,124592,134808,10216,7.6
2011-07-01,125109,135407,10298,7.6
2011-08-01,124489,134526,10037,7.5
2011-09-01,124414,133986,9572,7.1
2011-10-01,125347,134703,9356,6.9
2011-11-01,125457,134248,8791,6.5
2011-12-01,125593,134429,8836,6.6
2012-01-01,124335,134027,9692,7.2
2012-02-01,124825,134724,9899,7.3
2012-03-01,126141,135592,9451,7.0
2012-04-01,126267,134954,8687,6.4
2012-05-01,126551,135618,9067,6.7
2012-06-01,127126,137029,9903,7.2
2012-07-01,127894,138020,10126,7.3
2012-08-01,126728,136448,9720,7.1
2012-09-01,127133,135969,8836,6.5
2012-10-01,128119,137084,8965,6.5
2012-11-01,127537,136253,8716,6.4
2012-12-01,127596,136531,8935,6.5
2013-01-01,125949,135991,10042,7.4
2013-02-01,126365,136199,9834,7.2
2013-03-01,127485,136857,9372,6.8
2013-04-01,127776,136429,8653,6.3
2013-05-01,127982,136997,9015,6.6
2013-06-01,128601,138351,9750,7.0
2013-07-01,129075,138522,9447,6.8
2013-08-01,127740,136709,8969,6.6
2013-09-01,127615,135946,8331,6.1
2013-10-01,127316,135499,8183,6.0
2013-11-01,127516,135249,7733,5.7
2013-12-01,127357,134596,7239,5.4
2014-01-01,125994,134080,8086,6.0
2014-02-01,126377,134725,8348,6.2
2014-03-01,127721,135872,8151,6.0
2014-04-01,128504,135554,7050,5.2
2014-05-01,128545,136025,7480,5.5
2014-06-01,129250,137279,8029,5.8
2014-07-01,129750,138242,8492,6.1
2014-08-01,128881,136966,8085,5.9
2014-09-01,128754,135894,7140,5.3
2014-10-01,129710,136790,7080,5.2
2014-11-01,129378,136261,6883,5.1
2014-12-01,129253,135841,6588,4.8
