date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,152967,161665,8698,5.4
2011-02-01,153062,161587,8525,5.3
2011-03-01,154894,163340,8446,5.2
2011-04-01,155478,163526,8048,4.9
2011-05-01,155653,164195,8542,5.2
2011-06-01,155700,165122,9422,5.7
2011-07-01,156317,165541,9224,5.6
2011-08-01,155622,164707,9085,5.5
2011-09-01,155401,164166,8765,5.3
2011-10-01,157011,165544,8533,5.2
2011-11-01,157340,165221,7881,4.8
2011-12-01,157498,165289,7791,4.7
2012-01-01,157833,166183,8350,5.0
2012-02-01,158182,166714,8532,5.1
2012-03-01,159632,168036,8404,5.0
2012-04-01,159901,167669,7768,4.6
2012-05-01,160329,168596,8267,4.9
2012-06-01,160682,169916,9234,5.4
2012-07-01,161463,170520,9057,5.3
2012-08-01,160393,169209,8816,5.2
2012-09-01,160806,168867,8061,4.8
2012-10-01,162432,170630,8198,4.8
2012-11-01,161903,169746,7843,4.6
2012-12-01,162066,169893,7827,4.6
2013-01-01,162253,170910,8657,5.1
2013-02-01,162472,171002,8530,5.0
2013-03-01,163668,172116,8448,4.9
2013-04-01,164093,171983,7890,4.6
2013-05-01,164455,173058,8603,5.0
2013-06-01,165045,174599,9554,5.5
2013-07-01,165514,174490,8976,5.1
2013-08-01,164071,172629,8558,5.0
2013-09-01,163899,171933,8034,4.7
2013-10-01,163764,171999,8235,4.8
2013-11-01,164281,171676,7395,4.3
2013-12-01,164131,170864,6733,3.9
2014-01-01,164129,171557,7428,4.3
2014-02-01,164357,171980,7623,4.4
2014-03-01,165898,173549,7651,4.4
2014-04-01,167002,173636,6634,3.8
2014-05-01,167212,174623,7411,4.2
2014-06-01,168011,176185,8174,4.6
2014-07-01,168558,177035,8477,4.8
2014-08-01,167472,175544,8072,4.6
2014-09-01,167130,174373,7243,4.2
2014-10-01,168729,175901,7172,4.1
2014-11-01,168470,175418,6948,4.0
2014-12-01,168430,174833,6403,3.7
