date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,9227,10260,1033,10.1
2011-02-01,9384,10370,986,9.5
2011-03-01,9749,10639,890,8.4
2011-04-01,9601,10418,817,7.8
2011-05-01,9846,10685,839,7.9
2011-06-01,10423,11344,921,8.1
2011-07-01,10598,11497,899,7.8
2011-08-01,10435,11329,894,7.9
2011-09-01,10384,11224,840,7.5
2011-10-01,9892,10714,822,7.7
2011-11-01,9785,10567,782,7.4
2011-12-01,9579,10385,806,7.8
2012-01-01,9056,10033,977,9.7
2012-02-01,9305,10262,957,9.3
2012-03-01,9662,10532,870,8.3
2012-04-01,9567,10331,764,7.4
2012-05-01,9820,10583,763,7.2
2012-06-01,10649,11483,834,7.3
2012-07-01,10929,11769,840,7.1
2012-08-01,10299,11084,785,7.1
2012-09-01,10235,10940,705,6.4
2012-10-01,9723,10437,714,6.8
2012-11-01,9613,10325,712,6.9
2012-12-01,9478,10214,736,7.2
2013-01-01,9067,9975,908,9.1
2013-02-01,9169,10052,883,8.8
2013-03-01,9484,10307,823,8.0
2013-04-01,9508,10235,727,7.1
2013-05-01,9623,10361,738,7.1
2013-06-01,10180,10980,800,7.3
2013-07-01,10308,11069,761,6.9
2013-08-01,10071,10803,732,6.8
2013-09-01,9897,10565,668,6.3
2013-10-01,9610,10252,642,6.3
2013-11-01,9528,10159,631,6.2
2013-12-01,9452,10101,649,6.4
2014-01-01,9154,9970,816,8.2
2014-02-01,9269,10109,840,8.3
2014-03-01,9679,10428,749,7.2
2014-04-01,9440,10047,607,6.0
2014-05-01,9534,10145,611,6.0
2014-06-01,10045,10700,655,6.1
2014-07-01,10218,10891,673,6.2
2014-08-01,10131,10777,646,6.0
2014-09-01,10182,10752,570,5.3
2014-10-01,10013,10576,563,5.3
2014-11-01,9800,10386,586,5.6
2014-12-01,9576,10172,596,5.9
