date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,506447,535877,29430,5.5
2011-02-01,504276,532872,28596,5.4
2011-03-01,507950,536192,28242,5.3
2011-04-01,507781,534580,26799,5.0
2011-05-01,507565,535994,28429,5.3
2011-06-01,508817,540177,31360,5.8
2011-07-01,514164,544107,29943,5.5
2011-08-01,507687,537011,29324,5.5
2011-09-01,507028,536341,29313,5.5
2011-10-01,512043,540521,28478,5.3
2011-11-01,512235,538341,26106,4.8
2011-12-01,512283,538363,26080,4.8
2012-01-01,508722,537092,28370,5.3
2012-02-01,507393,536105,28712,5.4
2012-03-01,510625,538702,28077,5.2
2012-04-01,509741,535725,25984,4.9
2012-05-01,512362,539868,27506,5.1
2012-06-01,516473,546402,29929,5.5
2012-07-01,521208,550781,29573,5.4
2012-08-01,515810,544384,28574,5.2
2012-09-01,515194,541874,26680,4.9
2012-10-01,519962,547063,27101,5.0
2012-11-01,518666,544734,26068,4.8
2012-12-01,519687,546046,26359,4.8
2013-01-01,517987,546857,28870,5.3
2013-02-01,514301,542447,28146,5.2
2013-03-01,515427,542944,27517,5.1
2013-04-01,517484,543226,25742,4.7
2013-05-01,519132,547283,28151,5.1
2013-06-01,521574,552538,30964,5.6
2013-07-01,526429,555083,28654,5.2
2013-08-01,521398,548471,27073,4.9
2013-09-01,519416,545725,26309,4.8
2013-10-01,516594,543737,27143,5.0
2013-11-01,519331,543170,23839,4.4
2013-12-01,520299,542241,21942,4.0
2014-01-01,521756,545876,24120,4.4
2014-02-01,518567,543269,24702,4.5
2014-03-01,521279,546155,24876,4.6
2014-04-01,520513,541984,21471,4.0
2014-05-01,522955,546845,23890,4.4
2014-06-01,527223,553200,25977,4.7
2014-07-01,529711,555949,26238,4.7
2014-08-01,525087,550036,24949,4.5
2014-09-01,522090,545188,23098,4.2
2014-10-01,527093,549891,22798,4.1
2014-11-01,526670,548850,22180,4.0
2014-12-01,527565,547977,20412,3.7
