date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,441958,478994,37036,7.7
2011-02-01,444120,480718,36598,7.6
2011-03-01,448819,484702,35883,7.4
2011-04-01,446817,480965,34148,7.1
2011-05-01,446365,481809,35444,7.4
2011-06-01,446468,484999,38531,7.9
2011-07-01,450984,489318,38334,7.8
2011-08-01,446997,484639,37642,7.8
2011-09-01,446189,483082,36893,7.6
2011-10-01,449531,485859,36328,7.5
2011-11-01,449569,483975,34406,7.1
2011-12-01,449469,483875,34406,7.1
2012-01-01,443715,479987,36272,7.6
2012-02-01,447310,484123,36813,7.6
2012-03-01,452069,487492,35423,7.3
2012-04-01,450667,483584,32917,6.8
2012-05-01,450606,484991,34385,7.1
2012-06-01,450073,486907,36834,7.6
2012-07-01,455102,492514,37412,7.6
2012-08-01,449274,484938,35664,7.4
2012-09-01,452313,485860,33547,6.9
2012-10-01,457577,491939,34362,7.0
2012-11-01,455671,488940,33269,6.8
2012-12-01,454955,488626,33671,6.9
2013-01-01,449026,485475,36449,7.5
2013-02-01,452536,487735,35199,7.2
2013-03-01,455402,489479,34077,7.0
2013-04-01,456357,488612,32255,6.6
2013-05-01,456242,489828,33586,6.9
2013-06-01,455478,491864,36386,7.4
2013-07-01,460612,495899,35287,7.1
2013-08-01,453629,487185,33556,6.9
2013-09-01,454384,486760,32376,6.7
2013-10-01,454129,490318,36189,7.4
2013-11-01,456330,487257,30927,6.3
2013-12-01,455138,484095,28957,6.0
2014-01-01,452520,483433,30913,6.4
2014-02-01,456038,487412,31374,6.4
2014-03-01,458924,489742,30818,6.3
2014-04-01,458019,485337,27318,5.6
2014-05-01,459506,488684,29178,6.0
2014-06-01,461324,492251,30927,6.3
2014-07-01,465608,497715,32107,6.5
2014-08-01,458554,489265,30711,6.3
2014-09-01,460841,488681,27840,5.7
2014-10-01,464288,491783,27495,5.6
2014-11-01,463880,490569,26689,5.4
2014-12-01,463028,488207,25179,5.2
