date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,24131,26109,1978,7.6
2011-02-01,24249,26229,1980,7.5
2011-03-01,24650,26550,1900,7.2
2011-04-01,24456,26148,1692,6.5
2011-05-01,24658,26395,1737,6.6
2011-06-01,25168,27061,1893,7.0
2011-07-01,25293,27203,1910,7.0
2011-08-01,25059,26903,1844,6.9
2011-09-01,25165,26912,1747,6.5
2011-10-01,25062,26802,1740,6.5
2011-11-01,25044,26754,1710,6.4
2011-12-01,24937,26657,1720,6.5
2012-01-01,24329,26200,1871,7.1
2012-02-01,24558,26436,1878,7.1
2012-03-01,24928,26719,1791,6.7
2012-04-01,24781,26378,1597,6.1
2012-05-01,24975,26589,1614,6.1
2012-06-01,25821,27610,1789,6.5
2012-07-01,25950,27719,1769,6.4
2012-08-01,25307,26992,1685,6.2
2012-09-01,25546,27086,1540,5.7
2012-10-01,25314,26825,1511,5.6
2012-11-01,25189,26709,1520,5.7
2012-12-01,25097,26643,1546,5.8
2013-01-01,24522,26309,1787,6.8
2013-02-01,24676,26395,1719,6.5
2013-03-01,24981,26643,1662,6.2
2013-04-01,24940,26442,1502,5.7
2013-05-01,24976,26572,1596,6.0
2013-06-01,25488,27210,1722,6.3
2013-07-01,25638,27269,1631,6.0
2013-08-01,25266,26828,1562,5.8
2013-09-01,25271,26695,1424,5.3
2013-10-01,25012,26413,1401,5.3
2013-11-01,25005,26370,1365,5.2
2013-12-01,24944,26223,1279,4.9
2014-01-01,24678,26148,1470,5.6
2014-02-01,24778,26276,1498,5.7
2014-03-01,25176,26663,1487,5.6
2014-04-01,25091,26322,1231,4.7
2014-05-01,24969,26256,1287,4.9
2014-06-01,25415,26784,1369,5.1
2014-07-01,25589,27013,1424,5.3
2014-08-01,25391,26773,1382,5.2
2014-09-01,25436,26638,1202,4.5
2014-10-01,25526,26738,1212,4.5
2014-11-01,25324,26565,1241,4.7
2014-12-01,25133,26318,1185,4.5
