date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,8009,9313,1304,14.0
2011-02-01,8141,9429,1288,13.7
2011-03-01,8396,9617,1221,12.7
2011-04-01,8333,9463,1130,11.9
2011-05-01,8760,9898,1138,11.5
2011-06-01,9486,10732,1246,11.6
2011-07-01,9640,10846,1206,11.1
2011-08-01,9464,10622,1158,10.9
2011-09-01,9251,10337,1086,10.5
2011-10-01,8648,9717,1069,11.0
2011-11-01,8389,9416,1027,10.9
2011-12-01,8216,9279,1063,11.5
2012-01-01,7729,8925,1196,13.4
2012-02-01,7933,9173,1240,13.5
2012-03-01,8239,9406,1167,12.4
2012-04-01,8347,9401,1054,11.2
2012-05-01,8715,9751,1036,10.6
2012-06-01,9686,10814,1128,10.4
2012-07-01,9891,10994,1103,10.0
2012-08-01,9396,10439,1043,10.0
2012-09-01,9203,10195,992,9.7
2012-10-01,8589,9587,998,10.4
2012-11-01,8292,9322,1030,11.0
2012-12-01,8141,9203,1062,11.5
2013-01-01,7781,8998,1217,13.5
2013-02-01,7951,9124,1173,12.9
2013-03-01,8211,9321,1110,11.9
2013-04-01,8400,9409,1009,10.7
2013-05-01,8684,9683,999,10.3
2013-06-01,9357,10462,1105,10.6
2013-07-01,9590,10640,1050,9.9
2013-08-01,9324,10319,995,9.6
2013-09-01,9025,9946,921,9.3
2013-10-01,8510,9455,945,10.0
2013-11-01,8237,9184,947,10.3
2013-12-01,8149,9031,882,9.8
2014-01-01,7791,8779,988,11.3
2014-02-01,7922,8927,1005,11.3
2014-03-01,8201,9148,947,10.4
2014-04-01,8231,9033,802,8.9
2014-05-01,8477,9306,829,8.9
2014-06-01,9038,9936,898,9.0
2014-07-01,9288,10217,929,9.1
2014-08-01,9109,9991,882,8.8
2014-09-01,8868,9643,775,8.0
2014-10-01,8510,9287,777,8.4
2014-11-01,8165,8957,792,8.8
2014-12-01,7970,8770,800,9.1
