date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,50434,54031,3597,6.7
2011-02-01,50552,54039,3487,6.5
2011-03-01,50996,54387,3391,6.2
2011-04-01,50494,53713,3219,6.0
2011-05-01,50676,54053,3377,6.2
2011-06-01,51387,55153,3766,6.8
2011-07-01,51215,55047,3832,7.0
2011-08-01,50921,54677,3756,6.9
2011-09-01,50653,54124,3471,6.4
2011-10-01,51061,54393,3332,6.1
2011-11-01,51181,54280,3099,5.7
2011-12-01,51103,54177,3074,5.7
2012-01-01,50751,54148,3397,6.3
2012-02-01,50767,54179,3412,6.3
2012-03-01,51328,54733,3405,6.2
2012-04-01,51123,54236,3113,5.7
2012-05-01,51060,54378,3318,6.1
2012-06-01,51987,55768,3781,6.8
2012-07-01,52047,55801,3754,6.7
2012-08-01,51324,54878,3554,6.5
2012-09-01,51349,54499,3150,5.8
2012-10-01,51435,54638,3203,5.9
2012-11-01,51421,54502,3081,5.7
2012-12-01,51278,54414,3136,5.8
2013-01-01,51023,54497,3474,6.4
2013-02-01,51091,54523,3432,6.3
2013-03-01,51344,54693,3349,6.1
2013-04-01,51259,54344,3085,5.7
2013-05-01,51321,54690,3369,6.2
2013-06-01,51790,55483,3693,6.7
2013-07-01,51868,55483,3615,6.5
2013-08-01,51343,54776,3433,6.3
2013-09-01,51192,54275,3083,5.7
2013-10-01,51018,54110,3092,5.7
2013-11-01,51285,54107,2822,5.2
2013-12-01,51188,53778,2590,4.8
2014-01-01,51190,54160,2970,5.5
2014-02-01,51312,54345,3033,5.6
2014-03-01,51693,54700,3007,5.5
2014-04-01,51360,53987,2627,4.9
2014-05-01,51510,54362,2852,5.2
2014-06-01,51946,55071,3125,5.7
2014-07-01,52103,55476,3373,6.1
2014-08-01,51617,54809,3192,5.8
2014-09-01,51378,54075,2697,5.0
2014-10-01,51716,54392,2676,4.9
2014-11-01,51468,54067,2599,4.8
2014-12-01,51249,53659,2410,4.5
