date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,68459,76070,7611,10.0
2011-02-01,68234,75878,7644,10.1
2011-03-01,69090,76421,7331,9.6
2011-04-01,68875,75502,6627,8.8
2011-05-01,69352,75992,6640,8.7
2011-06-01,70099,77128,7029,9.1
2011-07-01,70643,77551,6908,8.9
2011-08-01,70322,76920,6598,8.6
2011-09-01,70317,76656,6339,8.3
2011-10-01,70554,76702,6148,8.0
2011-11-01,71025,76925,5900,7.7
2011-12-01,71061,77085,6024,7.8
2012-01-01,69715,76255,6540,8.6
2012-02-01,69972,76689,6717,8.8
2012-03-01,70969,77325,6356,8.2
2012-04-01,71164,76815,5651,7.4
2012-05-01,71365,77219,5854,7.6
2012-06-01,72266,78416,6150,7.8
2012-07-01,72858,79119,6261,7.9
2012-08-01,71685,77588,5903,7.6
2012-09-01,71738,77237,5499,7.1
2012-10-01,71615,77247,5632,7.3
2012-11-01,71922,77483,5561,7.2
2012-12-01,71848,77574,5726,7.4
2013-01-01,70853,77336,6483,8.4
2013-02-01,70812,77181,6369,8.3
2013-03-01,71398,77559,6161,7.9
2013-04-01,71591,77167,5576,7.2
2013-05-01,71932,77581,5649,7.3
2013-06-01,72441,78481,6040,7.7
2013-07-01,73097,78920,5823,7.4
2013-08-01,72450,77928,5478,7.0
2013-09-01,71826,77060,5234,6.8
2013-10-01,71769,77139,5370,7.0
2013-11-01,72790,77860,5070,6.5
2013-12-01,72653,77624,4971,6.4
2014-01-01,71172,76576,5404,7.1
2014-02-01,70747,76379,5632,7.4
2014-03-01,71562,76995,5433,7.1
2014-04-01,71388,75962,4574,6.0
2014-05-01,71356,76139,4783,6.3
2014-06-01,71958,76996,5038,6.5
2014-07-01,72405,77531,5126,6.6
2014-08-01,72004,76867,4863,6.3
2014-09-01,71632,76060,4428,5.8
2014-10-01,73109,77603,4494,5.8
2014-11-01,73383,77869,4486,5.8
2014-12-01,73039,77554,4515,5.8
