date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,42558,48003,5445,11.3
2011-02-01,42920,48279,5359,11.1
2011-03-01,43877,48898,5021,10.3
2011-04-01,44484,49173,4689,9.5
2011-05-01,46325,51058,4733,9.3
2011-06-01,48765,53870,5105,9.5
2011-07-01,49525,54585,5060,9.3
2011-08-01,48959,53943,4984,9.2
2011-09-01,47265,52069,4804,9.2
2011-10-01,45204,50031,4827,9.6
2011-11-01,44090,48974,4884,10.0
2011-12-01,43464,48366,4902,10.1
2012-01-01,41989,47242,5253,11.1
2012-02-01,42429,47746,5317,11.1
2012-03-01,43563,48575,5012,10.3
2012-04-01,44777,49259,4482,9.1
2012-05-01,46579,51074,4495,8.8
2012-06-01,49612,54369,4757,8.7
2012-07-01,50571,55305,4734,8.6
2012-08-01,49436,53928,4492,8.3
2012-09-01,47763,52033,4270,8.2
2012-10-01,45889,50303,4414,8.8
2012-11-01,44511,49012,4501,9.2
2012-12-01,44044,48771,4727,9.7
2013-01-01,42450,47630,5180,10.9
2013-02-01,42810,47834,5024,10.5
2013-03-01,43729,48480,4751,9.8
2013-04-01,45129,49439,4310,8.7
2013-05-01,46884,51133,4249,8.3
2013-06-01,49379,53930,4551,8.4
2013-07-01,50363,54688,4325,7.9
2013-08-01,49526,53584,4058,7.6
2013-09-01,47722,51600,3878,7.5
2013-10-01,45657,49651,3994,8.0
2013-11-01,44555,48729,4174,8.6
2013-12-01,44218,48287,4069,8.4
2014-01-01,43133,47591,4458,9.4
2014-02-01,43480,47945,4465,9.3
2014-03-01,44446,48634,4188,8.6
2014-04-01,45366,48981,3615,7.4
2014-05-01,47363,51053,3690,7.2
2014-06-01,49625,53504,3879,7.2
2014-07-01,50729,54705,3976,7.3
2014-08-01,49835,53543,3708,6.9
2014-09-01,48018,51333,3315,6.5
2014-10-01,46621,50117,3496,7.0
2014-11-01,45205,48868,3663,7.5
2014-12-01,44684,48342,3658,7.6
