date,Employment,Labor Force,Unemployment Count,Unemployment Rate
2011-01-01,21195,26010,4815,18.5
2011-02-01,21390,26248,4858,18.5
2011-03-01,21872,26187,4315,16.5
2011-04-01,22107,25704,3597,14.0
2011-05-01,23039,26231,3192,12.2
2011-06-01,24338,27454,3116,11.3
2011-07-01,24711,27699,2988,10.8
2011-08-01,24407,27265,2858,10.5
2011-09-01,23616,26413,2797,10.6
2011-10-01,22570,25638,3068,12.0
2011-11-01,22037,25937,3900,15.0
2011-12-01,21690,25952,4262,16.4
2012-01-01,20843,25340,4497,17.7
2012-02-01,21077,25502,4425,17.4
2012-03-01,21650,25632,3982,15.5
2012-04-01,22189,25401,3212,12.6
2012-05-01,23109,25973,2864,11.0
2012-06-01,24777,27549,2772,10.1
2012-07-01,25220,27955,2735,9.8
2012-08-01,24570,27146,2576,9.5
2012-09-01,23806,26252,2446,9.3
2012-10-01,22804,25614,2810,11.0
2012-11-01,22151,25838,3687,14.3
2012-12-01,21901,26114,4213,16.1
2013-01-01,21007,25742,4735,18.4
2013-02-01,21177,25630,4453,17.4
2013-03-01,21632,25535,3903,15.3
2013-04-01,22278,25517,3239,12.7
2013-05-01,23131,25908,2777,10.7
2013-06-01,24442,27164,2722,10.0
2013-07-01,24926,27510,2584,9.4
2013-08-01,24504,26908,2404,8.9
2013-09-01,23644,26031,2387,9.2
2013-10-01,22607,25242,2635,10.4
2013-11-01,22084,25696,3612,14.1
2013-12-01,21916,25693,3777,14.7
2014-01-01,21244,25506,4262,16.7
2014-02-01,21398,25474,4076,16.0
2014-03-01,21891,25510,3619,14.2
2014-04-01,22268,25176,2908,11.6
2014-05-01,23192,25612,2420,9.4
2014-06-01,24368,26654,2286,8.6
2014-07-01,24914,27152,2238,8.2
2014-08-01,24477,26573,2096,7.9
2014-09-01,23614,25553,1939,7.6
2014-10-01,22950,25344,2394,9.4
2014-11-01,22240,25539,3299,12.9
2014-12-01,21948,25591,3643,14.2
