date,value
1985-01-01,58.0
1986-01-01,58.81
1987-01-01,63.2
1988-01-01,64.51
1989-01-01,70.54
1990-01-01,71.64
1991-01-01,74.89
1992-01-01,75.86
1993-01-01,81.36
1994-01-01,83.83
1995-01-01,91.85
1996-01-01,90.12
1997-01-01,95.43
1998-01-01,97.34
1999-01-01,99.26
2000-01-01,100.0
2001-01-01,104.77
2002-01-01,107.52
2003-01-01,109.96
2004-01-01,117.15
2005-01-01,130.16
2006-01-01,148.09
2007-01-01,160.56
2008-01-01,160.61
2009-01-01,153.47
2010-01-01,148.49
2011-01-01,144.6
2012-01-01,141.62
2013-01-01,137.92
2014-01-01,133.73
2015-01-01,134.09
2016-01-01,133.19
2017-01-01,137.96
2018-01-01,136.68
2019-01-01,141.48
2020-01-01,147.34
2021-01-01,158.8
2022-01-01,179.62
2023-01-01,193.38
2024-01-01,207.76
