date,value
2016-07-01,114900.0
2016-08-01,110000.0
2016-09-01,109700.0
2016-10-01,104900.0
2016-11-01,103919.0
2016-12-01,99900.0
2017-01-01,99600.0
2017-02-01,99250.0
2017-03-01,95000.0
2017-04-01,96000.0
2017-05-01,97850.0
2017-06-01,96000.0
2017-07-01,95000.0
2017-08-01,99819.0
2017-09-01,99900.0
2017-10-01,102175.0
2017-11-01,97389.0
2017-12-01,97000.0
2018-01-01,101400.0
2018-02-01,105000.0
2018-03-01,108450.0
2018-04-01,104950.0
2018-05-01,110725.0
2018-06-01,112000.0
2018-07-01,110339.0
2018-08-01,112957.0
2018-09-01,114900.0
2018-10-01,109999.0
2018-11-01,108375.0
2018-12-01,109900.0
2019-01-01,104675.0
2019-02-01,107900.0
2019-03-01,105655.0
2019-04-01,99948.0
2019-05-01,99900.0
2019-06-01,103950.0
2019-07-01,99996.0
2019-08-01,104053.0
2019-09-01,110211.0
2019-10-01,111766.0
2019-11-01,109900.0
2019-12-01,103975.0
2020-01-01,97900.0
2020-02-01,98500.0
2020-03-01,100700.0
2020-04-01,95250.0
2020-05-01,95000.0
2020-06-01,107000.0
2020-07-01,115750.0
2020-08-01,110000.0
2020-09-01,115000.0
2020-10-01,118000.0
2020-11-01,119975.0
2020-12-01,118675.0
2021-01-01,115500.0
2021-02-01,114900.0
2021-03-01,116725.0
2021-04-01,127225.0
2021-05-01,122222.0
2021-06-01,126175.0
2021-07-01,119945.0
2021-08-01,119425.0
2021-09-01,114925.0
2021-10-01,118000.0
2021-11-01,113100.0
2021-12-01,104950.0
2022-01-01,106900.0
2022-02-01,107625.0
2022-03-01,99950.0
2022-04-01,113698.0
2022-05-01,121225.0
2022-06-01,117225.0
2022-07-01,119839.0
2022-08-01,125000.0
2022-09-01,118725.0
2022-10-01,119200.0
2022-11-01,129450.0
2022-12-01,134900.0
2023-01-01,122600.0
2023-02-01,119675.0
2023-03-01,122250.0
2023-04-01,119950.0
2023-05-01,122350.0
2023-06-01,125000.0
2023-07-01,125000.0
2023-08-01,131675.0
2023-09-01,139000.0
2023-10-01,153850.0
2023-11-01,158225.0
2023-12-01,150000.0
2024-01-01,150875.0
2024-02-01,149100.0
2024-03-01,150000.0
2024-04-01,159968.0
2024-05-01,166700.0
2024-06-01,169000.0
2024-07-01,165975.0
2024-08-01,167000.0
2024-09-01,150000.0
2024-10-01,155000.0
2024-11-01,155000.0
2024-12-01,156500.0
2025-01-01,156000.0
2025-02-01,154900.0
2025-03-01,155000.0
2025-04-01,159975.0
2025-05-01,159700.0
2025-06-01,157225.0
2025-07-01,153350.0
2025-08-01,159000.0
2025-09-01,160950.0
2025-10-01,165000.0
