date,value
1990-01-01,187.0
1991-01-01,178.0
1992-01-01,250.0
1993-01-01,221.0
1994-01-01,174.0
1995-01-01,163.0
1996-01-01,133.0
1997-01-01,167.0
1998-01-01,102.0
1999-01-01,86.0
2000-01-01,79.0
2001-01-01,80.0
2002-01-01,103.0
2003-01-01,107.0
2004-01-01,120.0
2005-01-01,114.0
2006-01-01,120.0
2007-01-01,135.0
2008-01-01,81.0
2009-01-01,138.0
2010-01-01,122.0
2011-01-01,70.0
2012-01-01,38.0
2013-01-01,46.0
2014-01-01,25.0
2015-01-01,49.0
2016-01-01,41.0
2017-01-01,21.0
2018-01-01,30.0
2019-01-01,65.0
2020-01-01,19.0
2021-01-01,36.0
2022-01-01,24.0
2023-01-01,19.0
2024-01-01,59.0
