date,value
1975-01-01,25.49
1976-01-01,27.08
1977-01-01,30.36
1978-01-01,33.94
1979-01-01,37.67
1980-01-01,40.73
1981-01-01,45.33
1982-01-01,41.27
1983-01-01,45.95
1984-01-01,49.35
1985-01-01,51.83
1986-01-01,55.99
1987-01-01,61.45
1988-01-01,70.63
1989-01-01,77.04
1990-01-01,80.86
1991-01-01,82.68
1992-01-01,83.69
1993-01-01,84.19
1994-01-01,84.56
1995-01-01,85.61
1996-01-01,86.98
1997-01-01,87.75
1998-01-01,89.95
1999-01-01,92.7
2000-01-01,100.0
2001-01-01,108.05
2002-01-01,119.8
2003-01-01,130.65
2004-01-01,155.18
2005-01-01,191.16
2006-01-01,214.48
2007-01-01,214.89
2008-01-01,204.64
2009-01-01,185.0
2010-01-01,175.56
2011-01-01,169.15
2012-01-01,166.44
2013-01-01,170.12
2014-01-01,174.59
2015-01-01,178.21
2016-01-01,182.0
2017-01-01,186.73
2018-01-01,192.68
2019-01-01,197.28
2020-01-01,203.83
2021-01-01,221.6
2022-01-01,244.48
2023-01-01,261.0
2024-01-01,275.88
