date,value
1990-01-01,228210.0
1990-02-01,230285.0
1990-03-01,231430.0
1990-04-01,229760.0
1990-05-01,231403.0
1990-06-01,233507.0
1990-07-01,235729.0
1990-08-01,233285.0
1990-09-01,230228.0
1990-10-01,231168.0
1990-11-01,230955.0
1990-12-01,230182.0
1991-01-01,227494.0
1991-02-01,228467.0
1991-03-01,230309.0
1991-04-01,230260.0
1991-05-01,231274.0
1991-06-01,234526.0
1991-07-01,237288.0
1991-08-01,233480.0
1991-09-01,232293.0
1991-10-01,233465.0
1991-11-01,233362.0
1991-12-01,233107.0
1992-01-01,232143.0
1992-02-01,232212.0
1992-03-01,233619.0
1992-04-01,233484.0
1992-05-01,235434.0
1992-06-01,238780.0
1992-07-01,242477.0
1992-08-01,239513.0
1992-09-01,234631.0
1992-10-01,235640.0
1992-11-01,235621.0
1992-12-01,235338.0
1993-01-01,236287.0
1993-02-01,237485.0
1993-03-01,238866.0
1993-04-01,237381.0
1993-05-01,239913.0
1993-06-01,243173.0
1993-07-01,246743.0
1993-08-01,244500.0
1993-09-01,239611.0
1993-10-01,241059.0
1993-11-01,241553.0
1993-12-01,241582.0
1994-01-01,238869.0
1994-02-01,238560.0
1994-03-01,239601.0
1994-04-01,238937.0
1994-05-01,241428.0
1994-06-01,244243.0
1994-07-01,247232.0
1994-08-01,245530.0
1994-09-01,242913.0
1994-10-01,244306.0
1994-11-01,244523.0
1994-12-01,243846.0
1995-01-01,243902.0
1995-02-01,244050.0
1995-03-01,245734.0
1995-04-01,245897.0
1995-05-01,245984.0
1995-06-01,248965.0
1995-07-01,250644.0
1995-08-01,248215.0
1995-09-01,245127.0
1995-10-01,245869.0
1995-11-01,245737.0
1995-12-01,244675.0
1996-01-01,243540.0
1996-02-01,245592.0
1996-03-01,247784.0
1996-04-01,247806.0
1996-05-01,250929.0
1996-06-01,254028.0
1996-07-01,257153.0
1996-08-01,254063.0
1996-09-01,252401.0
1996-10-01,254501.0
1996-11-01,252701.0
1996-12-01,251030.0
1997-01-01,250997.0
1997-02-01,251839.0
1997-03-01,254003.0
1997-04-01,253331.0
1997-05-01,255528.0
1997-06-01,258678.0
1997-07-01,259303.0
1997-08-01,257153.0
1997-09-01,252043.0
1997-10-01,254392.0
1997-11-01,255088.0
1997-12-01,254664.0
1998-01-01,252274.0
1998-02-01,253384.0
1998-03-01,255060.0
1998-04-01,252666.0
1998-05-01,253855.0
1998-06-01,256878.0
1998-07-01,256655.0
1998-08-01,254441.0
1998-09-01,252616.0
1998-10-01,254526.0
1998-11-01,254662.0
1998-12-01,254201.0
1999-01-01,254486.0
1999-02-01,254538.0
1999-03-01,255845.0
1999-04-01,255027.0
1999-05-01,256714.0
1999-06-01,258974.0
1999-07-01,261534.0
1999-08-01,258610.0
1999-09-01,255525.0
1999-10-01,258158.0
1999-11-01,258074.0
1999-12-01,257389.0
2000-01-01,264059.0
2000-02-01,264055.0
2000-03-01,266014.0
2000-04-01,265620.0
2000-05-01,266442.0
2000-06-01,269388.0
2000-07-01,270966.0
2000-08-01,268232.0
2000-09-01,266390.0
2000-10-01,269419.0
2000-11-01,269914.0
2000-12-01,270649.0
2001-01-01,269036.0
2001-02-01,269223.0
2001-03-01,271096.0
2001-04-01,269096.0
2001-05-01,269840.0
2001-06-01,273241.0
2001-07-01,275389.0
2001-08-01,270668.0
2001-09-01,270085.0
2001-10-01,272245.0
2001-11-01,272696.0
2001-12-01,272594.0
2002-01-01,269898.0
2002-02-01,272341.0
2002-03-01,273556.0
2002-04-01,271811.0
2002-05-01,272907.0
2002-06-01,275545.0
2002-07-01,277488.0
2002-08-01,273939.0
2002-09-01,271652.0
2002-10-01,272707.0
2002-11-01,271535.0
2002-12-01,271038.0
2003-01-01,268822.0
2003-02-01,269117.0
2003-03-01,270404.0
2003-04-01,270174.0
2003-05-01,270713.0
2003-06-01,272841.0
2003-07-01,273344.0
2003-08-01,271220.0
2003-09-01,269330.0
2003-10-01,271619.0
2003-11-01,272075.0
2003-12-01,271322.0
2004-01-01,270057.0
2004-02-01,269189.0
2004-03-01,270654.0
2004-04-01,268952.0
2004-05-01,269490.0
2004-06-01,272966.0
2004-07-01,275574.0
2004-08-01,271740.0
2004-09-01,269457.0
2004-10-01,272314.0
2004-11-01,272895.0
2004-12-01,271940.0
2005-01-01,270008.0
2005-02-01,270774.0
2005-03-01,272501.0
2005-04-01,273098.0
2005-05-01,275062.0
2005-06-01,278396.0
2005-07-01,281637.0
2005-08-01,278429.0
2005-09-01,276606.0
2005-10-01,279090.0
2005-11-01,278837.0
2005-12-01,278985.0
2006-01-01,276156.0
2006-02-01,276687.0
2006-03-01,279032.0
2006-04-01,279206.0
2006-05-01,280331.0
2006-06-01,284236.0
2006-07-01,286697.0
2006-08-01,283264.0
2006-09-01,281131.0
2006-10-01,283728.0
2006-11-01,283630.0
2006-12-01,283691.0
2007-01-01,281985.0
2007-02-01,280454.0
2007-03-01,282460.0
2007-04-01,280973.0
2007-05-01,282078.0
2007-06-01,285862.0
2007-07-01,288488.0
2007-08-01,284658.0
2007-09-01,283909.0
2007-10-01,285314.0
2007-11-01,285755.0
2007-12-01,284677.0
2008-01-01,284569.0
2008-02-01,283605.0
2008-03-01,286160.0
2008-04-01,286443.0
2008-05-01,287967.0
2008-06-01,291215.0
2008-07-01,293381.0
2008-08-01,289989.0
2008-09-01,287761.0
2008-10-01,290636.0
2008-11-01,289190.0
2008-12-01,288562.0
2009-01-01,288070.0
2009-02-01,288124.0
2009-03-01,289433.0
2009-04-01,289923.0
2009-05-01,290293.0
2009-06-01,293577.0
2009-07-01,294990.0
2009-08-01,291423.0
2009-09-01,289367.0
2009-10-01,290822.0
2009-11-01,290467.0
2009-12-01,288784.0
2010-01-01,284556.0
2010-02-01,283833.0
2010-03-01,287090.0
2010-04-01,287755.0
2010-05-01,287224.0
2010-06-01,289432.0
2010-07-01,290516.0
