date,value
2001-01-01,28113392.0
2002-01-01,29689245.0
2003-01-01,31332343.0
2004-01-01,33543034.0
2005-01-01,35393218.0
2006-01-01,36210713.0
2007-01-01,37369084.0
2008-01-01,38642423.0
2009-01-01,38637793.0
2010-01-01,40279192.0
2011-01-01,41732920.0
2012-01-01,42515897.0
2013-01-01,44773057.0
2014-01-01,46112183.0
2015-01-01,47215637.0
2016-01-01,49025912.0
2017-01-01,50214633.0
2018-01-01,50232911.0
2019-01-01,50225703.0
2020-01-01,48721149.0
2021-01-01,51574224.0
2022-01-01,52170062.0
2023-01-01,52855578.0
