date,value
1970-01-01,298.042
1971-01-01,309.0
1972-01-01,316.6
1973-01-01,330.6
1974-01-01,334.8
1975-01-01,345.6
1976-01-01,354.0
1977-01-01,361.1
1978-01-01,365.6
1979-01-01,369.0
1980-01-01,370.775
1981-01-01,378.219
1982-01-01,382.453
1983-01-01,385.375
1984-01-01,389.989
1985-01-01,396.028
1986-01-01,403.532
1987-01-01,412.139
1988-01-01,418.047
1989-01-01,423.564
1990-01-01,428.877
1991-01-01,434.344
1992-01-01,440.836
1993-01-01,448.583
1994-01-01,456.499
1995-01-01,463.022
1996-01-01,467.286
1997-01-01,472.356
1998-01-01,477.749
1999-01-01,484.8
2000-01-01,491.484
2001-01-01,496.975
2002-01-01,501.892
2003-01-01,503.299
2004-01-01,507.037
2005-01-01,508.31
2006-01-01,508.21
2007-01-01,509.898
2008-01-01,513.329
2009-01-01,519.182
2010-01-01,539.305
2011-01-01,544.863
2012-01-01,550.476
2013-01-01,555.638
2014-01-01,559.421
2015-01-01,563.133
2016-01-01,567.434
2017-01-01,571.359
2018-01-01,575.641
2019-01-01,579.895
2020-01-01,593.412
2021-01-01,596.354
2022-01-01,598.751
2023-01-01,599.965
2024-01-01,602.35
