date,value
1990-01-01,6537.0
1990-02-01,6804.0
1990-03-01,6170.0
1990-04-01,5964.0
1990-05-01,6585.0
1990-06-01,7560.0
1990-07-01,8388.0
1990-08-01,8409.0
1990-09-01,8310.0
1990-10-01,8515.0
1990-11-01,9142.0
1990-12-01,9042.0
1991-01-01,10229.0
1991-02-01,11293.0
1991-03-01,11022.0
1991-04-01,9971.0
1991-05-01,10983.0
1991-06-01,11740.0
1991-07-01,11603.0
1991-08-01,11355.0
1991-09-01,11068.0
1991-10-01,11439.0
1991-11-01,11341.0
1991-12-01,11819.0
1992-01-01,13593.0
1992-02-01,14311.0
1992-03-01,13257.0
1992-04-01,12106.0
1992-05-01,13154.0
1992-06-01,14371.0
1992-07-01,14000.0
1992-08-01,13304.0
1992-09-01,12472.0
1992-10-01,12106.0
1992-11-01,12097.0
1992-12-01,11695.0
1993-01-01,13733.0
1993-02-01,14493.0
1993-03-01,13818.0
1993-04-01,12959.0
1993-05-01,13360.0
1993-06-01,14320.0
1993-07-01,13654.0
1993-08-01,13020.0
1993-09-01,11692.0
1993-10-01,11532.0
1993-11-01,10850.0
1993-12-01,10284.0
1994-01-01,12128.0
1994-02-01,11930.0
1994-03-01,11401.0
1994-04-01,10155.0
1994-05-01,10178.0
1994-06-01,11317.0
1994-07-01,11027.0
1994-08-01,10718.0
1994-09-01,10050.0
1994-10-01,9503.0
1994-11-01,9134.0
1994-12-01,8485.0
1995-01-01,10391.0
1995-02-01,9973.0
1995-03-01,9621.0
1995-04-01,9545.0
1995-05-01,9546.0
1995-06-01,10924.0
1995-07-01,11053.0
1995-08-01,10295.0
1995-09-01,9343.0
1995-10-01,8821.0
1995-11-01,8970.0
1995-12-01,8283.0
1996-01-01,10255.0
1996-02-01,10608.0
1996-03-01,10223.0
1996-04-01,9691.0
1996-05-01,10419.0
1996-06-01,11263.0
1996-07-01,11685.0
1996-08-01,10671.0
1996-09-01,9830.0
1996-10-01,9572.0
1996-11-01,8953.0
1996-12-01,8656.0
1997-01-01,10038.0
1997-02-01,10493.0
1997-03-01,9848.0
1997-04-01,8982.0
1997-05-01,9432.0
1997-06-01,11127.0
1997-07-01,10119.0
1997-08-01,9868.0
1997-09-01,8388.0
1997-10-01,8829.0
1997-11-01,8476.0
1997-12-01,8254.0
1998-01-01,8771.0
1998-02-01,9624.0
1998-03-01,9497.0
1998-04-01,7583.0
1998-05-01,8110.0
1998-06-01,9899.0
1998-07-01,8667.0
1998-08-01,8257.0
1998-09-01,7473.0
1998-10-01,7364.0
1998-11-01,7110.0
1998-12-01,6196.0
1999-01-01,7708.0
1999-02-01,8210.0
1999-03-01,7124.0
1999-04-01,6667.0
1999-05-01,6544.0
1999-06-01,7676.0
1999-07-01,7741.0
1999-08-01,7448.0
1999-09-01,6460.0
1999-10-01,6468.0
1999-11-01,6241.0
1999-12-01,5507.0
2000-01-01,8060.0
2000-02-01,8205.0
2000-03-01,7978.0
2000-04-01,6900.0
2000-05-01,8164.0
2000-06-01,9073.0
2000-07-01,9215.0
2000-08-01,8933.0
2000-09-01,7629.0
2000-10-01,7857.0
2000-11-01,7965.0
2000-12-01,7307.0
2001-01-01,8435.0
2001-02-01,8707.0
2001-03-01,8433.0
2001-04-01,7763.0
2001-05-01,8070.0
2001-06-01,10234.0
2001-07-01,10100.0
2001-08-01,10520.0
2001-09-01,10023.0
2001-10-01,10917.0
2001-11-01,11051.0
2001-12-01,10807.0
2002-01-01,11903.0
2002-02-01,12271.0
2002-03-01,11782.0
2002-04-01,10826.0
2002-05-01,10222.0
2002-06-01,11536.0
2002-07-01,11287.0
2002-08-01,10846.0
2002-09-01,9239.0
2002-10-01,9505.0
2002-11-01,9948.0
2002-12-01,9484.0
2003-01-01,10798.0
2003-02-01,11124.0
2003-03-01,10506.0
2003-04-01,9913.0
2003-05-01,10279.0
2003-06-01,11764.0
2003-07-01,11435.0
2003-08-01,10568.0
2003-09-01,9564.0
2003-10-01,9637.0
2003-11-01,9900.0
2003-12-01,9138.0
2004-01-01,10820.0
2004-02-01,10626.0
2004-03-01,10636.0
2004-04-01,9169.0
2004-05-01,9457.0
2004-06-01,11072.0
2004-07-01,11451.0
2004-08-01,10553.0
2004-09-01,9275.0
2004-10-01,9789.0
2004-11-01,9890.0
2004-12-01,9388.0
2005-01-01,10438.0
2005-02-01,11063.0
2005-03-01,10635.0
2005-04-01,9524.0
2005-05-01,9696.0
2005-06-01,10633.0
2005-07-01,10900.0
2005-08-01,10037.0
2005-09-01,8737.0
2005-10-01,8839.0
2005-11-01,9224.0
2005-12-01,7880.0
2006-01-01,9072.0
2006-02-01,9206.0
2006-03-01,8765.0
2006-04-01,8499.0
2006-05-01,9064.0
2006-06-01,11000.0
2006-07-01,11400.0
2006-08-01,10215.0
2006-09-01,8884.0
2006-10-01,8791.0
2006-11-01,8895.0
2006-12-01,8146.0
2007-01-01,9687.0
2007-02-01,9383.0
2007-03-01,8258.0
2007-04-01,7587.0
2007-05-01,7901.0
2007-06-01,9514.0
2007-07-01,9545.0
2007-08-01,8614.0
2007-09-01,8091.0
2007-10-01,8138.0
2007-11-01,7573.0
2007-12-01,7390.0
2008-01-01,8458.0
2008-02-01,8546.0
2008-03-01,8692.0
2008-04-01,8008.0
2008-05-01,9740.0
2008-06-01,11880.0
2008-07-01,12364.0
2008-08-01,12466.0
2008-09-01,11965.0
2008-10-01,12976.0
2008-11-01,12974.0
2008-12-01,13746.0
2009-01-01,16445.0
2009-02-01,17953.0
2009-03-01,17809.0
2009-04-01,16940.0
2009-05-01,18169.0
2009-06-01,19765.0
2009-07-01,20012.0
2009-08-01,19663.0
2009-09-01,19407.0
2009-10-01,20174.0
2009-11-01,19801.0
2009-12-01,19701.0
2010-01-01,21709.0
2010-02-01,21911.0
2010-03-01,21065.0
2010-04-01,19488.0
2010-05-01,19505.0
2010-06-01,20587.0
2010-07-01,21080.0
2010-08-01,20522.0
2010-09-01,19193.0
2010-10-01,18814.0
2010-11-01,19243.0
2010-12-01,18232.0
2011-01-01,19320.0
2011-02-01,18859.0
2011-03-01,18465.0
2011-04-01,17257.0
2011-05-01,17948.0
2011-06-01,19808.0
2011-07-01,19709.0
2011-08-01,19433.0
2011-09-01,18601.0
2011-10-01,18023.0
2011-11-01,16724.0
2011-12-01,16791.0
2012-01-01,18033.0
2012-02-01,18289.0
2012-03-01,17685.0
2012-04-01,16226.0
2012-05-01,17095.0
2012-06-01,18841.0
2012-07-01,18913.0
2012-08-01,18404.0
2012-09-01,16634.0
2012-10-01,16825.0
2012-11-01,16285.0
2012-12-01,16652.0
2013-01-01,18343.0
2013-02-01,17863.0
2013-03-01,17300.0
2013-04-01,16081.0
2013-05-01,17285.0
2013-06-01,18867.0
2013-07-01,18185.0
2013-08-01,17428.0
2013-09-01,16391.0
2013-10-01,16547.0
2013-11-01,15225.0
2013-12-01,14219.0
2014-01-01,15615.0
2014-02-01,15933.0
2014-03-01,15821.0
2014-04-01,13627.0
2014-05-01,14863.0
2014-06-01,15902.0
2014-07-01,16491.0
2014-08-01,15940.0
2014-09-01,14149.0
2014-10-01,14025.0
2014-11-01,13830.0
2014-12-01,13006.0
2015-01-01,14746.0
2015-02-01,14101.0
2015-03-01,13824.0
2015-04-01,12483.0
2015-05-01,13661.0
2015-06-01,14183.0
2015-07-01,14049.0
2015-08-01,13320.0
2015-09-01,12496.0
2015-10-01,12761.0
2015-11-01,11997.0
2015-12-01,10876.0
2016-01-01,12029.0
2016-02-01,11870.0
2016-03-01,11636.0
2016-04-01,10143.0
2016-05-01,10270.0
2016-06-01,11839.0
2016-07-01,12063.0
2016-08-01,11644.0
2016-09-01,10896.0
2016-10-01,11312.0
2016-11-01,10573.0
2016-12-01,10043.0
2017-01-01,11649.0
2017-02-01,11585.0
2017-03-01,10850.0
2017-04-01,10081.0
2017-05-01,10286.0
2017-06-01,11882.0
2017-07-01,11856.0
2017-08-01,11552.0
2017-09-01,10262.0
2017-10-01,10803.0
2017-11-01,10727.0
2017-12-01,9754.0
2018-01-01,11662.0
2018-02-01,11692.0
2018-03-01,11132.0
2018-04-01,9273.0
2018-05-01,9712.0
2018-06-01,11576.0
2018-07-01,11350.0
2018-08-01,10552.0
2018-09-01,9268.0
2018-10-01,9488.0
2018-11-01,8937.0
2018-12-01,8894.0
2019-01-01,11133.0
2019-02-01,10451.0
2019-03-01,9961.0
2019-04-01,8074.0
2019-05-01,8704.0
2019-06-01,10369.0
2019-07-01,10943.0
2019-08-01,10133.0
2019-09-01,8458.0
2019-10-01,8743.0
2019-11-01,8285.0
2019-12-01,7806.0
2020-01-01,9550.0
2020-02-01,9760.0
2020-03-01,11439.0
2020-04-01,26340.0
2020-05-01,26171.0
2020-06-01,22882.0
2020-07-01,21638.0
2020-08-01,18379.0
2020-09-01,18090.0
2020-10-01,16507.0
2020-11-01,15945.0
2020-12-01,16135.0
2021-01-01,17050.0
2021-02-01,16666.0
2021-03-01,15615.0
2021-04-01,13858.0
2021-05-01,13847.0
2021-06-01,16003.0
2021-07-01,14082.0
2021-08-01,13253.0
2021-09-01,11644.0
2021-10-01,11051.0
2021-11-01,10039.0
2021-12-01,8176.0
2022-01-01,9639.0
2022-02-01,9800.0
2022-03-01,8866.0
2022-04-01,7263.0
2022-05-01,7653.0
2022-06-01,9672.0
2022-07-01,9179.0
2022-08-01,9040.0
2022-09-01,7356.0
2022-10-01,7703.0
2022-11-01,6720.0
2022-12-01,5670.0
2023-01-01,6680.0
2023-02-01,6797.0
2023-03-01,5671.0
2023-04-01,4067.0
2023-05-01,4696.0
2023-06-01,5657.0
2023-07-01,6301.0
2023-08-01,6705.0
2023-09-01,6351.0
2023-10-01,6925.0
2023-11-01,6388.0
2023-12-01,6533.0
2024-01-01,7786.0
2024-02-01,8417.0
2024-03-01,8088.0
2024-04-01,6871.0
2024-05-01,7317.0
2024-06-01,9625.0
2024-07-01,10297.0
2024-08-01,10030.0
2024-09-01,8184.0
2024-10-01,8644.0
2024-11-01,8491.0
2024-12-01,7284.0
2025-01-01,7965.0
2025-02-01,9142.0
2025-03-01,8831.0
2025-04-01,8181.0
2025-05-01,8796.0
2025-06-01,10157.0
2025-07-01,10835.0
2025-08-01,11912.0
