date,value
1989-01-01,5.4
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,7.7
1994-01-01,
1995-01-01,6.6
1996-01-01,
1997-01-01,7.6
1998-01-01,7.3
1999-01-01,6.7
2000-01-01,6.7
2001-01-01,6.6
2002-01-01,7.1
2003-01-01,7.6
2004-01-01,8.2
2005-01-01,6.8
2006-01-01,8.0
2007-01-01,7.6
2008-01-01,7.9
2009-01-01,8.3
2010-01-01,8.2
2011-01-01,9.6
2012-01-01,9.7
2013-01-01,9.5
2014-01-01,9.8
2015-01-01,9.1
2016-01-01,9.0
2017-01-01,8.3
2018-01-01,9.9
2019-01-01,8.9
2020-01-01,8.9
2021-01-01,9.8
2022-01-01,11.0
2023-01-01,9.8
