date,value
2001-01-01,42116695.0
2002-01-01,43216209.0
2003-01-01,43168239.0
2004-01-01,44632581.0
2005-01-01,47210285.0
2006-01-01,47892654.0
2007-01-01,48212036.0
2008-01-01,47628320.0
2009-01-01,47306031.0
2010-01-01,49247591.0
2011-01-01,48645644.0
2012-01-01,48357398.0
2013-01-01,49010354.0
2014-01-01,49683946.0
2015-01-01,50529775.0
2016-01-01,52151190.0
2017-01-01,52810820.0
2018-01-01,54065637.0
2019-01-01,54657991.0
2020-01-01,51947827.0
2021-01-01,53996350.0
2022-01-01,56636652.0
2023-01-01,56988352.0
