date,value
1990-01-01,16891.0
1990-02-01,15380.0
1990-03-01,14123.0
1990-04-01,14402.0
1990-05-01,15246.0
1990-06-01,17591.0
1990-07-01,18002.0
1990-08-01,18564.0
1990-09-01,18550.0
1990-10-01,18485.0
1990-11-01,19547.0
1990-12-01,19300.0
1991-01-01,21481.0
1991-02-01,23254.0
1991-03-01,23235.0
1991-04-01,20850.0
1991-05-01,22378.0
1991-06-01,23710.0
1991-07-01,23013.0
1991-08-01,22578.0
1991-09-01,22441.0
1991-10-01,23464.0
1991-11-01,23794.0
1991-12-01,23485.0
1992-01-01,27258.0
1992-02-01,28038.0
1992-03-01,26635.0
1992-04-01,25436.0
1992-05-01,26117.0
1992-06-01,28724.0
1992-07-01,26871.0
1992-08-01,26959.0
1992-09-01,26896.0
1992-10-01,25607.0
1992-11-01,26045.0
1992-12-01,24380.0
1993-01-01,26691.0
1993-02-01,26923.0
1993-03-01,25911.0
1993-04-01,24902.0
1993-05-01,25456.0
1993-06-01,28658.0
1993-07-01,27518.0
1993-08-01,25901.0
1993-09-01,24452.0
1993-10-01,24931.0
1993-11-01,22866.0
1993-12-01,21232.0
1994-01-01,24415.0
1994-02-01,24625.0
1994-03-01,23101.0
1994-04-01,21588.0
1994-05-01,21533.0
1994-06-01,23147.0
1994-07-01,22145.0
1994-08-01,21922.0
1994-09-01,20829.0
1994-10-01,19929.0
1994-11-01,19418.0
1994-12-01,17085.0
1995-01-01,20837.0
1995-02-01,19858.0
1995-03-01,19875.0
1995-04-01,20651.0
1995-05-01,21053.0
1995-06-01,21806.0
1995-07-01,22089.0
1995-08-01,20752.0
1995-09-01,19970.0
1995-10-01,19268.0
1995-11-01,19138.0
1995-12-01,18085.0
1996-01-01,20403.0
1996-02-01,21068.0
1996-03-01,20605.0
1996-04-01,20074.0
1996-05-01,21359.0
1996-06-01,22278.0
1996-07-01,22059.0
1996-08-01,20116.0
1996-09-01,20660.0
1996-10-01,20371.0
1996-11-01,19887.0
1996-12-01,18687.0
1997-01-01,21538.0
1997-02-01,21504.0
