date,value
1990-01-01,463.8
1990-02-01,467.7
1990-03-01,469.3
1990-04-01,465.0
1990-05-01,463.0
1990-06-01,462.4
1990-07-01,458.8
1990-08-01,458.3
1990-09-01,456.5
1990-10-01,449.6
1990-11-01,447.5
1990-12-01,442.4
1991-01-01,437.5
1991-02-01,435.1
1991-03-01,433.2
1991-04-01,429.9
1991-05-01,428.8
1991-06-01,427.5
1991-07-01,422.5
1991-08-01,424.1
1991-09-01,424.9
1991-10-01,421.9
1991-11-01,421.2
1991-12-01,419.3
1992-01-01,419.9
1992-02-01,417.8
1992-03-01,417.5
1992-04-01,417.6
1992-05-01,415.5
1992-06-01,415.0
1992-07-01,416.0
1992-08-01,414.6
1992-09-01,414.9
1992-10-01,414.1
1992-11-01,412.3
1992-12-01,411.9
1993-01-01,411.8
1993-02-01,411.9
1993-03-01,409.7
1993-04-01,410.1
1993-05-01,410.8
1993-06-01,409.8
1993-07-01,413.1
1993-08-01,410.5
1993-09-01,409.3
1993-10-01,409.4
1993-11-01,409.0
1993-12-01,409.5
1994-01-01,405.3
1994-02-01,404.8
1994-03-01,408.0
1994-04-01,407.0
1994-05-01,406.9
1994-06-01,406.3
1994-07-01,405.8
1994-08-01,404.5
1994-09-01,403.5
1994-10-01,403.8
1994-11-01,403.6
1994-12-01,402.8
1995-01-01,403.9
1995-02-01,403.7
1995-03-01,402.8
1995-04-01,403.5
1995-05-01,402.4
1995-06-01,401.6
1995-07-01,400.6
1995-08-01,399.8
1995-09-01,401.7
1995-10-01,396.7
1995-11-01,399.0
1995-12-01,398.8
1996-01-01,390.3
1996-02-01,396.7
1996-03-01,397.8
1996-04-01,396.9
1996-05-01,396.3
1996-06-01,396.8
1996-07-01,396.7
1996-08-01,397.5
1996-09-01,397.6
1996-10-01,399.1
1996-11-01,397.0
1996-12-01,396.4
1997-01-01,396.4
1997-02-01,397.2
1997-03-01,397.4
1997-04-01,398.1
1997-05-01,398.6
1997-06-01,398.6
1997-07-01,397.5
1997-08-01,397.5
1997-09-01,394.6
1997-10-01,396.2
1997-11-01,396.9
1997-12-01,398.1
1998-01-01,397.1
1998-02-01,396.8
1998-03-01,396.0
1998-04-01,394.7
1998-05-01,392.0
1998-06-01,394.0
1998-07-01,395.9
1998-08-01,398.6
1998-09-01,397.9
1998-10-01,398.0
1998-11-01,397.5
1998-12-01,398.0
1999-01-01,397.3
1999-02-01,396.9
1999-03-01,396.5
1999-04-01,403.6
1999-05-01,403.1
1999-06-01,403.1
1999-07-01,408.3
1999-08-01,407.6
1999-09-01,408.1
1999-10-01,411.4
1999-11-01,407.5
1999-12-01,407.0
2000-01-01,406.9
2000-02-01,404.8
2000-03-01,405.5
2000-04-01,405.7
2000-05-01,406.2
2000-06-01,405.9
2000-07-01,406.1
2000-08-01,405.2
2000-09-01,406.3
2000-10-01,404.4
2000-11-01,403.1
2000-12-01,407.2
2001-01-01,399.5
2001-02-01,399.0
2001-03-01,398.3
2001-04-01,397.1
2001-05-01,395.7
2001-06-01,395.9
2001-07-01,394.4
2001-08-01,393.0
2001-09-01,390.5
2001-10-01,389.2
2001-11-01,388.6
2001-12-01,388.1
2002-01-01,387.3
2002-02-01,388.1
2002-03-01,388.5
2002-04-01,386.7
2002-05-01,386.1
2002-06-01,385.8
2002-07-01,386.8
2002-08-01,387.0
2002-09-01,386.9
2002-10-01,385.7
2002-11-01,386.7
2002-12-01,386.7
2003-01-01,385.9
2003-02-01,383.4
2003-03-01,383.1
2003-04-01,385.4
2003-05-01,383.8
2003-06-01,381.8
2003-07-01,379.5
2003-08-01,378.1
2003-09-01,377.0
2003-10-01,376.2
2003-11-01,373.7
2003-12-01,372.8
2004-01-01,373.3
2004-02-01,372.0
2004-03-01,371.7
2004-04-01,371.2
2004-05-01,370.7
2004-06-01,370.9
2004-07-01,371.2
2004-08-01,370.5
2004-09-01,369.6
2004-10-01,370.4
2004-11-01,370.1
2004-12-01,369.5
2005-01-01,369.1
2005-02-01,369.6
2005-03-01,367.9
2005-04-01,368.2
2005-05-01,368.2
2005-06-01,367.6
2005-07-01,366.4
2005-08-01,367.7
2005-09-01,369.8
2005-10-01,367.7
2005-11-01,368.1
2005-12-01,368.1
2006-01-01,366.1
2006-02-01,365.9
2006-03-01,366.1
2006-04-01,365.6
2006-05-01,364.7
2006-06-01,363.7
2006-07-01,362.2
2006-08-01,362.6
2006-09-01,362.1
2006-10-01,362.5
2006-11-01,362.5
2006-12-01,362.4
2007-01-01,362.2
2007-02-01,361.7
2007-03-01,362.9
2007-04-01,362.4
2007-05-01,362.3
2007-06-01,362.6
2007-07-01,362.3
2007-08-01,362.5
2007-09-01,361.7
2007-10-01,360.4
2007-11-01,360.9
2007-12-01,360.6
2008-01-01,361.9
2008-02-01,362.2
2008-03-01,361.0
2008-04-01,359.5
2008-05-01,358.4
2008-06-01,357.9
2008-07-01,358.4
2008-08-01,358.3
2008-09-01,357.8
2008-10-01,356.9
2008-11-01,354.5
2008-12-01,355.2
2009-01-01,352.1
2009-02-01,349.6
2009-03-01,348.4
2009-04-01,348.4
2009-05-01,349.0
2009-06-01,348.6
2009-07-01,346.0
2009-08-01,346.0
2009-09-01,346.7
2009-10-01,346.9
2009-11-01,346.3
2009-12-01,347.1
2010-01-01,347.4
2010-02-01,341.7
2010-03-01,346.8
2010-04-01,347.9
2010-05-01,349.9
2010-06-01,348.2
2010-07-01,347.9
2010-08-01,347.4
2010-09-01,346.3
2010-10-01,348.1
2010-11-01,350.1
2010-12-01,348.6
2011-01-01,349.1
2011-02-01,350.5
2011-03-01,352.2
2011-04-01,351.1
2011-05-01,350.3
2011-06-01,350.5
2011-07-01,351.5
2011-08-01,350.8
2011-09-01,351.6
2011-10-01,351.5
2011-11-01,351.9
2011-12-01,352.7
2012-01-01,355.0
2012-02-01,355.6
2012-03-01,356.3
2012-04-01,355.5
2012-05-01,355.4
2012-06-01,355.6
2012-07-01,356.4
2012-08-01,357.9
2012-09-01,358.4
2012-10-01,359.6
2012-11-01,359.8
2012-12-01,359.4
2013-01-01,361.6
2013-02-01,362.2
2013-03-01,362.2
2013-04-01,360.8
2013-05-01,360.9
2013-06-01,360.7
2013-07-01,359.7
2013-08-01,358.3
2013-09-01,357.7
2013-10-01,358.1
2013-11-01,358.3
2013-12-01,358.3
2014-01-01,357.5
2014-02-01,357.2
2014-03-01,358.3
2014-04-01,359.0
2014-05-01,360.0
2014-06-01,359.8
2014-07-01,359.2
2014-08-01,360.6
2014-09-01,361.7
2014-10-01,360.1
2014-11-01,359.8
2014-12-01,359.5
2015-01-01,357.7
2015-02-01,358.2
2015-03-01,357.3
2015-04-01,362.5
2015-05-01,364.8
2015-06-01,363.4
2015-07-01,364.7
2015-08-01,365.1
2015-09-01,363.0
2015-10-01,366.7
2015-11-01,365.6
2015-12-01,366.2
2016-01-01,368.3
2016-02-01,367.2
2016-03-01,365.4
2016-04-01,366.6
2016-05-01,366.3
2016-06-01,366.3
2016-07-01,366.9
2016-08-01,366.2
2016-09-01,367.1
2016-10-01,366.8
2016-11-01,368.3
2016-12-01,368.9
2017-01-01,368.2
2017-02-01,368.0
2017-03-01,368.2
2017-04-01,367.9
2017-05-01,370.4
2017-06-01,370.7
2017-07-01,375.1
2017-08-01,374.7
2017-09-01,374.6
2017-10-01,373.9
2017-11-01,373.9
2017-12-01,374.2
2018-01-01,375.7
2018-02-01,376.5
2018-03-01,377.8
2018-04-01,376.8
2018-05-01,376.2
2018-06-01,375.6
2018-07-01,376.2
2018-08-01,376.4
2018-09-01,375.4
2018-10-01,375.5
2018-11-01,375.2
2018-12-01,374.7
2019-01-01,374.1
2019-02-01,375.9
2019-03-01,376.3
2019-04-01,375.8
2019-05-01,377.8
2019-06-01,375.8
2019-07-01,373.0
2019-08-01,372.3
2019-09-01,372.2
2019-10-01,376.7
2019-11-01,377.3
2019-12-01,377.9
2020-01-01,378.5
2020-02-01,377.1
2020-03-01,377.2
2020-04-01,343.3
2020-05-01,344.8
2020-06-01,347.4
2020-07-01,350.7
2020-08-01,350.1
2020-09-01,351.3
2020-10-01,351.4
2020-11-01,352.4
2020-12-01,352.9
2021-01-01,353.8
2021-02-01,355.1
2021-03-01,357.0
2021-04-01,359.2
2021-05-01,361.3
2021-06-01,361.6
2021-07-01,363.6
2021-08-01,365.6
2021-09-01,364.3
2021-10-01,369.1
2021-11-01,369.6
2021-12-01,373.8
2022-01-01,371.6
2022-02-01,374.0
2022-03-01,371.4
2022-04-01,371.4
2022-05-01,370.8
2022-06-01,369.0
2022-07-01,371.0
2022-08-01,371.9
2022-09-01,371.8
2022-10-01,369.6
2022-11-01,370.0
2022-12-01,369.2
2023-01-01,371.1
2023-02-01,371.1
2023-03-01,371.8
2023-04-01,372.5
2023-05-01,372.6
2023-06-01,374.2
2023-07-01,372.8
2023-08-01,372.3
2023-09-01,373.4
2023-10-01,372.5
2023-11-01,372.8
2023-12-01,373.3
2024-01-01,374.3
2024-02-01,375.5
2024-03-01,376.0
2024-04-01,376.1
2024-05-01,377.3
2024-06-01,377.4
2024-07-01,379.2
2024-08-01,381.0
2024-09-01,382.9
2024-10-01,380.6
2024-11-01,380.5
2024-12-01,380.6
