date,value
1990-01-01,333425.0
1990-02-01,335924.0
1990-03-01,336809.0
1990-04-01,333857.0
1990-05-01,336542.0
1990-06-01,341272.0
1990-07-01,344220.0
1990-08-01,341711.0
1990-09-01,337283.0
1990-10-01,338771.0
1990-11-01,337757.0
1990-12-01,336526.0
1991-01-01,329369.0
1991-02-01,330315.0
1991-03-01,333098.0
1991-04-01,331841.0
1991-05-01,335468.0
1991-06-01,341185.0
1991-07-01,344434.0
1991-08-01,339054.0
1991-09-01,337402.0
1991-10-01,339192.0
1991-11-01,338543.0
1991-12-01,336801.0
1992-01-01,328753.0
1992-02-01,328477.0
1992-03-01,330262.0
1992-04-01,330830.0
1992-05-01,333695.0
1992-06-01,341060.0
1992-07-01,345388.0
1992-08-01,342258.0
1992-09-01,334580.0
1992-10-01,334561.0
1992-11-01,334275.0
1992-12-01,332526.0
1993-01-01,322892.0
1993-02-01,323581.0
1993-03-01,325109.0
1993-04-01,323801.0
1993-05-01,328706.0
1993-06-01,335530.0
1993-07-01,339146.0
1993-08-01,336211.0
1993-09-01,330546.0
1993-10-01,332594.0
1993-11-01,331953.0
1993-12-01,329975.0
1994-01-01,316540.0
1994-02-01,315001.0
1994-03-01,315932.0
1994-04-01,316668.0
1994-05-01,320250.0
1994-06-01,324630.0
1994-07-01,327697.0
1994-08-01,325327.0
1994-09-01,320881.0
1994-10-01,321222.0
1994-11-01,320900.0
1994-12-01,318655.0
1995-01-01,310048.0
1995-02-01,308223.0
1995-03-01,311030.0
1995-04-01,311886.0
1995-05-01,312406.0
1995-06-01,315946.0
1995-07-01,319183.0
1995-08-01,315791.0
1995-09-01,312932.0
1995-10-01,317297.0
1995-11-01,312851.0
1995-12-01,310302.0
1996-01-01,298414.0
1996-02-01,300939.0
1996-03-01,304551.0
1996-04-01,304941.0
1996-05-01,309169.0
1996-06-01,313268.0
1996-07-01,317660.0
1996-08-01,312179.0
1996-09-01,310692.0
1996-10-01,313528.0
1996-11-01,312310.0
1996-12-01,308802.0
1997-01-01,301609.0
1997-02-01,301458.0
1997-03-01,305590.0
1997-04-01,304197.0
1997-05-01,307337.0
1997-06-01,311988.0
1997-07-01,312805.0
1997-08-01,310458.0
1997-09-01,312049.0
1997-10-01,307681.0
1997-11-01,306989.0
1997-12-01,305306.0
1998-01-01,302148.0
1998-02-01,296067.0
1998-03-01,298475.0
1998-04-01,294591.0
1998-05-01,296706.0
1998-06-01,301088.0
1998-07-01,304890.0
1998-08-01,300916.0
1998-09-01,294955.0
1998-10-01,297718.0
1998-11-01,295974.0
1998-12-01,293772.0
1999-01-01,286030.0
1999-02-01,286144.0
1999-03-01,286871.0
1999-04-01,286289.0
1999-05-01,288889.0
1999-06-01,292601.0
1999-07-01,294567.0
1999-08-01,290454.0
1999-09-01,286345.0
1999-10-01,288998.0
1999-11-01,288236.0
1999-12-01,286844.0
2000-01-01,276198.0
2000-02-01,275940.0
2000-03-01,278809.0
2000-04-01,277641.0
2000-05-01,278031.0
2000-06-01,281995.0
2000-07-01,283226.0
2000-08-01,281601.0
2000-09-01,280049.0
2000-10-01,282642.0
2000-11-01,282116.0
2000-12-01,282998.0
2001-01-01,279319.0
2001-02-01,277915.0
2001-03-01,280481.0
2001-04-01,277990.0
2001-05-01,277525.0
2001-06-01,281647.0
2001-07-01,284079.0
2001-08-01,280763.0
2001-09-01,279278.0
2001-10-01,281821.0
2001-11-01,281722.0
2001-12-01,282105.0
2002-01-01,273488.0
2002-02-01,274773.0
2002-03-01,275645.0
2002-04-01,273228.0
2002-05-01,274303.0
2002-06-01,277929.0
2002-07-01,279960.0
2002-08-01,276585.0
2002-09-01,274349.0
2002-10-01,275460.0
2002-11-01,274545.0
2002-12-01,274247.0
2003-01-01,274160.0
2003-02-01,273200.0
2003-03-01,274498.0
2003-04-01,274013.0
2003-05-01,274285.0
2003-06-01,277978.0
2003-07-01,278175.0
2003-08-01,277035.0
2003-09-01,274861.0
2003-10-01,276474.0
2003-11-01,276862.0
2003-12-01,275764.0
2004-01-01,273143.0
2004-02-01,271149.0
2004-03-01,272716.0
2004-04-01,270860.0
2004-05-01,271309.0
2004-06-01,275500.0
2004-07-01,277410.0
2004-08-01,274985.0
2004-09-01,272069.0
2004-10-01,274528.0
2004-11-01,274872.0
2004-12-01,274553.0
2005-01-01,269636.0
2005-02-01,269794.0
2005-03-01,270555.0
2005-04-01,271165.0
2005-05-01,272533.0
2005-06-01,276278.0
2005-07-01,279017.0
2005-08-01,276698.0
2005-09-01,274901.0
2005-10-01,276679.0
2005-11-01,275948.0
2005-12-01,275663.0
2006-01-01,272464.0
2006-02-01,273095.0
2006-03-01,274811.0
2006-04-01,274874.0
2006-05-01,275979.0
2006-06-01,280021.0
2006-07-01,282690.0
2006-08-01,279731.0
2006-09-01,277088.0
2006-10-01,278883.0
2006-11-01,278122.0
2006-12-01,278259.0
2007-01-01,278462.0
2007-02-01,276390.0
2007-03-01,277679.0
2007-04-01,276209.0
2007-05-01,276629.0
2007-06-01,281153.0
2007-07-01,283886.0
2007-08-01,280169.0
2007-09-01,278890.0
2007-10-01,280160.0
2007-11-01,280173.0
2007-12-01,278966.0
2008-01-01,279175.0
2008-02-01,277674.0
2008-03-01,280270.0
2008-04-01,280031.0
2008-05-01,282100.0
2008-06-01,285926.0
2008-07-01,289107.0
2008-08-01,286888.0
2008-09-01,284276.0
2008-10-01,287394.0
2008-11-01,286365.0
2008-12-01,286031.0
2009-01-01,282878.0
2009-02-01,281965.0
2009-03-01,283258.0
2009-04-01,283276.0
2009-05-01,284088.0
2009-06-01,288358.0
2009-07-01,290432.0
2009-08-01,287737.0
2009-09-01,284597.0
2009-10-01,285911.0
2009-11-01,285894.0
2009-12-01,283963.0
2010-01-01,293622.0
2010-02-01,292426.0
2010-03-01,296510.0
2010-04-01,296038.0
2010-05-01,295775.0
2010-06-01,299286.0
2010-07-01,300912.0
2010-08-01,300578.0
2010-09-01,296390.0
2010-10-01,297215.0
2010-11-01,296996.0
2010-12-01,296260.0
2011-01-01,293199.0
2011-02-01,292591.0
2011-03-01,294938.0
2011-04-01,294341.0
2011-05-01,295391.0
