date,value
1989-01-01,28.1
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,25.7
1994-01-01,
1995-01-01,24.0
1996-01-01,
1997-01-01,23.7
1998-01-01,21.8
1999-01-01,18.5
2000-01-01,19.1
2001-01-01,18.4
2002-01-01,20.2
2003-01-01,19.8
2004-01-01,21.5
2005-01-01,22.2
2006-01-01,19.2
2007-01-01,19.9
2008-01-01,19.2
2009-01-01,20.9
2010-01-01,24.7
2011-01-01,24.5
2012-01-01,24.5
2013-01-01,22.7
2014-01-01,23.3
2015-01-01,22.7
2016-01-01,21.8
2017-01-01,22.1
2018-01-01,18.9
2019-01-01,20.4
2020-01-01,20.0
2021-01-01,22.9
2022-01-01,18.9
2023-01-01,20.2
