date,value
2016-07-01,3147.0
2016-08-01,3078.0
2016-09-01,3107.0
2016-10-01,3118.0
2016-11-01,3057.0
2016-12-01,2790.0
2017-01-01,2592.0
2017-02-01,2498.0
2017-03-01,2586.0
2017-04-01,2618.0
2017-05-01,2738.0
2017-06-01,2827.0
2017-07-01,2834.0
2017-08-01,2856.0
2017-09-01,2949.0
2017-10-01,3005.0
2017-11-01,3107.0
2017-12-01,2679.0
2018-01-01,2437.0
2018-02-01,2462.0
2018-03-01,2620.0
2018-04-01,2733.0
2018-05-01,2820.0
2018-06-01,2867.0
2018-07-01,2862.0
2018-08-01,2889.0
2018-09-01,3044.0
2018-10-01,3090.0
2018-11-01,3048.0
2018-12-01,2804.0
2019-01-01,2598.0
2019-02-01,2561.0
2019-03-01,2704.0
2019-04-01,2868.0
2019-05-01,2974.0
2019-06-01,3037.0
2019-07-01,3030.0
2019-08-01,3016.0
2019-09-01,2993.0
2019-10-01,2979.0
2019-11-01,2903.0
2019-12-01,2578.0
2020-01-01,2275.0
2020-02-01,2208.0
2020-03-01,2256.0
2020-04-01,2137.0
2020-05-01,2103.0
2020-06-01,1950.0
2020-07-01,1785.0
2020-08-01,1736.0
2020-09-01,1778.0
2020-10-01,1801.0
2020-11-01,1756.0
2020-12-01,1499.0
2021-01-01,1293.0
2021-02-01,1113.0
2021-03-01,1137.0
2021-04-01,1235.0
2021-05-01,1300.0
2021-06-01,1473.0
2021-07-01,1660.0
2021-08-01,1771.0
2021-09-01,1834.0
2021-10-01,1847.0
2021-11-01,1747.0
2021-12-01,1537.0
2022-01-01,1339.0
2022-02-01,1207.0
2022-03-01,1129.0
2022-04-01,1268.0
2022-05-01,1373.0
2022-06-01,1564.0
2022-07-01,1716.0
2022-08-01,1778.0
2022-09-01,1845.0
2022-10-01,1844.0
2022-11-01,1815.0
2022-12-01,1684.0
2023-01-01,1582.0
2023-02-01,1490.0
2023-03-01,1344.0
2023-04-01,1402.0
2023-05-01,1412.0
2023-06-01,1386.0
2023-07-01,1399.0
2023-08-01,1460.0
2023-09-01,1643.0
2023-10-01,1690.0
2023-11-01,1814.0
2023-12-01,1680.0
2024-01-01,1566.0
2024-02-01,1551.0
2024-03-01,1615.0
2024-04-01,1631.0
2024-05-01,1722.0
2024-06-01,1849.0
2024-07-01,1872.0
2024-08-01,1893.0
2024-09-01,2008.0
2024-10-01,2117.0
2024-11-01,2122.0
2024-12-01,1927.0
2025-01-01,1751.0
2025-02-01,1766.0
2025-03-01,1871.0
2025-04-01,1989.0
2025-05-01,2025.0
2025-06-01,2096.0
2025-07-01,2110.0
2025-08-01,2185.0
2025-09-01,2382.0
2025-10-01,2418.0
