date,value
2001-01-01,43158983.0
2002-01-01,42422541.0
2003-01-01,42112870.0
2004-01-01,42157091.0
2005-01-01,43200494.0
2006-01-01,43353738.0
2007-01-01,42606799.0
2008-01-01,42462184.0
2009-01-01,41975194.0
2010-01-01,43170331.0
2011-01-01,43415725.0
2012-01-01,43877321.0
2013-01-01,44220220.0
2014-01-01,44828512.0
2015-01-01,45526820.0
2016-01-01,47013422.0
2017-01-01,47896519.0
2018-01-01,48085621.0
2019-01-01,47508237.0
2020-01-01,45928314.0
2021-01-01,48268875.0
2022-01-01,50269912.0
2023-01-01,51151033.0
