date,value
2016-07-01,718.0
2016-08-01,722.0
2016-09-01,686.0
2016-10-01,643.0
2016-11-01,611.0
2016-12-01,534.0
2017-01-01,512.0
2017-02-01,488.0
2017-03-01,529.0
2017-04-01,563.0
2017-05-01,592.0
2017-06-01,599.0
2017-07-01,629.0
2017-08-01,631.0
2017-09-01,598.0
2017-10-01,595.0
2017-11-01,592.0
2017-12-01,509.0
2018-01-01,469.0
2018-02-01,473.0
2018-03-01,499.0
2018-04-01,549.0
2018-05-01,592.0
2018-06-01,624.0
2018-07-01,640.0
2018-08-01,658.0
2018-09-01,628.0
2018-10-01,637.0
2018-11-01,590.0
2018-12-01,522.0
2019-01-01,460.0
2019-02-01,439.0
2019-03-01,443.0
2019-04-01,460.0
2019-05-01,525.0
2019-06-01,546.0
2019-07-01,533.0
2019-08-01,515.0
2019-09-01,503.0
2019-10-01,495.0
2019-11-01,463.0
2019-12-01,392.0
2020-01-01,344.0
2020-02-01,298.0
2020-03-01,317.0
2020-04-01,317.0
2020-05-01,307.0
2020-06-01,266.0
2020-07-01,242.0
2020-08-01,196.0
2020-09-01,176.0
2020-10-01,168.0
2020-11-01,163.0
2020-12-01,144.0
2021-01-01,118.0
2021-02-01,110.0
2021-03-01,111.0
2021-04-01,103.0
2021-05-01,131.0
2021-06-01,147.0
2021-07-01,163.0
2021-08-01,189.0
2021-09-01,188.0
2021-10-01,170.0
2021-11-01,140.0
2021-12-01,105.0
2022-01-01,80.0
2022-02-01,75.0
2022-03-01,83.0
2022-04-01,100.0
2022-05-01,148.0
2022-06-01,183.0
2022-07-01,195.0
2022-08-01,190.0
2022-09-01,181.0
2022-10-01,199.0
2022-11-01,212.0
2022-12-01,177.0
2023-01-01,145.0
2023-02-01,124.0
2023-03-01,124.0
2023-04-01,111.0
2023-05-01,121.0
2023-06-01,127.0
2023-07-01,119.0
2023-08-01,137.0
2023-09-01,146.0
2023-10-01,158.0
2023-11-01,165.0
2023-12-01,139.0
2024-01-01,119.0
2024-02-01,105.0
2024-03-01,110.0
2024-04-01,121.0
2024-05-01,125.0
2024-06-01,150.0
2024-07-01,161.0
2024-08-01,155.0
2024-09-01,173.0
2024-10-01,183.0
2024-11-01,186.0
2024-12-01,156.0
2025-01-01,142.0
2025-02-01,130.0
2025-03-01,160.0
2025-04-01,202.0
2025-05-01,215.0
2025-06-01,228.0
2025-07-01,197.0
2025-08-01,215.0
2025-09-01,226.0
2025-10-01,231.0
