date,value
2016-07-01,339250.0
2016-08-01,348902.0
2016-09-01,352650.0
2016-10-01,349900.0
2016-11-01,355400.0
2016-12-01,349900.0
2017-01-01,345725.0
2017-02-01,349900.0
2017-03-01,350261.0
2017-04-01,359999.0
2017-05-01,359623.0
2017-06-01,350845.0
2017-07-01,349900.0
2017-08-01,342207.0
2017-09-01,349250.0
2017-10-01,359675.0
2017-11-01,354500.0
2017-12-01,364900.0
2018-01-01,362094.0
2018-02-01,360450.0
2018-03-01,359450.0
2018-04-01,372400.0
2018-05-01,384875.0
2018-06-01,395444.0
2018-07-01,389900.0
2018-08-01,387875.0
2018-09-01,385000.0
2018-10-01,379923.0
2018-11-01,375000.0
2018-12-01,374900.0
2019-01-01,368225.0
2019-02-01,355000.0
2019-03-01,365671.0
2019-04-01,375621.0
2019-05-01,379450.0
2019-06-01,380000.0
2019-07-01,390225.0
2019-08-01,402655.0
2019-09-01,406786.0
2019-10-01,404491.0
2019-11-01,399000.0
2019-12-01,396678.0
2020-01-01,394950.0
2020-02-01,380000.0
2020-03-01,377950.0
2020-04-01,392425.0
2020-05-01,399500.0
2020-06-01,399950.0
2020-07-01,397450.0
2020-08-01,399000.0
2020-09-01,405000.0
2020-10-01,408000.0
2020-11-01,397450.0
2020-12-01,385900.0
2021-01-01,379900.0
2021-02-01,380000.0
2021-03-01,389975.0
2021-04-01,391750.0
2021-05-01,407500.0
2021-06-01,377450.0
2021-07-01,380000.0
2021-08-01,409900.0
2021-09-01,404950.0
2021-10-01,432900.0
2021-11-01,454249.0
2021-12-01,415000.0
2022-01-01,387000.0
2022-02-01,379450.0
2022-03-01,439975.0
2022-04-01,499900.0
2022-05-01,492200.0
2022-06-01,499450.0
2022-07-01,487449.0
2022-08-01,455700.0
2022-09-01,447725.0
2022-10-01,460000.0
2022-11-01,449975.0
2022-12-01,439900.0
2023-01-01,429950.0
2023-02-01,413700.0
2023-03-01,432475.0
2023-04-01,423950.0
2023-05-01,443750.0
2023-06-01,499999.0
2023-07-01,539950.0
2023-08-01,531000.0
2023-09-01,507450.0
2023-10-01,510350.0
2023-11-01,481250.0
2023-12-01,499900.0
2024-01-01,523175.0
2024-02-01,506200.0
2024-03-01,527225.0
2024-04-01,528338.0
2024-05-01,539750.0
2024-06-01,549900.0
2024-07-01,539950.0
2024-08-01,539900.0
2024-09-01,537438.0
2024-10-01,510000.0
2024-11-01,499900.0
2024-12-01,494475.0
2025-01-01,484950.0
2025-02-01,497325.0
2025-03-01,545000.0
2025-04-01,563425.0
2025-05-01,575000.0
2025-06-01,591243.0
2025-07-01,567450.0
2025-08-01,552500.0
2025-09-01,546700.0
2025-10-01,569000.0
