date,value
1990-01-01,929.0
1990-02-01,835.0
1990-03-01,735.0
1990-04-01,722.0
1990-05-01,783.0
1990-06-01,930.0
1990-07-01,1094.0
1990-08-01,1053.0
1990-09-01,1044.0
1990-10-01,1090.0
1990-11-01,1193.0
1990-12-01,1260.0
1991-01-01,1721.0
1991-02-01,1843.0
1991-03-01,1767.0
1991-04-01,1536.0
1991-05-01,1651.0
1991-06-01,1812.0
1991-07-01,1818.0
1991-08-01,1754.0
1991-09-01,1611.0
1991-10-01,1598.0
1991-11-01,1744.0
1991-12-01,1848.0
1992-01-01,1917.0
1992-02-01,1965.0
1992-03-01,1797.0
1992-04-01,1527.0
1992-05-01,1516.0
1992-06-01,1785.0
1992-07-01,1884.0
1992-08-01,2006.0
1992-09-01,1651.0
1992-10-01,1630.0
1992-11-01,1620.0
1992-12-01,1639.0
1993-01-01,1777.0
1993-02-01,1771.0
1993-03-01,1629.0
1993-04-01,1410.0
1993-05-01,1326.0
1993-06-01,1585.0
1993-07-01,1542.0
1993-08-01,1480.0
1993-09-01,1181.0
1993-10-01,1247.0
1993-11-01,1183.0
1993-12-01,1177.0
1994-01-01,1503.0
1994-02-01,1476.0
1994-03-01,1443.0
1994-04-01,1289.0
1994-05-01,1229.0
1994-06-01,1320.0
1994-07-01,1259.0
1994-08-01,1200.0
1994-09-01,899.0
1994-10-01,965.0
1994-11-01,1089.0
1994-12-01,1092.0
1995-01-01,1446.0
1995-02-01,1411.0
1995-03-01,1256.0
1995-04-01,1189.0
1995-05-01,1213.0
1995-06-01,1727.0
1995-07-01,1732.0
1995-08-01,1579.0
1995-09-01,1305.0
1995-10-01,1136.0
1995-11-01,1217.0
1995-12-01,1115.0
1996-01-01,1712.0
1996-02-01,1593.0
1996-03-01,1556.0
1996-04-01,1329.0
1996-05-01,1395.0
1996-06-01,1519.0
1996-07-01,1713.0
1996-08-01,1561.0
1996-09-01,1255.0
1996-10-01,1266.0
1996-11-01,1173.0
1996-12-01,1140.0
1997-01-01,1480.0
1997-02-01,1429.0
1997-03-01,1204.0
1997-04-01,1046.0
1997-05-01,1124.0
1997-06-01,1607.0
1997-07-01,1423.0
1997-08-01,1277.0
1997-09-01,980.0
1997-10-01,1213.0
1997-11-01,1200.0
1997-12-01,1249.0
1998-01-01,1395.0
1998-02-01,1526.0
1998-03-01,1387.0
1998-04-01,1138.0
1998-05-01,1194.0
1998-06-01,1351.0
1998-07-01,1433.0
1998-08-01,1358.0
1998-09-01,1056.0
1998-10-01,1117.0
1998-11-01,1052.0
1998-12-01,895.0
1999-01-01,1084.0
1999-02-01,1147.0
1999-03-01,967.0
1999-04-01,870.0
1999-05-01,847.0
1999-06-01,1091.0
1999-07-01,1189.0
1999-08-01,1058.0
1999-09-01,803.0
1999-10-01,803.0
1999-11-01,823.0
1999-12-01,747.0
2000-01-01,1229.0
2000-02-01,1290.0
2000-03-01,1192.0
2000-04-01,1006.0
2000-05-01,1216.0
2000-06-01,1385.0
2000-07-01,1413.0
2000-08-01,1380.0
2000-09-01,1121.0
2000-10-01,1125.0
2000-11-01,1168.0
2000-12-01,1081.0
2001-01-01,1299.0
2001-02-01,1306.0
2001-03-01,1284.0
2001-04-01,1126.0
2001-05-01,1180.0
2001-06-01,1491.0
2001-07-01,1454.0
2001-08-01,1474.0
2001-09-01,1340.0
2001-10-01,1461.0
2001-11-01,1409.0
2001-12-01,1378.0
2002-01-01,1656.0
2002-02-01,1672.0
2002-03-01,1597.0
2002-04-01,1417.0
2002-05-01,1422.0
2002-06-01,1739.0
2002-07-01,1693.0
