date,value
1989-01-01,11.1
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,11.6
1994-01-01,
1995-01-01,11.8
1996-01-01,
1997-01-01,12.8
1998-01-01,12.0
1999-01-01,10.2
2000-01-01,10.4
2001-01-01,10.0
2002-01-01,10.4
2003-01-01,10.6
2004-01-01,10.5
2005-01-01,11.3
2006-01-01,11.0
2007-01-01,11.7
2008-01-01,10.8
2009-01-01,13.2
2010-01-01,13.0
2011-01-01,13.1
2012-01-01,15.7
2013-01-01,16.7
2014-01-01,16.0
2015-01-01,14.4
2016-01-01,15.3
2017-01-01,13.8
2018-01-01,13.2
2019-01-01,12.1
2020-01-01,12.4
2021-01-01,13.5
2022-01-01,12.9
2023-01-01,13.3
