date,value
1970-01-01,19.781
1971-01-01,20.5
1972-01-01,20.6
1973-01-01,20.8
1974-01-01,21.4
1975-01-01,21.9
1976-01-01,22.4
1977-01-01,22.6
1978-01-01,23.1
1979-01-01,23.1
1980-01-01,23.143
1981-01-01,23.407
1982-01-01,23.615
1983-01-01,23.775
1984-01-01,24.107
1985-01-01,24.441
1986-01-01,24.707
1987-01-01,25.241
1988-01-01,25.997
1989-01-01,26.664
1990-01-01,27.125
1991-01-01,27.376
1992-01-01,27.876
1993-01-01,28.221
1994-01-01,28.645
1995-01-01,28.947
1996-01-01,29.172
1997-01-01,29.552
1998-01-01,29.576
1999-01-01,29.61
2000-01-01,29.79
2001-01-01,29.866
2002-01-01,30.14
2003-01-01,30.672
2004-01-01,30.795
2005-01-01,31.584
2006-01-01,32.416
2007-01-01,32.979
2008-01-01,33.295
2009-01-01,33.375
2010-01-01,33.054
2011-01-01,32.89
2012-01-01,32.636
2013-01-01,32.651
2014-01-01,32.542
2015-01-01,32.601
2016-01-01,32.834
2017-01-01,33.122
2018-01-01,33.341
2019-01-01,33.509
2020-01-01,33.277
2021-01-01,33.443
2022-01-01,33.539
2023-01-01,33.838
2024-01-01,34.248
