date,value
1975-01-01,26.86
1976-01-01,28.6
1977-01-01,30.45
1978-01-01,35.31
1979-01-01,38.51
1980-01-01,40.29
1981-01-01,42.77
1982-01-01,42.75
1983-01-01,44.96
1984-01-01,48.27
1985-01-01,51.09
1986-01-01,54.47
1987-01-01,60.83
1988-01-01,70.37
1989-01-01,77.04
1990-01-01,80.77
1991-01-01,83.08
1992-01-01,84.4
1993-01-01,84.96
1994-01-01,85.82
1995-01-01,87.32
1996-01-01,89.43
1997-01-01,90.69
1998-01-01,93.12
1999-01-01,95.15
2000-01-01,100.0
2001-01-01,106.3
2002-01-01,115.62
2003-01-01,124.49
2004-01-01,148.72
2005-01-01,180.51
2006-01-01,198.62
2007-01-01,199.33
2008-01-01,189.33
2009-01-01,170.83
2010-01-01,161.33
2011-01-01,153.21
2012-01-01,150.28
2013-01-01,154.83
2014-01-01,159.73
2015-01-01,161.57
2016-01-01,164.5
2017-01-01,169.07
2018-01-01,173.92
2019-01-01,178.82
2020-01-01,183.43
2021-01-01,201.68
2022-01-01,224.14
2023-01-01,236.73
2024-01-01,256.32
