date,value
1990-01-01,67980.0
1990-02-01,68295.0
1990-03-01,68297.0
1990-04-01,67651.0
1990-05-01,68086.0
1990-06-01,69306.0
1990-07-01,69577.0
1990-08-01,68684.0
1990-09-01,67794.0
1990-10-01,68019.0
1990-11-01,68384.0
1990-12-01,68306.0
1991-01-01,69339.0
1991-02-01,69577.0
1991-03-01,69710.0
1991-04-01,69278.0
1991-05-01,69248.0
1991-06-01,70113.0
1991-07-01,71052.0
1991-08-01,69482.0
1991-09-01,69289.0
1991-10-01,69654.0
1991-11-01,69861.0
1991-12-01,69934.0
1992-01-01,71339.0
1992-02-01,71116.0
1992-03-01,70916.0
1992-04-01,70320.0
1992-05-01,70531.0
1992-06-01,71750.0
1992-07-01,72542.0
1992-08-01,71953.0
1992-09-01,70541.0
1992-10-01,70598.0
1992-11-01,70997.0
1992-12-01,71187.0
1993-01-01,72491.0
1993-02-01,72626.0
1993-03-01,72938.0
1993-04-01,71763.0
1993-05-01,72093.0
1993-06-01,72978.0
1993-07-01,74496.0
1993-08-01,73163.0
1993-09-01,71623.0
1993-10-01,72042.0
1993-11-01,72228.0
1993-12-01,72376.0
1994-01-01,73573.0
1994-02-01,73614.0
1994-03-01,73616.0
1994-04-01,72669.0
1994-05-01,73058.0
1994-06-01,73765.0
1994-07-01,75286.0
1994-08-01,74397.0
1994-09-01,73639.0
1994-10-01,73984.0
1994-11-01,74206.0
1994-12-01,74193.0
1995-01-01,76037.0
1995-02-01,76370.0
1995-03-01,76493.0
1995-04-01,75952.0
1995-05-01,75999.0
1995-06-01,76485.0
1995-07-01,77393.0
1995-08-01,76438.0
1995-09-01,75554.0
1995-10-01,75777.0
1995-11-01,75870.0
1995-12-01,75775.0
1996-01-01,79128.0
1996-02-01,78255.0
1996-03-01,78355.0
1996-04-01,77666.0
1996-05-01,78448.0
1996-06-01,79080.0
1996-07-01,80276.0
1996-08-01,79128.0
1996-09-01,78565.0
1996-10-01,79308.0
1996-11-01,78938.0
1996-12-01,78412.0
1997-01-01,80504.0
1997-02-01,80769.0
1997-03-01,81230.0
1997-04-01,80353.0
1997-05-01,80777.0
1997-06-01,81466.0
1997-07-01,82843.0
1997-08-01,81282.0
1997-09-01,79719.0
1997-10-01,80413.0
1997-11-01,80733.0
1997-12-01,80878.0
1998-01-01,81813.0
1998-02-01,81924.0
1998-03-01,82281.0
1998-04-01,80718.0
1998-05-01,81140.0
1998-06-01,81707.0
1998-07-01,81893.0
1998-08-01,81172.0
1998-09-01,80633.0
1998-10-01,81242.0
1998-11-01,81128.0
1998-12-01,81131.0
1999-01-01,82310.0
1999-02-01,82388.0
1999-03-01,82744.0
1999-04-01,81988.0
1999-05-01,82499.0
1999-06-01,83211.0
1999-07-01,84176.0
1999-08-01,83020.0
1999-09-01,81942.0
1999-10-01,82834.0
1999-11-01,82817.0
1999-12-01,82914.0
2000-01-01,83001.0
2000-02-01,83187.0
2000-03-01,83568.0
2000-04-01,83311.0
2000-05-01,83548.0
2000-06-01,84477.0
2000-07-01,85018.0
2000-08-01,84123.0
2000-09-01,83518.0
2000-10-01,84390.0
2000-11-01,84539.0
2000-12-01,84790.0
2001-01-01,85540.0
2001-02-01,85482.0
2001-03-01,85876.0
2001-04-01,85062.0
2001-05-01,85267.0
2001-06-01,86214.0
2001-07-01,87056.0
2001-08-01,85326.0
2001-09-01,85272.0
2001-10-01,85699.0
2001-11-01,85841.0
2001-12-01,85858.0
2002-01-01,87027.0
2002-02-01,87842.0
2002-03-01,88090.0
2002-04-01,87308.0
2002-05-01,87752.0
2002-06-01,88581.0
2002-07-01,89366.0
2002-08-01,88202.0
2002-09-01,87361.0
2002-10-01,87782.0
2002-11-01,87362.0
2002-12-01,87259.0
2003-01-01,88668.0
2003-02-01,88705.0
2003-03-01,89191.0
2003-04-01,88699.0
2003-05-01,88771.0
2003-06-01,89440.0
2003-07-01,89784.0
2003-08-01,88951.0
2003-09-01,88263.0
2003-10-01,89102.0
2003-11-01,89244.0
2003-12-01,89172.0
2004-01-01,90014.0
2004-02-01,89922.0
2004-03-01,90079.0
2004-04-01,89303.0
2004-05-01,89538.0
2004-06-01,90585.0
2004-07-01,91607.0
2004-08-01,90288.0
2004-09-01,89302.0
2004-10-01,90301.0
2004-11-01,90529.0
2004-12-01,90249.0
2005-01-01,90508.0
2005-02-01,90915.0
2005-03-01,91443.0
2005-04-01,91267.0
2005-05-01,91891.0
2005-06-01,93306.0
2005-07-01,94387.0
2005-08-01,93271.0
2005-09-01,92500.0
2005-10-01,93294.0
2005-11-01,93264.0
2005-12-01,93428.0
2006-01-01,93877.0
2006-02-01,94110.0
2006-03-01,94786.0
2006-04-01,94720.0
2006-05-01,95029.0
2006-06-01,96397.0
2006-07-01,97279.0
2006-08-01,96190.0
2006-09-01,95392.0
2006-10-01,96245.0
2006-11-01,96254.0
2006-12-01,96295.0
2007-01-01,94839.0
2007-02-01,94545.0
2007-03-01,95082.0
2007-04-01,94295.0
2007-05-01,94624.0
2007-06-01,95868.0
2007-07-01,96924.0
2007-08-01,95589.0
2007-09-01,95179.0
2007-10-01,95683.0
2007-11-01,95840.0
2007-12-01,95630.0
2008-01-01,95696.0
2008-02-01,95593.0
2008-03-01,96265.0
2008-04-01,96175.0
2008-05-01,96540.0
2008-06-01,97376.0
2008-07-01,98320.0
2008-08-01,97090.0
2008-09-01,96282.0
2008-10-01,97349.0
2008-11-01,97212.0
2008-12-01,97105.0
2009-01-01,96465.0
2009-02-01,96342.0
2009-03-01,96591.0
2009-04-01,96227.0
2009-05-01,96350.0
2009-06-01,97341.0
2009-07-01,97759.0
2009-08-01,96375.0
2009-09-01,95650.0
2009-10-01,96386.0
2009-11-01,96137.0
2009-12-01,95832.0
2010-01-01,92067.0
2010-02-01,92038.0
2010-03-01,92907.0
2010-04-01,92789.0
2010-05-01,92719.0
2010-06-01,93435.0
2010-07-01,94142.0
2010-08-01,93647.0
2010-09-01,93094.0
2010-10-01,93437.0
2010-11-01,93080.0
2010-12-01,92774.0
2011-01-01,91619.0
2011-02-01,91750.0
2011-03-01,92658.0
2011-04-01,92029.0
2011-05-01,92517.0
2011-06-01,93863.0
2011-07-01,94346.0
2011-08-01,93659.0
2011-09-01,93334.0
2011-10-01,93484.0
2011-11-01,93155.0
2011-12-01,93122.0
2012-01-01,91782.0
2012-02-01,92429.0
2012-03-01,93145.0
2012-04-01,92416.0
2012-05-01,93061.0
2012-06-01,95070.0
2012-07-01,95560.0
2012-08-01,94071.0
2012-09-01,93990.0
2012-10-01,94213.0
2012-11-01,93702.0
2012-12-01,93686.0
2013-01-01,92954.0
2013-02-01,93137.0
2013-03-01,93731.0
2013-04-01,93218.0
2013-05-01,93650.0
2013-06-01,95124.0
2013-07-01,95318.0
2013-08-01,93977.0
2013-09-01,93477.0
2013-10-01,92931.0
2013-11-01,92891.0
2013-12-01,92489.0
2014-01-01,91803.0
2014-02-01,92226.0
2014-03-01,93199.0
2014-04-01,92587.0
2014-05-01,92727.0
2014-06-01,94044.0
2014-07-01,94746.0
2014-08-01,93857.0
2014-09-01,93197.0
2014-10-01,93810.0
2014-11-01,93288.0
2014-12-01,92819.0
2015-01-01,92339.0
2015-02-01,92598.0
2015-03-01,93493.0
2015-04-01,93357.0
2015-05-01,94010.0
2015-06-01,95277.0
2015-07-01,95602.0
2015-08-01,94267.0
2015-09-01,93544.0
2015-10-01,94398.0
2015-11-01,93510.0
2015-12-01,93416.0
2016-01-01,89776.0
2016-02-01,90184.0
2016-03-01,90767.0
2016-04-01,90684.0
2016-05-01,90748.0
2016-06-01,91861.0
2016-07-01,92429.0
2016-08-01,91278.0
2016-09-01,91048.0
2016-10-01,91732.0
2016-11-01,91181.0
2016-12-01,91305.0
2017-01-01,91433.0
2017-02-01,91866.0
2017-03-01,92625.0
2017-04-01,92644.0
2017-05-01,92555.0
2017-06-01,93621.0
2017-07-01,94474.0
2017-08-01,93109.0
2017-09-01,93259.0
2017-10-01,93488.0
2017-11-01,93131.0
2017-12-01,92897.0
2018-01-01,93356.0
2018-02-01,93849.0
2018-03-01,94180.0
2018-04-01,93760.0
2018-05-01,93705.0
2018-06-01,94869.0
2018-07-01,95413.0
2018-08-01,93721.0
2018-09-01,93811.0
2018-10-01,94594.0
2018-11-01,94433.0
2018-12-01,94692.0
2019-01-01,95064.0
2019-02-01,95552.0
2019-03-01,95757.0
2019-04-01,95039.0
2019-05-01,95317.0
2019-06-01,96503.0
2019-07-01,97184.0
2019-08-01,96257.0
2019-09-01,95817.0
2019-10-01,96789.0
2019-11-01,96604.0
2019-12-01,96908.0
2020-01-01,96715.0
2020-02-01,97119.0
2020-03-01,96858.0
2020-04-01,91646.0
2020-05-01,91010.0
2020-06-01,91565.0
2020-07-01,91793.0
2020-08-01,91046.0
2020-09-01,90189.0
2020-10-01,90907.0
2020-11-01,90264.0
2020-12-01,90048.0
2021-01-01,90549.0
2021-02-01,90780.0
2021-03-01,91384.0
2021-04-01,90979.0
2021-05-01,91354.0
2021-06-01,92139.0
2021-07-01,92997.0
2021-08-01,92086.0
2021-09-01,91395.0
2021-10-01,91876.0
2021-11-01,91692.0
2021-12-01,91927.0
2022-01-01,92338.0
2022-02-01,92956.0
2022-03-01,93592.0
2022-04-01,92687.0
2022-05-01,93470.0
2022-06-01,94248.0
2022-07-01,94945.0
2022-08-01,94558.0
2022-09-01,93816.0
2022-10-01,94023.0
2022-11-01,93088.0
2022-12-01,93735.0
2023-01-01,93450.0
2023-02-01,94117.0
2023-03-01,95044.0
2023-04-01,94416.0
2023-05-01,94799.0
2023-06-01,95834.0
2023-07-01,96712.0
2023-08-01,96134.0
2023-09-01,95649.0
2023-10-01,95934.0
2023-11-01,95957.0
2023-12-01,95806.0
2024-01-01,95658.0
2024-02-01,96276.0
2024-03-01,97302.0
2024-04-01,96048.0
2024-05-01,96114.0
2024-06-01,97439.0
2024-07-01,98216.0
2024-08-01,97340.0
2024-09-01,96659.0
2024-10-01,96787.0
2024-11-01,96157.0
2024-12-01,96047.0
2025-01-01,95600.0
2025-02-01,95287.0
2025-03-01,96494.0
2025-04-01,96005.0
2025-05-01,96223.0
2025-06-01,97773.0
2025-07-01,97970.0
2025-08-01,96725.0
