date,value
1990-01-01,1028.0
1991-01-01,812.0
1992-01-01,1096.0
1993-01-01,1503.0
1994-01-01,1500.0
1995-01-01,1362.0
1996-01-01,1205.0
1997-01-01,815.0
1998-01-01,973.0
1999-01-01,1256.0
2000-01-01,1459.0
2001-01-01,1390.0
2002-01-01,1654.0
2003-01-01,1065.0
2004-01-01,1040.0
2005-01-01,809.0
2006-01-01,511.0
2007-01-01,312.0
2008-01-01,196.0
2009-01-01,180.0
2010-01-01,195.0
2011-01-01,183.0
2012-01-01,315.0
2013-01-01,429.0
2014-01-01,355.0
2015-01-01,319.0
2016-01-01,294.0
2017-01-01,312.0
2018-01-01,399.0
2019-01-01,342.0
2020-01-01,488.0
2021-01-01,481.0
2022-01-01,350.0
2023-01-01,210.0
2024-01-01,156.0
