date,value
2016-07-01,676.0
2016-08-01,663.0
2016-09-01,668.0
2016-10-01,648.0
2016-11-01,607.0
2016-12-01,553.0
2017-01-01,520.0
2017-02-01,497.0
2017-03-01,514.0
2017-04-01,547.0
2017-05-01,554.0
2017-06-01,527.0
2017-07-01,523.0
2017-08-01,523.0
2017-09-01,517.0
2017-10-01,500.0
2017-11-01,446.0
2017-12-01,409.0
2018-01-01,374.0
2018-02-01,398.0
2018-03-01,400.0
2018-04-01,428.0
2018-05-01,438.0
2018-06-01,485.0
2018-07-01,493.0
2018-08-01,485.0
2018-09-01,469.0
2018-10-01,472.0
2018-11-01,454.0
2018-12-01,423.0
2019-01-01,399.0
2019-02-01,401.0
2019-03-01,415.0
2019-04-01,445.0
2019-05-01,493.0
2019-06-01,522.0
2019-07-01,519.0
2019-08-01,501.0
2019-09-01,470.0
2019-10-01,448.0
2019-11-01,414.0
2019-12-01,377.0
2020-01-01,320.0
2020-02-01,315.0
2020-03-01,308.0
2020-04-01,301.0
2020-05-01,268.0
2020-06-01,258.0
2020-07-01,218.0
2020-08-01,184.0
2020-09-01,158.0
2020-10-01,170.0
2020-11-01,166.0
2020-12-01,151.0
2021-01-01,149.0
2021-02-01,128.0
2021-03-01,141.0
2021-04-01,139.0
2021-05-01,159.0
2021-06-01,182.0
2021-07-01,192.0
2021-08-01,186.0
2021-09-01,171.0
2021-10-01,168.0
2021-11-01,158.0
2021-12-01,137.0
2022-01-01,122.0
2022-02-01,101.0
2022-03-01,101.0
2022-04-01,115.0
2022-05-01,150.0
2022-06-01,161.0
2022-07-01,148.0
2022-08-01,140.0
2022-09-01,141.0
2022-10-01,165.0
2022-11-01,158.0
2022-12-01,119.0
2023-01-01,113.0
2023-02-01,106.0
2023-03-01,110.0
2023-04-01,124.0
2023-05-01,139.0
2023-06-01,148.0
2023-07-01,147.0
2023-08-01,154.0
2023-09-01,169.0
2023-10-01,180.0
2023-11-01,182.0
2023-12-01,164.0
2024-01-01,149.0
2024-02-01,116.0
2024-03-01,133.0
2024-04-01,148.0
2024-05-01,164.0
2024-06-01,184.0
2024-07-01,184.0
2024-08-01,180.0
2024-09-01,183.0
2024-10-01,189.0
2024-11-01,167.0
2024-12-01,159.0
2025-01-01,147.0
2025-02-01,147.0
2025-03-01,157.0
2025-04-01,173.0
2025-05-01,191.0
2025-06-01,199.0
2025-07-01,209.0
2025-08-01,216.0
2025-09-01,208.0
2025-10-01,210.0
