date,value
2016-07-01,240000.0
2016-08-01,247093.0
2016-09-01,249900.0
2016-10-01,249000.0
2016-11-01,242450.0
2016-12-01,239995.0
2017-01-01,239900.0
2017-02-01,232450.0
2017-03-01,244150.0
2017-04-01,251682.0
2017-05-01,272470.0
2017-06-01,265947.0
2017-07-01,268495.0
2017-08-01,263495.0
2017-09-01,260000.0
2017-10-01,250495.0
2017-11-01,249950.0
2017-12-01,250000.0
2018-01-01,259490.0
2018-02-01,263740.0
2018-03-01,268495.0
2018-04-01,265000.0
2018-05-01,273400.0
2018-06-01,279000.0
2018-07-01,272450.0
2018-08-01,269675.0
2018-09-01,269450.0
2018-10-01,266200.0
2018-11-01,274995.0
2018-12-01,269000.0
2019-01-01,268968.0
2019-02-01,269900.0
2019-03-01,281793.0
2019-04-01,293990.0
2019-05-01,286673.0
2019-06-01,285990.0
2019-07-01,282748.0
2019-08-01,280265.0
2019-09-01,285179.0
2019-10-01,288454.0
2019-11-01,274995.0
2019-12-01,269990.0
2020-01-01,280220.0
2020-02-01,285990.0
2020-03-01,296473.0
2020-04-01,296425.0
2020-05-01,302253.0
2020-06-01,301756.0
2020-07-01,301470.0
2020-08-01,304990.0
2020-09-01,327400.0
2020-10-01,323445.0
2020-11-01,316990.0
2020-12-01,313243.0
2021-01-01,319000.0
2021-02-01,320945.0
2021-03-01,324950.0
2021-04-01,354900.0
2021-05-01,384654.0
2021-06-01,371404.0
2021-07-01,372219.0
2021-08-01,382970.0
2021-09-01,391049.0
2021-10-01,375000.0
2021-11-01,359970.0
2021-12-01,363445.0
2022-01-01,372076.0
2022-02-01,417445.0
2022-03-01,422495.0
2022-04-01,390000.0
2022-05-01,395968.0
2022-06-01,413750.0
2022-07-01,392500.0
2022-08-01,385625.0
2022-09-01,389900.0
2022-10-01,389450.0
2022-11-01,389450.0
2022-12-01,427450.0
2023-01-01,437243.0
2023-02-01,444968.0
2023-03-01,462740.0
2023-04-01,475000.0
2023-05-01,480490.0
2023-06-01,469490.0
2023-07-01,474990.0
2023-08-01,456243.0
2023-09-01,439990.0
2023-10-01,444495.0
2023-11-01,451250.0
2023-12-01,439990.0
2024-01-01,449998.0
2024-02-01,454493.0
2024-03-01,447990.0
2024-04-01,465945.0
2024-05-01,473495.0
2024-06-01,454990.0
2024-07-01,461493.0
2024-08-01,475000.0
2024-09-01,486990.0
2024-10-01,476470.0
2024-11-01,450000.0
2024-12-01,449923.0
2025-01-01,432243.0
2025-02-01,446698.0
2025-03-01,468445.0
2025-04-01,476245.0
2025-05-01,467995.0
2025-06-01,474995.0
2025-07-01,472473.0
2025-08-01,461495.0
2025-09-01,468495.0
2025-10-01,460215.0
