date,value
1990-01-01,715.0
1991-01-01,664.0
1992-01-01,950.0
1993-01-01,661.0
1994-01-01,835.0
1995-01-01,611.0
1996-01-01,730.0
1997-01-01,657.0
1998-01-01,1339.0
1999-01-01,750.0
2000-01-01,768.0
2001-01-01,940.0
2002-01-01,968.0
2003-01-01,1089.0
2004-01-01,811.0
2005-01-01,743.0
2006-01-01,405.0
2007-01-01,422.0
2008-01-01,596.0
2009-01-01,236.0
2010-01-01,364.0
2011-01-01,304.0
2012-01-01,701.0
2013-01-01,225.0
2014-01-01,278.0
2015-01-01,109.0
2016-01-01,78.0
2017-01-01,99.0
2018-01-01,155.0
2019-01-01,188.0
2020-01-01,234.0
2021-01-01,366.0
2022-01-01,241.0
2023-01-01,228.0
2024-01-01,561.0
