date,value
2016-07-01,887.0
2016-08-01,858.0
2016-09-01,840.0
2016-10-01,830.0
2016-11-01,771.0
2016-12-01,710.0
2017-01-01,658.0
2017-02-01,651.0
2017-03-01,628.0
2017-04-01,636.0
2017-05-01,695.0
2017-06-01,703.0
2017-07-01,688.0
2017-08-01,719.0
2017-09-01,766.0
2017-10-01,771.0
2017-11-01,787.0
2017-12-01,706.0
2018-01-01,621.0
2018-02-01,610.0
2018-03-01,641.0
2018-04-01,665.0
2018-05-01,697.0
2018-06-01,727.0
2018-07-01,769.0
2018-08-01,752.0
2018-09-01,751.0
2018-10-01,765.0
2018-11-01,726.0
2018-12-01,666.0
2019-01-01,618.0
2019-02-01,580.0
2019-03-01,595.0
2019-04-01,616.0
2019-05-01,633.0
2019-06-01,677.0
2019-07-01,758.0
2019-08-01,736.0
2019-09-01,700.0
2019-10-01,675.0
2019-11-01,671.0
2019-12-01,570.0
2020-01-01,500.0
2020-02-01,462.0
2020-03-01,442.0
2020-04-01,405.0
2020-05-01,397.0
2020-06-01,337.0
2020-07-01,289.0
2020-08-01,241.0
2020-09-01,223.0
2020-10-01,208.0
2020-11-01,199.0
2020-12-01,180.0
2021-01-01,166.0
2021-02-01,147.0
2021-03-01,158.0
2021-04-01,168.0
2021-05-01,204.0
2021-06-01,223.0
2021-07-01,274.0
2021-08-01,304.0
2021-09-01,302.0
2021-10-01,292.0
2021-11-01,259.0
2021-12-01,216.0
2022-01-01,189.0
2022-02-01,159.0
2022-03-01,156.0
2022-04-01,163.0
2022-05-01,208.0
2022-06-01,241.0
2022-07-01,345.0
2022-08-01,376.0
2022-09-01,402.0
2022-10-01,414.0
2022-11-01,398.0
2022-12-01,329.0
2023-01-01,293.0
2023-02-01,265.0
2023-03-01,253.0
2023-04-01,263.0
2023-05-01,260.0
2023-06-01,271.0
2023-07-01,296.0
2023-08-01,314.0
2023-09-01,351.0
2023-10-01,375.0
2023-11-01,356.0
2023-12-01,341.0
2024-01-01,272.0
2024-02-01,230.0
2024-03-01,230.0
2024-04-01,256.0
2024-05-01,278.0
2024-06-01,304.0
2024-07-01,317.0
2024-08-01,308.0
2024-09-01,333.0
2024-10-01,368.0
2024-11-01,400.0
2024-12-01,369.0
2025-01-01,365.0
2025-02-01,359.0
2025-03-01,417.0
2025-04-01,442.0
2025-05-01,500.0
2025-06-01,555.0
2025-07-01,572.0
2025-08-01,580.0
2025-09-01,594.0
2025-10-01,599.0
