date,value
1990-01-01,1187.0
1990-02-01,1244.0
1990-03-01,1167.0
1990-04-01,1089.0
1990-05-01,1217.0
1990-06-01,1570.0
1990-07-01,1607.0
1990-08-01,1643.0
1990-09-01,1569.0
1990-10-01,1708.0
1990-11-01,1894.0
1990-12-01,1865.0
1991-01-01,2159.0
1991-02-01,2324.0
1991-03-01,2342.0
1991-04-01,1966.0
1991-05-01,2243.0
1991-06-01,2439.0
1991-07-01,2440.0
1991-08-01,2444.0
1991-09-01,2306.0
1991-10-01,2442.0
1991-11-01,2498.0
1991-12-01,2614.0
1992-01-01,2993.0
1992-02-01,3397.0
1992-03-01,3243.0
1992-04-01,3017.0
1992-05-01,3196.0
1992-06-01,3412.0
1992-07-01,3402.0
1992-08-01,3033.0
1992-09-01,2936.0
1992-10-01,2859.0
1992-11-01,2802.0
1992-12-01,2605.0
1993-01-01,2842.0
1993-02-01,2945.0
1993-03-01,2573.0
1993-04-01,2490.0
1993-05-01,2499.0
1993-06-01,2781.0
1993-07-01,2555.0
1993-08-01,2516.0
1993-09-01,2246.0
1993-10-01,2317.0
1993-11-01,2100.0
1993-12-01,2006.0
1994-01-01,2146.0
1994-02-01,2193.0
1994-03-01,2121.0
1994-04-01,1991.0
1994-05-01,1923.0
1994-06-01,2151.0
1994-07-01,2215.0
1994-08-01,2031.0
1994-09-01,1968.0
1994-10-01,2203.0
1994-11-01,2126.0
1994-12-01,1967.0
1995-01-01,2263.0
1995-02-01,2245.0
1995-03-01,2182.0
1995-04-01,2229.0
1995-05-01,2285.0
1995-06-01,2622.0
1995-07-01,2556.0
1995-08-01,2309.0
1995-09-01,2059.0
1995-10-01,1939.0
1995-11-01,2008.0
1995-12-01,1779.0
1996-01-01,2008.0
1996-02-01,2247.0
1996-03-01,2212.0
1996-04-01,2069.0
1996-05-01,2040.0
1996-06-01,2262.0
1996-07-01,2327.0
1996-08-01,2050.0
1996-09-01,1858.0
1996-10-01,1900.0
1996-11-01,1989.0
1996-12-01,1898.0
1997-01-01,2493.0
1997-02-01,2566.0
1997-03-01,2458.0
1997-04-01,2150.0
1997-05-01,2107.0
1997-06-01,2444.0
1997-07-01,2331.0
1997-08-01,2302.0
1997-09-01,2059.0
1997-10-01,2222.0
1997-11-01,2266.0
1997-12-01,2151.0
1998-01-01,2289.0
1998-02-01,2079.0
1998-03-01,2077.0
1998-04-01,1827.0
1998-05-01,1855.0
1998-06-01,2123.0
1998-07-01,1906.0
1998-08-01,1775.0
1998-09-01,1604.0
1998-10-01,1531.0
1998-11-01,1480.0
1998-12-01,1334.0
1999-01-01,1620.0
1999-02-01,1799.0
1999-03-01,1650.0
1999-04-01,1567.0
1999-05-01,1544.0
1999-06-01,1773.0
1999-07-01,1742.0
1999-08-01,1546.0
1999-09-01,1200.0
1999-10-01,1265.0
1999-11-01,1216.0
1999-12-01,1149.0
2000-01-01,1848.0
2000-02-01,1976.0
2000-03-01,1933.0
2000-04-01,1649.0
2000-05-01,1972.0
2000-06-01,2172.0
2000-07-01,2198.0
2000-08-01,2137.0
2000-09-01,1771.0
2000-10-01,1820.0
2000-11-01,1904.0
2000-12-01,1750.0
2001-01-01,2049.0
2001-02-01,2197.0
2001-03-01,2125.0
2001-04-01,1865.0
2001-05-01,1891.0
2001-06-01,2335.0
2001-07-01,2285.0
2001-08-01,2268.0
2001-09-01,2120.0
2001-10-01,2335.0
2001-11-01,2290.0
2001-12-01,2176.0
2002-01-01,2602.0
2002-02-01,2692.0
2002-03-01,2577.0
2002-04-01,2307.0
2002-05-01,2259.0
2002-06-01,2637.0
2002-07-01,2582.0
2002-08-01,2532.0
2002-09-01,2101.0
2002-10-01,2139.0
2002-11-01,2240.0
2002-12-01,2129.0
2003-01-01,2483.0
2003-02-01,2622.0
2003-03-01,2497.0
2003-04-01,2244.0
2003-05-01,2387.0
2003-06-01,2750.0
2003-07-01,2682.0
2003-08-01,2446.0
2003-09-01,2181.0
2003-10-01,2243.0
2003-11-01,2300.0
2003-12-01,2166.0
2004-01-01,2573.0
2004-02-01,2491.0
2004-03-01,2510.0
2004-04-01,2212.0
2004-05-01,2303.0
2004-06-01,2723.0
2004-07-01,2782.0
2004-08-01,2543.0
2004-09-01,2182.0
2004-10-01,2335.0
2004-11-01,2389.0
2004-12-01,2276.0
2005-01-01,2641.0
2005-02-01,2807.0
2005-03-01,2708.0
2005-04-01,2488.0
2005-05-01,2564.0
2005-06-01,2845.0
2005-07-01,2796.0
2005-08-01,2505.0
2005-09-01,2231.0
2005-10-01,2241.0
2005-11-01,2320.0
2005-12-01,2074.0
2006-01-01,2282.0
2006-02-01,2309.0
2006-03-01,2193.0
2006-04-01,2174.0
2006-05-01,2255.0
2006-06-01,2774.0
2006-07-01,2903.0
2006-08-01,2590.0
2006-09-01,2239.0
2006-10-01,2231.0
2006-11-01,2303.0
2006-12-01,2116.0
2007-01-01,2493.0
2007-02-01,2399.0
2007-03-01,2205.0
2007-04-01,2073.0
2007-05-01,2117.0
2007-06-01,2552.0
2007-07-01,2501.0
2007-08-01,2219.0
2007-09-01,2093.0
2007-10-01,2085.0
2007-11-01,1970.0
2007-12-01,1921.0
2008-01-01,2215.0
2008-02-01,2267.0
2008-03-01,2321.0
2008-04-01,2135.0
2008-05-01,2546.0
2008-06-01,3060.0
2008-07-01,3334.0
2008-08-01,3323.0
2008-09-01,3127.0
2008-10-01,3385.0
2008-11-01,3384.0
2008-12-01,3608.0
2009-01-01,4220.0
2009-02-01,4536.0
2009-03-01,4444.0
2009-04-01,4186.0
2009-05-01,4464.0
2009-06-01,4932.0
2009-07-01,5075.0
2009-08-01,4941.0
2009-09-01,4816.0
2009-10-01,5084.0
2009-11-01,4969.0
2009-12-01,4920.0
2010-01-01,5813.0
2010-02-01,5776.0
2010-03-01,5638.0
2010-04-01,5252.0
2010-05-01,5305.0
2010-06-01,5643.0
2010-07-01,5872.0
2010-08-01,5761.0
2010-09-01,5403.0
2010-10-01,5350.0
2010-11-01,5351.0
2010-12-01,5107.0
2011-01-01,5437.0
2011-02-01,5358.0
2011-03-01,5298.0
2011-04-01,5014.0
2011-05-01,5212.0
2011-06-01,5651.0
2011-07-01,5790.0
2011-08-01,5722.0
2011-09-01,5455.0
2011-10-01,5280.0
2011-11-01,4951.0
2011-12-01,4924.0
2012-01-01,5263.0
2012-02-01,5400.0
2012-03-01,5311.0
2012-04-01,4947.0
2012-05-01,5142.0
2012-06-01,5646.0
2012-07-01,5781.0
2012-08-01,5508.0
2012-09-01,4996.0
2012-10-01,5107.0
2012-11-01,4952.0
2012-12-01,5053.0
2013-01-01,5551.0
2013-02-01,5481.0
2013-03-01,5297.0
2013-04-01,4977.0
2013-05-01,5241.0
2013-06-01,5677.0
2013-07-01,5582.0
2013-08-01,5343.0
2013-09-01,4966.0
2013-10-01,5426.0
2013-11-01,4691.0
2013-12-01,4336.0
2014-01-01,4724.0
2014-02-01,4854.0
2014-03-01,4804.0
2014-04-01,4226.0
2014-05-01,4538.0
2014-06-01,4825.0
2014-07-01,5156.0
2014-08-01,4923.0
2014-09-01,4302.0
2014-10-01,4277.0
2014-11-01,4192.0
2014-12-01,3953.0
2015-01-01,4400.0
2015-02-01,4266.0
2015-03-01,4037.0
2015-04-01,3730.0
2015-05-01,4088.0
2015-06-01,4258.0
2015-07-01,4411.0
2015-08-01,4142.0
2015-09-01,3767.0
2015-10-01,3876.0
2015-11-01,3654.0
2015-12-01,3384.0
2016-01-01,3639.0
2016-02-01,3646.0
2016-03-01,3551.0
2016-04-01,3174.0
2016-05-01,3095.0
2016-06-01,3621.0
2016-07-01,3836.0
2016-08-01,3694.0
2016-09-01,3273.0
2016-10-01,3458.0
2016-11-01,3194.0
2016-12-01,3059.0
2017-01-01,3515.0
2017-02-01,3532.0
2017-03-01,3325.0
2017-04-01,3188.0
2017-05-01,3123.0
2017-06-01,3725.0
2017-07-01,3782.0
2017-08-01,3679.0
2017-09-01,3176.0
2017-10-01,3288.0
2017-11-01,3276.0
2017-12-01,3111.0
2018-01-01,3592.0
2018-02-01,3639.0
2018-03-01,3496.0
2018-04-01,2986.0
2018-05-01,2995.0
2018-06-01,3615.0
2018-07-01,3734.0
2018-08-01,3578.0
2018-09-01,2976.0
2018-10-01,3018.0
2018-11-01,2841.0
2018-12-01,2887.0
2019-01-01,3887.0
2019-02-01,3314.0
2019-03-01,3192.0
2019-04-01,2635.0
2019-05-01,2727.0
2019-06-01,3290.0
2019-07-01,3623.0
2019-08-01,3496.0
2019-09-01,2794.0
2019-10-01,2864.0
2019-11-01,2762.0
2019-12-01,2639.0
2020-01-01,3139.0
2020-02-01,3167.0
2020-03-01,3884.0
2020-04-01,6985.0
2020-05-01,7653.0
2020-06-01,7204.0
2020-07-01,7150.0
2020-08-01,6282.0
2020-09-01,6045.0
2020-10-01,5606.0
2020-11-01,5392.0
2020-12-01,5403.0
2021-01-01,5494.0
2021-02-01,5351.0
2021-03-01,5191.0
2021-04-01,4786.0
2021-05-01,4694.0
2021-06-01,5208.0
2021-07-01,4857.0
2021-08-01,4624.0
2021-09-01,3782.0
2021-10-01,3545.0
2021-11-01,3237.0
2021-12-01,2618.0
2022-01-01,3219.0
2022-02-01,3092.0
2022-03-01,2924.0
2022-04-01,2437.0
2022-05-01,2525.0
2022-06-01,3048.0
2022-07-01,2965.0
2022-08-01,2963.0
2022-09-01,2355.0
2022-10-01,2480.0
2022-11-01,2168.0
2022-12-01,1881.0
2023-01-01,2279.0
2023-02-01,2202.0
2023-03-01,1878.0
2023-04-01,1348.0
2023-05-01,1529.0
2023-06-01,1887.0
2023-07-01,2025.0
2023-08-01,2184.0
2023-09-01,1981.0
2023-10-01,2244.0
2023-11-01,2085.0
2023-12-01,2148.0
2024-01-01,2658.0
2024-02-01,2849.0
2024-03-01,2729.0
2024-04-01,2282.0
2024-05-01,2409.0
2024-06-01,3141.0
2024-07-01,3343.0
2024-08-01,3299.0
2024-09-01,2716.0
2024-10-01,2885.0
2024-11-01,2850.0
2024-12-01,2535.0
2025-01-01,2734.0
2025-02-01,2999.0
2025-03-01,3021.0
2025-04-01,2804.0
2025-05-01,3106.0
2025-06-01,3515.0
2025-07-01,3713.0
2025-08-01,4217.0
