date,value
1990-01-01,15627.0
1990-02-01,15709.0
1990-03-01,15622.0
1990-04-01,15558.0
1990-05-01,15526.0
1990-06-01,15674.0
1990-07-01,16089.0
1990-08-01,16217.0
1990-09-01,15923.0
1990-10-01,15906.0
1990-11-01,15779.0
1990-12-01,15878.0
1991-01-01,15562.0
1991-02-01,15702.0
1991-03-01,15764.0
1991-04-01,15752.0
1991-05-01,15541.0
1991-06-01,16068.0
1991-07-01,15913.0
1991-08-01,15872.0
1991-09-01,15964.0
1991-10-01,15826.0
1991-11-01,15661.0
1991-12-01,15601.0
1992-01-01,14882.0
1992-02-01,15034.0
1992-03-01,15344.0
1992-04-01,14943.0
1992-05-01,15132.0
1992-06-01,15673.0
1992-07-01,15435.0
1992-08-01,15248.0
1992-09-01,15264.0
1992-10-01,15114.0
1992-11-01,14857.0
1992-12-01,14556.0
1993-01-01,15514.0
1993-02-01,15612.0
1993-03-01,15656.0
1993-04-01,15747.0
1993-05-01,15465.0
1993-06-01,16352.0
1993-07-01,15976.0
1993-08-01,15717.0
1993-09-01,15715.0
1993-10-01,15358.0
1993-11-01,15308.0
1993-12-01,15168.0
1994-01-01,14998.0
1994-02-01,14980.0
1994-03-01,15436.0
1994-04-01,15118.0
1994-05-01,15145.0
1994-06-01,15585.0
1994-07-01,15274.0
1994-08-01,15075.0
1994-09-01,15446.0
1994-10-01,15434.0
1994-11-01,15359.0
1994-12-01,15337.0
1995-01-01,15662.0
1995-02-01,15725.0
1995-03-01,15965.0
1995-04-01,15613.0
1995-05-01,15479.0
1995-06-01,16189.0
1995-07-01,15914.0
1995-08-01,15882.0
1995-09-01,15844.0
1995-10-01,15943.0
1995-11-01,15927.0
1995-12-01,15715.0
1996-01-01,15751.0
1996-02-01,15408.0
1996-03-01,15636.0
1996-04-01,15496.0
1996-05-01,15426.0
1996-06-01,15523.0
1996-07-01,15899.0
1996-08-01,15914.0
1996-09-01,15837.0
1996-10-01,15817.0
1996-11-01,15526.0
1996-12-01,15498.0
1997-01-01,15909.0
1997-02-01,15580.0
1997-03-01,15693.0
1997-04-01,15676.0
1997-05-01,15772.0
1997-06-01,15762.0
1997-07-01,16016.0
1997-08-01,15565.0
1997-09-01,15635.0
1997-10-01,15837.0
1997-11-01,15417.0
1997-12-01,15318.0
1998-01-01,16311.0
1998-02-01,16524.0
1998-03-01,16485.0
1998-04-01,16172.0
1998-05-01,16356.0
1998-06-01,16069.0
1998-07-01,16130.0
1998-08-01,15829.0
1998-09-01,15779.0
1998-10-01,15920.0
1998-11-01,15745.0
1998-12-01,15586.0
1999-01-01,15797.0
1999-02-01,15815.0
1999-03-01,15674.0
1999-04-01,15356.0
1999-05-01,15548.0
1999-06-01,15709.0
1999-07-01,15271.0
1999-08-01,15147.0
1999-09-01,15230.0
1999-10-01,15153.0
1999-11-01,15212.0
1999-12-01,14997.0
2000-01-01,15507.0
2000-02-01,15501.0
2000-03-01,15509.0
2000-04-01,15559.0
2000-05-01,15523.0
2000-06-01,15932.0
2000-07-01,15856.0
2000-08-01,15547.0
2000-09-01,15652.0
2000-10-01,15516.0
2000-11-01,15465.0
2000-12-01,15543.0
2001-01-01,16061.0
2001-02-01,16071.0
2001-03-01,16111.0
2001-04-01,16055.0
2001-05-01,16036.0
2001-06-01,16395.0
2001-07-01,16088.0
2001-08-01,16077.0
2001-09-01,16059.0
2001-10-01,16052.0
2001-11-01,15769.0
2001-12-01,16017.0
2002-01-01,16322.0
2002-02-01,16386.0
2002-03-01,16466.0
2002-04-01,16293.0
2002-05-01,16107.0
2002-06-01,16404.0
2002-07-01,16279.0
2002-08-01,16149.0
2002-09-01,16460.0
2002-10-01,16506.0
2002-11-01,16523.0
2002-12-01,16514.0
2003-01-01,16167.0
2003-02-01,15969.0
2003-03-01,15902.0
2003-04-01,16063.0
2003-05-01,16147.0
2003-06-01,16566.0
2003-07-01,16747.0
2003-08-01,16327.0
2003-09-01,16248.0
2003-10-01,16442.0
2003-11-01,16603.0
2003-12-01,16664.0
2004-01-01,16765.0
2004-02-01,16537.0
2004-03-01,16822.0
2004-04-01,16885.0
2004-05-01,17126.0
2004-06-01,17518.0
2004-07-01,17456.0
2004-08-01,17518.0
2004-09-01,17253.0
2004-10-01,17139.0
2004-11-01,16891.0
2004-12-01,16649.0
2005-01-01,16660.0
2005-02-01,16582.0
2005-03-01,16872.0
2005-04-01,17043.0
2005-05-01,17338.0
2005-06-01,17622.0
2005-07-01,17413.0
2005-08-01,17662.0
2005-09-01,17323.0
2005-10-01,17392.0
2005-11-01,16854.0
2005-12-01,16492.0
2006-01-01,16638.0
2006-02-01,16639.0
2006-03-01,16736.0
2006-04-01,16820.0
2006-05-01,17004.0
2006-06-01,17251.0
2006-07-01,17291.0
2006-08-01,17188.0
2006-09-01,17005.0
2006-10-01,17023.0
2006-11-01,17053.0
2006-12-01,17008.0
2007-01-01,16666.0
2007-02-01,16504.0
2007-03-01,16659.0
2007-04-01,16884.0
2007-05-01,17091.0
2007-06-01,17480.0
2007-07-01,17446.0
2007-08-01,16831.0
2007-09-01,16884.0
2007-10-01,16908.0
2007-11-01,16721.0
2007-12-01,16697.0
2008-01-01,16438.0
2008-02-01,16608.0
2008-03-01,16576.0
2008-04-01,16692.0
2008-05-01,16976.0
2008-06-01,17592.0
2008-07-01,17518.0
2008-08-01,17208.0
2008-09-01,17188.0
2008-10-01,17033.0
2008-11-01,16812.0
2008-12-01,16705.0
2009-01-01,16717.0
2009-02-01,16724.0
2009-03-01,16746.0
2009-04-01,16733.0
2009-05-01,17228.0
2009-06-01,17635.0
2009-07-01,17672.0
2009-08-01,17462.0
2009-09-01,17503.0
2009-10-01,17201.0
2009-11-01,16989.0
2009-12-01,16672.0
2010-01-01,16082.0
2010-02-01,16172.0
2010-03-01,16309.0
2010-04-01,16389.0
2010-05-01,16512.0
2010-06-01,16864.0
2010-07-01,17445.0
2010-08-01,17185.0
2010-09-01,16975.0
2010-10-01,16800.0
2010-11-01,16527.0
2010-12-01,16259.0
2011-01-01,15969.0
2011-02-01,16129.0
2011-03-01,16280.0
2011-04-01,16088.0
2011-05-01,16392.0
2011-06-01,17189.0
2011-07-01,17233.0
2011-08-01,16962.0
2011-09-01,16921.0
2011-10-01,16698.0
2011-11-01,16492.0
2011-12-01,16218.0
2012-01-01,15733.0
2012-02-01,15867.0
2012-03-01,16083.0
2012-04-01,15948.0
2012-05-01,16219.0
2012-06-01,17089.0
2012-07-01,17118.0
2012-08-01,16505.0
2012-09-01,16443.0
2012-10-01,16074.0
2012-11-01,15849.0
2012-12-01,15716.0
2013-01-01,15605.0
2013-02-01,15641.0
2013-03-01,15780.0
2013-04-01,15801.0
2013-05-01,16088.0
2013-06-01,16646.0
2013-07-01,16778.0
2013-08-01,16388.0
2013-09-01,16271.0
2013-10-01,16069.0
2013-11-01,15842.0
2013-12-01,15633.0
2014-01-01,15576.0
2014-02-01,15713.0
2014-03-01,16001.0
2014-04-01,15493.0
2014-05-01,15681.0
2014-06-01,16421.0
2014-07-01,16437.0
2014-08-01,16246.0
2014-09-01,16070.0
2014-10-01,15921.0
2014-11-01,15683.0
2014-12-01,15323.0
2015-01-01,15138.0
2015-02-01,15316.0
2015-03-01,15584.0
2015-04-01,15780.0
2015-05-01,16108.0
2015-06-01,16775.0
2015-07-01,16501.0
2015-08-01,16176.0
2015-09-01,16211.0
2015-10-01,16240.0
2015-11-01,15774.0
2015-12-01,15564.0
2016-01-01,15415.0
2016-02-01,15506.0
2016-03-01,15816.0
2016-04-01,15880.0
2016-05-01,15797.0
2016-06-01,16299.0
2016-07-01,16131.0
2016-08-01,15634.0
2016-09-01,15802.0
2016-10-01,15797.0
2016-11-01,15342.0
2016-12-01,15383.0
2017-01-01,15271.0
2017-02-01,15509.0
2017-03-01,15739.0
2017-04-01,15938.0
2017-05-01,15563.0
2017-06-01,15974.0
2017-07-01,15706.0
2017-08-01,15069.0
2017-09-01,15241.0
2017-10-01,15697.0
2017-11-01,15358.0
2017-12-01,15398.0
2018-01-01,15430.0
2018-02-01,15546.0
2018-03-01,15554.0
2018-04-01,15569.0
2018-05-01,15363.0
2018-06-01,15664.0
2018-07-01,15450.0
2018-08-01,15038.0
2018-09-01,15221.0
2018-10-01,15802.0
2018-11-01,15565.0
2018-12-01,15699.0
2019-01-01,15576.0
2019-02-01,15725.0
2019-03-01,15698.0
2019-04-01,16061.0
2019-05-01,15907.0
2019-06-01,16017.0
2019-07-01,15997.0
2019-08-01,15730.0
2019-09-01,15766.0
2019-10-01,16887.0
2019-11-01,16622.0
2019-12-01,16662.0
2020-01-01,16915.0
2020-02-01,16940.0
2020-03-01,17098.0
2020-04-01,16015.0
2020-05-01,15963.0
2020-06-01,15854.0
2020-07-01,15968.0
2020-08-01,15646.0
2020-09-01,15669.0
2020-10-01,16006.0
2020-11-01,15702.0
2020-12-01,15670.0
2021-01-01,15345.0
2021-02-01,15249.0
2021-03-01,15468.0
2021-04-01,15256.0
2021-05-01,15485.0
2021-06-01,15394.0
2021-07-01,15837.0
2021-08-01,15605.0
2021-09-01,15608.0
2021-10-01,15583.0
2021-11-01,15166.0
2021-12-01,14655.0
2022-01-01,14793.0
2022-02-01,14864.0
2022-03-01,15088.0
2022-04-01,14805.0
2022-05-01,15376.0
2022-06-01,15423.0
2022-07-01,15628.0
2022-08-01,15511.0
