date,value
1989-01-01,14.6
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,17.0
1994-01-01,
1995-01-01,15.7
1996-01-01,
1997-01-01,15.5
1998-01-01,15.0
1999-01-01,13.0
2000-01-01,13.4
2001-01-01,13.0
2002-01-01,13.5
2003-01-01,13.6
2004-01-01,13.9
2005-01-01,14.4
2006-01-01,14.3
2007-01-01,13.7
2008-01-01,14.3
2009-01-01,15.4
2010-01-01,16.2
2011-01-01,17.5
2012-01-01,18.4
2013-01-01,17.7
2014-01-01,17.5
2015-01-01,18.1
2016-01-01,17.4
2017-01-01,15.7
2018-01-01,15.4
2019-01-01,16.4
2020-01-01,14.9
2021-01-01,15.0
2022-01-01,15.1
2023-01-01,15.7
