date,value
1990-01-01,174.0
1991-01-01,173.0
1992-01-01,119.0
1993-01-01,148.0
1994-01-01,126.0
1995-01-01,131.0
1996-01-01,114.0
1997-01-01,100.0
1998-01-01,116.0
1999-01-01,94.0
2000-01-01,109.0
2001-01-01,117.0
2002-01-01,179.0
2003-01-01,287.0
2004-01-01,423.0
2005-01-01,490.0
2006-01-01,400.0
2007-01-01,125.0
2008-01-01,249.0
2009-01-01,93.0
2010-01-01,156.0
2011-01-01,52.0
2012-01-01,79.0
2013-01-01,36.0
2014-01-01,27.0
2015-01-01,36.0
2016-01-01,81.0
2017-01-01,43.0
2018-01-01,54.0
2019-01-01,54.0
2020-01-01,58.0
2021-01-01,69.0
2022-01-01,74.0
2023-01-01,69.0
2024-01-01,79.0
