date,value
1990-01-01,1398.0
1990-02-01,1595.0
1990-03-01,1433.0
1990-04-01,1142.0
1990-05-01,939.0
1990-06-01,870.0
1990-07-01,896.0
1990-08-01,889.0
1990-09-01,898.0
1990-10-01,948.0
1990-11-01,1168.0
1990-12-01,1419.0
1991-01-01,1944.0
1991-02-01,2035.0
1991-03-01,1987.0
1991-04-01,1366.0
1991-05-01,1233.0
1991-06-01,1486.0
1991-07-01,1130.0
1991-08-01,1054.0
1991-09-01,1093.0
1991-10-01,1223.0
1991-11-01,1364.0
1991-12-01,1558.0
1992-01-01,2186.0
1992-02-01,2437.0
1992-03-01,2397.0
1992-04-01,1943.0
1992-05-01,1712.0
1992-06-01,1725.0
1992-07-01,1799.0
1992-08-01,1709.0
1992-09-01,1610.0
1992-10-01,1480.0
1992-11-01,1572.0
1992-12-01,1752.0
1993-01-01,2182.0
1993-02-01,2198.0
1993-03-01,2075.0
1993-04-01,2003.0
1993-05-01,1446.0
1993-06-01,1412.0
1993-07-01,1327.0
1993-08-01,1253.0
1993-09-01,1190.0
1993-10-01,1217.0
1993-11-01,1294.0
1993-12-01,1477.0
1994-01-01,1984.0
1994-02-01,1965.0
1994-03-01,1962.0
1994-04-01,1733.0
1994-05-01,1244.0
1994-06-01,1132.0
1994-07-01,1198.0
1994-08-01,996.0
1994-09-01,1073.0
1994-10-01,1024.0
1994-11-01,1028.0
1994-12-01,1330.0
1995-01-01,1924.0
1995-02-01,2003.0
1995-03-01,1949.0
1995-04-01,1758.0
1995-05-01,1391.0
1995-06-01,1461.0
1995-07-01,1429.0
1995-08-01,1275.0
1995-09-01,1192.0
1995-10-01,1160.0
1995-11-01,1283.0
1995-12-01,1639.0
1996-01-01,2215.0
1996-02-01,2144.0
1996-03-01,2405.0
1996-04-01,2172.0
1996-05-01,1808.0
1996-06-01,1437.0
1996-07-01,1511.0
1996-08-01,1255.0
1996-09-01,1202.0
1996-10-01,1110.0
1996-11-01,1198.0
1996-12-01,1569.0
1997-01-01,2230.0
1997-02-01,2213.0
1997-03-01,2030.0
1997-04-01,1990.0
1997-05-01,1475.0
1997-06-01,1437.0
1997-07-01,1682.0
1997-08-01,1233.0
1997-09-01,1081.0
1997-10-01,1183.0
1997-11-01,1089.0
1997-12-01,1454.0
1998-01-01,2029.0
1998-02-01,2131.0
1998-03-01,2137.0
1998-04-01,1634.0
1998-05-01,1770.0
1998-06-01,1413.0
1998-07-01,1168.0
1998-08-01,1016.0
1998-09-01,951.0
1998-10-01,1066.0
1998-11-01,1059.0
1998-12-01,1269.0
1999-01-01,1547.0
1999-02-01,1588.0
1999-03-01,1504.0
1999-04-01,1219.0
1999-05-01,1227.0
1999-06-01,1014.0
1999-07-01,918.0
1999-08-01,816.0
1999-09-01,768.0
1999-10-01,742.0
1999-11-01,862.0
1999-12-01,977.0
2000-01-01,956.0
2000-02-01,1000.0
2000-03-01,983.0
2000-04-01,739.0
2000-05-01,742.0
2000-06-01,782.0
2000-07-01,734.0
2000-08-01,738.0
2000-09-01,688.0
2000-10-01,674.0
2000-11-01,736.0
2000-12-01,813.0
2001-01-01,1147.0
2001-02-01,1066.0
2001-03-01,1132.0
2001-04-01,1073.0
2001-05-01,1008.0
2001-06-01,1010.0
2001-07-01,930.0
2001-08-01,1105.0
2001-09-01,892.0
2001-10-01,972.0
2001-11-01,968.0
2001-12-01,1168.0
2002-01-01,1397.0
2002-02-01,1360.0
2002-03-01,1283.0
2002-04-01,1131.0
2002-05-01,1062.0
2002-06-01,1034.0
2002-07-01,887.0
2002-08-01,1003.0
2002-09-01,873.0
2002-10-01,809.0
2002-11-01,950.0
2002-12-01,1095.0
2003-01-01,1253.0
2003-02-01,1357.0
2003-03-01,1188.0
2003-04-01,1258.0
2003-05-01,1180.0
2003-06-01,1205.0
2003-07-01,1069.0
2003-08-01,1020.0
2003-09-01,1001.0
2003-10-01,981.0
2003-11-01,991.0
2003-12-01,1027.0
2004-01-01,1238.0
2004-02-01,1215.0
2004-03-01,1205.0
2004-04-01,1087.0
2004-05-01,975.0
2004-06-01,982.0
2004-07-01,931.0
2004-08-01,1035.0
2004-09-01,798.0
2004-10-01,818.0
2004-11-01,855.0
2004-12-01,957.0
2005-01-01,1076.0
2005-02-01,1149.0
2005-03-01,1053.0
2005-04-01,1008.0
2005-05-01,998.0
2005-06-01,922.0
2005-07-01,896.0
2005-08-01,853.0
2005-09-01,820.0
2005-10-01,776.0
2005-11-01,801.0
2005-12-01,890.0
2006-01-01,1033.0
2006-02-01,1128.0
2006-03-01,1006.0
2006-04-01,879.0
2006-05-01,987.0
2006-06-01,980.0
2006-07-01,986.0
2006-08-01,954.0
2006-09-01,944.0
2006-10-01,868.0
2006-11-01,894.0
2006-12-01,940.0
2007-01-01,1096.0
2007-02-01,1097.0
2007-03-01,927.0
2007-04-01,1008.0
2007-05-01,950.0
2007-06-01,1017.0
2007-07-01,1003.0
2007-08-01,939.0
2007-09-01,902.0
2007-10-01,886.0
2007-11-01,873.0
2007-12-01,959.0
2008-01-01,1100.0
2008-02-01,1111.0
2008-03-01,1085.0
2008-04-01,1004.0
2008-05-01,994.0
2008-06-01,1089.0
2008-07-01,1087.0
2008-08-01,1131.0
2008-09-01,1127.0
2008-10-01,1196.0
2008-11-01,1403.0
2008-12-01,1545.0
2009-01-01,1792.0
2009-02-01,1777.0
2009-03-01,1773.0
2009-04-01,1613.0
2009-05-01,1824.0
2009-06-01,1801.0
2009-07-01,1942.0
2009-08-01,1926.0
2009-09-01,1875.0
2009-10-01,1905.0
2009-11-01,1978.0
