date,value
1976-01-01,28.39
1977-01-01,31.34
1978-01-01,35.75
1979-01-01,39.01
1980-01-01,43.55
1981-01-01,45.79
1982-01-01,45.45
1983-01-01,48.06
1984-01-01,49.85
1985-01-01,53.72
1986-01-01,56.89
1987-01-01,62.6
1988-01-01,73.23
1989-01-01,82.78
1990-01-01,86.84
1991-01-01,88.22
1992-01-01,88.47
1993-01-01,88.73
1994-01-01,88.35
1995-01-01,89.35
1996-01-01,90.16
1997-01-01,90.7
1998-01-01,93.03
1999-01-01,95.2
2000-01-01,100.0
2001-01-01,108.24
2002-01-01,119.52
2003-01-01,129.74
2004-01-01,153.76
2005-01-01,188.75
2006-01-01,207.2
2007-01-01,204.52
2008-01-01,187.14
2009-01-01,163.62
2010-01-01,153.75
2011-01-01,147.81
2012-01-01,145.2
2013-01-01,149.08
2014-01-01,156.25
2015-01-01,159.6
2016-01-01,163.24
2017-01-01,169.43
2018-01-01,176.11
2019-01-01,180.82
2020-01-01,185.39
2021-01-01,205.63
2022-01-01,234.87
2023-01-01,248.01
2024-01-01,267.0
