date,value
2016-07-01,349900.0
2016-08-01,347225.0
2016-09-01,351815.0
2016-10-01,359999.0
2016-11-01,359998.0
2016-12-01,355900.0
2017-01-01,360973.0
2017-02-01,366616.0
2017-03-01,372400.0
2017-04-01,375000.0
2017-05-01,379263.0
2017-06-01,381445.0
2017-07-01,382920.0
2017-08-01,375000.0
2017-09-01,374900.0
2017-10-01,375886.0
2017-11-01,374900.0
2017-12-01,379900.0
2018-01-01,379995.0
2018-02-01,392000.0
2018-03-01,399500.0
2018-04-01,399900.0
2018-05-01,404000.0
2018-06-01,411417.0
2018-07-01,399990.0
2018-08-01,392495.0
2018-09-01,389900.0
2018-10-01,385000.0
2018-11-01,389900.0
2018-12-01,389000.0
2019-01-01,394945.0
2019-02-01,399900.0
2019-03-01,399957.0
2019-04-01,399900.0
2019-05-01,399900.0
2019-06-01,399945.0
2019-07-01,399923.0
2019-08-01,398596.0
2019-09-01,396573.0
2019-10-01,395225.0
2019-11-01,394990.0
2019-12-01,397223.0
2020-01-01,394968.0
2020-02-01,400000.0
2020-03-01,409945.0
2020-04-01,411944.0
2020-05-01,425000.0
2020-06-01,408900.0
2020-07-01,401495.0
2020-08-01,413485.0
2020-09-01,399900.0
2020-10-01,405000.0
2020-11-01,399986.0
2020-12-01,404650.0
2021-01-01,411995.0
2021-02-01,412998.0
2021-03-01,423618.0
2021-04-01,427759.0
2021-05-01,450554.0
2021-06-01,469309.0
2021-07-01,454900.0
2021-08-01,450000.0
2021-09-01,446000.0
2021-10-01,461650.0
2021-11-01,484499.0
2021-12-01,495300.0
2022-01-01,497237.0
2022-02-01,499699.0
2022-03-01,501092.0
2022-04-01,499900.0
2022-05-01,489900.0
2022-06-01,499450.0
2022-07-01,505000.0
2022-08-01,490000.0
2022-09-01,517220.0
2022-10-01,500000.0
2022-11-01,499948.0
2022-12-01,489398.0
2023-01-01,499923.0
2023-02-01,517474.0
2023-03-01,537498.0
2023-04-01,550000.0
2023-05-01,556250.0
2023-06-01,562945.0
2023-07-01,579600.0
2023-08-01,560245.0
2023-09-01,561995.0
2023-10-01,549995.0
2023-11-01,545000.0
2023-12-01,550000.0
2024-01-01,570725.0
2024-02-01,558750.0
2024-03-01,574945.0
2024-04-01,569970.0
2024-05-01,592623.0
2024-06-01,585000.0
2024-07-01,582243.0
2024-08-01,550000.0
2024-09-01,546450.0
2024-10-01,507495.0
2024-11-01,499900.0
2024-12-01,510220.0
2025-01-01,525563.0
2025-02-01,539000.0
2025-03-01,549900.0
2025-04-01,556975.0
2025-05-01,552000.0
2025-06-01,548475.0
2025-07-01,544925.0
2025-08-01,525000.0
2025-09-01,527475.0
2025-10-01,525000.0
