date,value
1990-01-01,2127.0
1991-01-01,1763.0
1992-01-01,2208.0
1993-01-01,2552.0
1994-01-01,1891.0
1995-01-01,1525.0
1996-01-01,1669.0
1997-01-01,1798.0
1998-01-01,1903.0
1999-01-01,2667.0
2000-01-01,2747.0
2001-01-01,1983.0
2002-01-01,1578.0
2003-01-01,1837.0
2004-01-01,1773.0
2005-01-01,1872.0
2006-01-01,1300.0
2007-01-01,1288.0
2008-01-01,619.0
2009-01-01,839.0
2010-01-01,939.0
2011-01-01,644.0
2012-01-01,1004.0
2013-01-01,1220.0
2014-01-01,1311.0
2015-01-01,1303.0
2016-01-01,1906.0
2017-01-01,1893.0
2018-01-01,2000.0
2019-01-01,2407.0
2020-01-01,2577.0
2021-01-01,2803.0
2022-01-01,2566.0
2023-01-01,1646.0
2024-01-01,1562.0
