date,value
2001-01-01,8807787.0
2002-01-01,9456089.0
2003-01-01,9793128.0
2004-01-01,10203897.0
2005-01-01,10577427.0
2006-01-01,10758532.0
2007-01-01,11225532.0
2008-01-01,11220130.0
2009-01-01,11400522.0
2010-01-01,12065317.0
2011-01-01,12288278.0
2012-01-01,12170156.0
2013-01-01,12386002.0
2014-01-01,12846283.0
2015-01-01,12924134.0
2016-01-01,13212871.0
2017-01-01,13461065.0
2018-01-01,13829488.0
2019-01-01,14087214.0
2020-01-01,13480352.0
2021-01-01,14346344.0
2022-01-01,14677223.0
2023-01-01,15401837.0
