date,value
1990-01-01,3117.0
1990-02-01,3155.0
1990-03-01,2507.0
1990-04-01,2193.0
1990-05-01,2288.0
1990-06-01,2619.0
1990-07-01,3262.0
1990-08-01,3852.0
1990-09-01,3885.0
1990-10-01,3793.0
1990-11-01,4364.0
1990-12-01,4517.0
1991-01-01,5922.0
1991-02-01,5972.0
1991-03-01,5463.0
1991-04-01,4457.0
1991-05-01,4411.0
1991-06-01,4398.0
1991-07-01,4238.0
1991-08-01,3935.0
1991-09-01,3736.0
1991-10-01,3859.0
1991-11-01,4179.0
1991-12-01,4649.0
1992-01-01,6337.0
1992-02-01,6912.0
1992-03-01,5638.0
1992-04-01,4551.0
1992-05-01,4350.0
1992-06-01,4413.0
1992-07-01,4345.0
1992-08-01,4384.0
1992-09-01,4253.0
1992-10-01,3957.0
1992-11-01,4096.0
1992-12-01,4343.0
1993-01-01,5744.0
1993-02-01,5700.0
1993-03-01,5311.0
1993-04-01,4321.0
1993-05-01,3718.0
1993-06-01,3951.0
1993-07-01,4113.0
1993-08-01,3753.0
1993-09-01,3032.0
1993-10-01,3119.0
1993-11-01,3093.0
1993-12-01,3082.0
1994-01-01,5044.0
1994-02-01,5259.0
1994-03-01,4923.0
1994-04-01,3227.0
1994-05-01,3139.0
1994-06-01,3409.0
1994-07-01,3354.0
1994-08-01,3640.0
1994-09-01,3349.0
1994-10-01,3611.0
1994-11-01,3409.0
1994-12-01,3201.0
1995-01-01,4812.0
1995-02-01,5124.0
1995-03-01,4689.0
1995-04-01,4094.0
1995-05-01,4069.0
1995-06-01,4051.0
1995-07-01,4251.0
1995-08-01,4048.0
1995-09-01,3103.0
1995-10-01,2727.0
1995-11-01,2928.0
1995-12-01,2615.0
1996-01-01,5297.0
1996-02-01,4653.0
1996-03-01,3723.0
1996-04-01,2799.0
1996-05-01,2833.0
1996-06-01,2988.0
1996-07-01,3007.0
1996-08-01,3061.0
1996-09-01,2774.0
1996-10-01,2822.0
1996-11-01,2758.0
1996-12-01,2878.0
1997-01-01,4673.0
1997-02-01,4745.0
1997-03-01,4352.0
1997-04-01,3472.0
1997-05-01,3443.0
1997-06-01,3585.0
1997-07-01,3430.0
1997-08-01,3555.0
1997-09-01,2977.0
1997-10-01,3066.0
1997-11-01,2781.0
1997-12-01,2837.0
1998-01-01,3885.0
1998-02-01,3987.0
1998-03-01,3667.0
1998-04-01,2356.0
1998-05-01,2547.0
1998-06-01,2615.0
1998-07-01,2466.0
1998-08-01,2476.0
1998-09-01,2365.0
1998-10-01,2130.0
1998-11-01,2054.0
1998-12-01,1769.0
1999-01-01,2950.0
1999-02-01,3153.0
1999-03-01,2625.0
1999-04-01,1828.0
1999-05-01,1837.0
1999-06-01,2049.0
1999-07-01,2118.0
1999-08-01,1980.0
1999-09-01,1865.0
1999-10-01,1878.0
1999-11-01,1751.0
1999-12-01,1583.0
2000-01-01,3078.0
2000-02-01,3315.0
2000-03-01,3002.0
2000-04-01,2530.0
2000-05-01,3027.0
2000-06-01,3266.0
2000-07-01,3293.0
2000-08-01,3149.0
2000-09-01,2725.0
2000-10-01,2800.0
2000-11-01,2895.0
2000-12-01,2625.0
2001-01-01,3508.0
2001-02-01,3589.0
2001-03-01,3398.0
2001-04-01,3048.0
2001-05-01,3100.0
2001-06-01,3799.0
2001-07-01,3849.0
2001-08-01,3814.0
2001-09-01,3692.0
2001-10-01,4013.0
2001-11-01,3991.0
2001-12-01,3816.0
2002-01-01,4689.0
2002-02-01,4753.0
2002-03-01,4413.0
2002-04-01,3898.0
2002-05-01,3765.0
2002-06-01,4316.0
2002-07-01,4166.0
2002-08-01,3966.0
2002-09-01,3461.0
2002-10-01,3457.0
2002-11-01,3575.0
2002-12-01,3501.0
2003-01-01,4486.0
2003-02-01,4651.0
2003-03-01,4421.0
2003-04-01,3911.0
2003-05-01,4028.0
2003-06-01,4567.0
2003-07-01,4350.0
2003-08-01,3821.0
2003-09-01,3557.0
2003-10-01,3688.0
2003-11-01,3717.0
2003-12-01,3558.0
2004-01-01,4363.0
2004-02-01,4312.0
2004-03-01,4297.0
2004-04-01,3648.0
2004-05-01,3773.0
2004-06-01,4421.0
2004-07-01,4403.0
2004-08-01,3923.0
2004-09-01,3504.0
2004-10-01,3689.0
2004-11-01,3730.0
2004-12-01,3514.0
2005-01-01,4222.0
2005-02-01,4520.0
2005-03-01,4296.0
2005-04-01,3702.0
2005-05-01,3725.0
2005-06-01,4232.0
2005-07-01,4214.0
2005-08-01,3806.0
2005-09-01,3376.0
2005-10-01,3360.0
2005-11-01,3527.0
2005-12-01,2990.0
2006-01-01,3838.0
2006-02-01,3961.0
2006-03-01,3652.0
2006-04-01,3478.0
2006-05-01,3720.0
2006-06-01,4459.0
2006-07-01,4565.0
2006-08-01,4112.0
2006-09-01,3735.0
2006-10-01,3750.0
2006-11-01,3874.0
2006-12-01,3521.0
2007-01-01,4306.0
2007-02-01,4372.0
2007-03-01,3742.0
2007-04-01,3275.0
2007-05-01,3351.0
2007-06-01,3972.0
2007-07-01,3854.0
2007-08-01,3385.0
2007-09-01,3334.0
2007-10-01,3318.0
2007-11-01,3083.0
2007-12-01,3099.0
2008-01-01,3799.0
2008-02-01,3889.0
2008-03-01,3859.0
2008-04-01,3440.0
2008-05-01,4091.0
2008-06-01,4719.0
2008-07-01,4929.0
2008-08-01,4930.0
2008-09-01,4928.0
2008-10-01,5405.0
2008-11-01,5446.0
2008-12-01,5987.0
2009-01-01,7359.0
2009-02-01,7992.0
2009-03-01,7892.0
2009-04-01,7337.0
2009-05-01,7870.0
2009-06-01,8520.0
2009-07-01,8518.0
2009-08-01,7932.0
2009-09-01,8084.0
2009-10-01,8478.0
2009-11-01,8195.0
2009-12-01,8332.0
2010-01-01,9895.0
2010-02-01,9868.0
2010-03-01,9456.0
2010-04-01,8691.0
2010-05-01,8839.0
2010-06-01,9216.0
2010-07-01,9279.0
2010-08-01,8990.0
2010-09-01,8618.0
2010-10-01,8448.0
2010-11-01,8647.0
2010-12-01,8253.0
2011-01-01,8883.0
2011-02-01,8810.0
2011-03-01,8529.0
2011-04-01,7995.0
2011-05-01,8262.0
2011-06-01,8963.0
2011-07-01,8715.0
2011-08-01,8516.0
