date,value
1990-01-01,98345.0
1990-02-01,97912.0
1990-03-01,97797.0
1990-04-01,97116.0
1990-05-01,97744.0
1990-06-01,98520.0
1990-07-01,100149.0
1990-08-01,98437.0
1990-09-01,96721.0
1990-10-01,97272.0
1990-11-01,97686.0
1990-12-01,97390.0
1991-01-01,98419.0
1991-02-01,99811.0
1991-03-01,99983.0
1991-04-01,99994.0
1991-05-01,99263.0
1991-06-01,100635.0
1991-07-01,101907.0
1991-08-01,100404.0
1991-09-01,98998.0
1991-10-01,99657.0
1991-11-01,99914.0
1991-12-01,100263.0
1992-01-01,103105.0
1992-02-01,102896.0
1992-03-01,103242.0
1992-04-01,102521.0
1992-05-01,102816.0
1992-06-01,104568.0
1992-07-01,105954.0
1992-08-01,104846.0
1992-09-01,102710.0
1992-10-01,104286.0
1992-11-01,103590.0
1992-12-01,103309.0
1993-01-01,103789.0
1993-02-01,103751.0
1993-03-01,104221.0
1993-04-01,102908.0
1993-05-01,103715.0
1993-06-01,105113.0
1993-07-01,106820.0
1993-08-01,105835.0
1993-09-01,103672.0
1993-10-01,104754.0
1993-11-01,104757.0
1993-12-01,104918.0
1994-01-01,106047.0
1994-02-01,106429.0
1994-03-01,106236.0
1994-04-01,104917.0
1994-05-01,105853.0
1994-06-01,107168.0
1994-07-01,109520.0
1994-08-01,107403.0
1994-09-01,106236.0
1994-10-01,106906.0
1994-11-01,107025.0
1994-12-01,107029.0
1995-01-01,108441.0
1995-02-01,108972.0
1995-03-01,108910.0
1995-04-01,108764.0
1995-05-01,108654.0
1995-06-01,109795.0
1995-07-01,111157.0
1995-08-01,109116.0
1995-09-01,107686.0
1995-10-01,108373.0
1995-11-01,108380.0
1995-12-01,107809.0
1996-01-01,109581.0
1996-02-01,110376.0
1996-03-01,111022.0
1996-04-01,110183.0
1996-05-01,111426.0
1996-06-01,112036.0
1996-07-01,114758.0
1996-08-01,112278.0
1996-09-01,111536.0
1996-10-01,112594.0
1996-11-01,111913.0
1996-12-01,111117.0
1997-01-01,113153.0
1997-02-01,113431.0
1997-03-01,113987.0
1997-04-01,113018.0
1997-05-01,113844.0
1997-06-01,114613.0
1997-07-01,116690.0
1997-08-01,114469.0
1997-09-01,112490.0
1997-10-01,112794.0
1997-11-01,113284.0
1997-12-01,113332.0
1998-01-01,113903.0
1998-02-01,113679.0
1998-03-01,114390.0
1998-04-01,112476.0
1998-05-01,113138.0
1998-06-01,114304.0
1998-07-01,115813.0
1998-08-01,114022.0
1998-09-01,112162.0
1998-10-01,112945.0
1998-11-01,113002.0
1998-12-01,112727.0
1999-01-01,114068.0
1999-02-01,113908.0
1999-03-01,114363.0
1999-04-01,113334.0
1999-05-01,113948.0
1999-06-01,114861.0
1999-07-01,117362.0
1999-08-01,114923.0
1999-09-01,113305.0
1999-10-01,114417.0
1999-11-01,114345.0
1999-12-01,114242.0
2000-01-01,118268.0
2000-02-01,118510.0
2000-03-01,119098.0
2000-04-01,118876.0
2000-05-01,119218.0
2000-06-01,120539.0
2000-07-01,121613.0
2000-08-01,120338.0
2000-09-01,119436.0
2000-10-01,120727.0
2000-11-01,120870.0
2000-12-01,121383.0
2001-01-01,121647.0
2001-02-01,121516.0
2001-03-01,122230.0
2001-04-01,121031.0
2001-05-01,121356.0
2001-06-01,122749.0
2001-07-01,124040.0
2001-08-01,121672.0
2001-09-01,121126.0
2001-10-01,122117.0
2001-11-01,122059.0
2001-12-01,122125.0
2002-01-01,122862.0
2002-02-01,123850.0
2002-03-01,124282.0
2002-04-01,123479.0
2002-05-01,124023.0
2002-06-01,125505.0
2002-07-01,126401.0
2002-08-01,124547.0
2002-09-01,123332.0
2002-10-01,123841.0
2002-11-01,123315.0
2002-12-01,123221.0
2003-01-01,124579.0
2003-02-01,124488.0
2003-03-01,125268.0
2003-04-01,124755.0
2003-05-01,124937.0
2003-06-01,125929.0
2003-07-01,126425.0
2003-08-01,125182.0
2003-09-01,124330.0
2003-10-01,125146.0
2003-11-01,125303.0
2003-12-01,125277.0
2004-01-01,125892.0
2004-02-01,125375.0
2004-03-01,125856.0
2004-04-01,125064.0
2004-05-01,125183.0
2004-06-01,126685.0
2004-07-01,128094.0
2004-08-01,126126.0
2004-09-01,125213.0
2004-10-01,126232.0
2004-11-01,126642.0
2004-12-01,126347.0
2005-01-01,127486.0
2005-02-01,127725.0
2005-03-01,128383.0
2005-04-01,128404.0
2005-05-01,129209.0
2005-06-01,131132.0
2005-07-01,132747.0
2005-08-01,130932.0
2005-09-01,130087.0
2005-10-01,131426.0
2005-11-01,130812.0
2005-12-01,131379.0
2006-01-01,131522.0
2006-02-01,131802.0
2006-03-01,132793.0
2006-04-01,132936.0
2006-05-01,133555.0
2006-06-01,134911.0
2006-07-01,136467.0
2006-08-01,134730.0
2006-09-01,133516.0
2006-10-01,134804.0
2006-11-01,134830.0
2006-12-01,134944.0
2007-01-01,132724.0
2007-02-01,132307.0
2007-03-01,133134.0
2007-04-01,132128.0
2007-05-01,132603.0
2007-06-01,134326.0
2007-07-01,135792.0
2007-08-01,133991.0
2007-09-01,133578.0
2007-10-01,134180.0
2007-11-01,134262.0
2007-12-01,133921.0
2008-01-01,134153.0
2008-02-01,133565.0
2008-03-01,134838.0
2008-04-01,134877.0
2008-05-01,135448.0
2008-06-01,136702.0
2008-07-01,137990.0
2008-08-01,136332.0
2008-09-01,135198.0
2008-10-01,136690.0
2008-11-01,136367.0
2008-12-01,136276.0
2009-01-01,135512.0
2009-02-01,135568.0
2009-03-01,136218.0
2009-04-01,136268.0
2009-05-01,136454.0
2009-06-01,137915.0
2009-07-01,138498.0
2009-08-01,136863.0
2009-09-01,135471.0
2009-10-01,136142.0
2009-11-01,135953.0
2009-12-01,135420.0
2010-01-01,132201.0
2010-02-01,131860.0
2010-03-01,133508.0
2010-04-01,133380.0
2010-05-01,133246.0
2010-06-01,134217.0
2010-07-01,134893.0
2010-08-01,134363.0
2010-09-01,133089.0
2010-10-01,133585.0
2010-11-01,133267.0
2010-12-01,133120.0
2011-01-01,132447.0
2011-02-01,132555.0
2011-03-01,133782.0
2011-04-01,133367.0
2011-05-01,133834.0
2011-06-01,134808.0
2011-07-01,135407.0
2011-08-01,134526.0
2011-09-01,133986.0
2011-10-01,134703.0
2011-11-01,134248.0
2011-12-01,134429.0
2012-01-01,134027.0
2012-02-01,134724.0
2012-03-01,135592.0
2012-04-01,134954.0
2012-05-01,135618.0
2012-06-01,137029.0
2012-07-01,138020.0
2012-08-01,136448.0
2012-09-01,135969.0
2012-10-01,137084.0
2012-11-01,136253.0
2012-12-01,136531.0
2013-01-01,135991.0
2013-02-01,136199.0
2013-03-01,136857.0
2013-04-01,136429.0
2013-05-01,136997.0
2013-06-01,138351.0
2013-07-01,138522.0
2013-08-01,136709.0
2013-09-01,135946.0
2013-10-01,135499.0
2013-11-01,135249.0
2013-12-01,134596.0
2014-01-01,134080.0
2014-02-01,134725.0
2014-03-01,135872.0
2014-04-01,135554.0
2014-05-01,136025.0
2014-06-01,137279.0
2014-07-01,138242.0
2014-08-01,136966.0
2014-09-01,135894.0
2014-10-01,136790.0
2014-11-01,136261.0
2014-12-01,135841.0
2015-01-01,135217.0
2015-02-01,135554.0
2015-03-01,136529.0
2015-04-01,136590.0
2015-05-01,137626.0
2015-06-01,138376.0
2015-07-01,139081.0
2015-08-01,137638.0
2015-09-01,136129.0
2015-10-01,137372.0
2015-11-01,136895.0
2015-12-01,136875.0
2016-01-01,133594.0
2016-02-01,133886.0
2016-03-01,134698.0
2016-04-01,134054.0
2016-05-01,134695.0
2016-06-01,135976.0
2016-07-01,136778.0
2016-08-01,135711.0
2016-09-01,135035.0
2016-10-01,135997.0
2016-11-01,135800.0
2016-12-01,135570.0
2017-01-01,135862.0
2017-02-01,136055.0
2017-03-01,137102.0
2017-04-01,137265.0
2017-05-01,137864.0
2017-06-01,139443.0
2017-07-01,140627.0
2017-08-01,139136.0
2017-09-01,138670.0
2017-10-01,138465.0
2017-11-01,138216.0
2017-12-01,137589.0
2018-01-01,138139.0
2018-02-01,138644.0
2018-03-01,139199.0
2018-04-01,138876.0
2018-05-01,139677.0
2018-06-01,141539.0
2018-07-01,142366.0
2018-08-01,140256.0
2018-09-01,139623.0
2018-10-01,140426.0
2018-11-01,140413.0
2018-12-01,140373.0
2019-01-01,141069.0
2019-02-01,141550.0
2019-03-01,142311.0
2019-04-01,141682.0
2019-05-01,142629.0
2019-06-01,144902.0
2019-07-01,146013.0
2019-08-01,144794.0
2019-09-01,143795.0
2019-10-01,144886.0
2019-11-01,144623.0
2019-12-01,144661.0
2020-01-01,144414.0
2020-02-01,145011.0
2020-03-01,145090.0
2020-04-01,137567.0
2020-05-01,136413.0
2020-06-01,138165.0
2020-07-01,138063.0
2020-08-01,137244.0
2020-09-01,136099.0
2020-10-01,136709.0
2020-11-01,136083.0
2020-12-01,135936.0
2021-01-01,136021.0
2021-02-01,136298.0
2021-03-01,137016.0
2021-04-01,136451.0
2021-05-01,136269.0
2021-06-01,138604.0
2021-07-01,139336.0
2021-08-01,138026.0
2021-09-01,136953.0
2021-10-01,137405.0
2021-11-01,137708.0
