date,value
1989-01-01,4.7
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,6.0
1994-01-01,
1995-01-01,5.6
1996-01-01,
1997-01-01,6.4
1998-01-01,5.9
1999-01-01,5.5
2000-01-01,5.2
2001-01-01,4.9
2002-01-01,5.5
2003-01-01,6.4
2004-01-01,6.6
2005-01-01,5.7
2006-01-01,4.7
2007-01-01,5.6
2008-01-01,5.7
2009-01-01,6.2
2010-01-01,6.9
2011-01-01,8.3
2012-01-01,7.9
2013-01-01,7.4
2014-01-01,8.0
2015-01-01,7.8
2016-01-01,7.2
2017-01-01,7.1
2018-01-01,7.0
2019-01-01,6.7
2020-01-01,6.2
2021-01-01,7.6
2022-01-01,7.3
2023-01-01,7.3
