date,value
2016-07-01,1268.0
2016-08-01,1237.0
2016-09-01,1187.0
2016-10-01,1208.0
2016-11-01,1095.0
2016-12-01,963.0
2017-01-01,888.0
2017-02-01,865.0
2017-03-01,875.0
2017-04-01,898.0
2017-05-01,978.0
2017-06-01,1011.0
2017-07-01,1010.0
2017-08-01,1008.0
2017-09-01,1007.0
2017-10-01,998.0
2017-11-01,980.0
2017-12-01,835.0
2018-01-01,740.0
2018-02-01,676.0
2018-03-01,671.0
2018-04-01,734.0
2018-05-01,769.0
2018-06-01,781.0
2018-07-01,839.0
2018-08-01,893.0
2018-09-01,929.0
2018-10-01,907.0
2018-11-01,847.0
2018-12-01,737.0
2019-01-01,672.0
2019-02-01,591.0
2019-03-01,629.0
2019-04-01,690.0
2019-05-01,752.0
2019-06-01,776.0
2019-07-01,790.0
2019-08-01,794.0
2019-09-01,809.0
2019-10-01,812.0
2019-11-01,751.0
2019-12-01,642.0
2020-01-01,563.0
2020-02-01,506.0
2020-03-01,496.0
2020-04-01,463.0
2020-05-01,443.0
2020-06-01,417.0
2020-07-01,365.0
2020-08-01,346.0
2020-09-01,354.0
2020-10-01,338.0
2020-11-01,316.0
2020-12-01,265.0
2021-01-01,196.0
2021-02-01,171.0
2021-03-01,174.0
2021-04-01,200.0
2021-05-01,216.0
2021-06-01,246.0
2021-07-01,269.0
2021-08-01,287.0
2021-09-01,287.0
2021-10-01,266.0
2021-11-01,233.0
2021-12-01,190.0
2022-01-01,155.0
2022-02-01,141.0
2022-03-01,150.0
2022-04-01,166.0
2022-05-01,200.0
2022-06-01,237.0
2022-07-01,277.0
2022-08-01,284.0
2022-09-01,278.0
2022-10-01,281.0
2022-11-01,263.0
2022-12-01,215.0
2023-01-01,181.0
2023-02-01,166.0
2023-03-01,157.0
2023-04-01,147.0
2023-05-01,170.0
2023-06-01,197.0
2023-07-01,197.0
2023-08-01,218.0
2023-09-01,251.0
2023-10-01,298.0
2023-11-01,270.0
2023-12-01,247.0
2024-01-01,228.0
2024-02-01,205.0
2024-03-01,224.0
2024-04-01,248.0
2024-05-01,266.0
2024-06-01,305.0
2024-07-01,310.0
2024-08-01,327.0
2024-09-01,351.0
2024-10-01,434.0
2024-11-01,398.0
2024-12-01,372.0
2025-01-01,359.0
2025-02-01,367.0
2025-03-01,381.0
2025-04-01,439.0
2025-05-01,453.0
2025-06-01,480.0
2025-07-01,468.0
2025-08-01,489.0
2025-09-01,542.0
2025-10-01,534.0
