date,value
2001-01-01,7997475.0
2002-01-01,8493854.0
2003-01-01,8876495.0
2004-01-01,9305871.0
2005-01-01,9574192.0
2006-01-01,9996949.0
2007-01-01,10193047.0
2008-01-01,10270068.0
2009-01-01,10374516.0
2010-01-01,10801382.0
2011-01-01,11418130.0
2012-01-01,11677427.0
2013-01-01,11940817.0
2014-01-01,11843983.0
2015-01-01,12117501.0
2016-01-01,12486539.0
2017-01-01,12891816.0
2018-01-01,13046785.0
2019-01-01,13282652.0
2020-01-01,13015931.0
2021-01-01,13506258.0
2022-01-01,13422457.0
2023-01-01,13702502.0
