date,value
1970-01-01,115.378
1971-01-01,120.4
1972-01-01,124.2
1973-01-01,129.3
1974-01-01,131.6
1975-01-01,133.8
1976-01-01,138.1
1977-01-01,141.1
1978-01-01,143.5
1979-01-01,145.6
1980-01-01,145.93
1981-01-01,147.954
1982-01-01,149.551
1983-01-01,150.703
1984-01-01,153.021
1985-01-01,154.338
1986-01-01,158.952
1987-01-01,164.667
1988-01-01,171.151
1989-01-01,176.5
1990-01-01,183.717
1991-01-01,188.814
1992-01-01,194.334
1993-01-01,196.26
1994-01-01,200.922
1995-01-01,204.414
1996-01-01,207.877
1997-01-01,211.366
1998-01-01,213.438
1999-01-01,216.408
2000-01-01,219.792
2001-01-01,222.532
2002-01-01,226.929
2003-01-01,230.72
2004-01-01,233.833
2005-01-01,237.07
2006-01-01,239.556
2007-01-01,239.943
2008-01-01,240.967
2009-01-01,241.748
2010-01-01,245.236
2011-01-01,246.746
2012-01-01,248.609
2013-01-01,248.961
2014-01-01,249.415
2015-01-01,249.69
2016-01-01,250.448
2017-01-01,251.948
2018-01-01,253.884
2019-01-01,255.594
2020-01-01,261.245
2021-01-01,263.348
2022-01-01,263.908
2023-01-01,264.771
2024-01-01,265.514
