date,value
2016-07-01,1189.0
2016-08-01,1188.0
2016-09-01,1187.0
2016-10-01,1154.0
2016-11-01,1045.0
2016-12-01,860.0
2017-01-01,765.0
2017-02-01,715.0
2017-03-01,772.0
2017-04-01,871.0
2017-05-01,1002.0
2017-06-01,1061.0
2017-07-01,1071.0
2017-08-01,1033.0
2017-09-01,1014.0
2017-10-01,982.0
2017-11-01,943.0
2017-12-01,745.0
2018-01-01,632.0
2018-02-01,592.0
2018-03-01,643.0
2018-04-01,759.0
2018-05-01,857.0
2018-06-01,926.0
2018-07-01,983.0
2018-08-01,980.0
2018-09-01,982.0
2018-10-01,985.0
2018-11-01,912.0
2018-12-01,792.0
2019-01-01,673.0
2019-02-01,627.0
2019-03-01,686.0
2019-04-01,806.0
2019-05-01,890.0
2019-06-01,931.0
2019-07-01,918.0
2019-08-01,893.0
2019-09-01,855.0
2019-10-01,818.0
2019-11-01,741.0
2019-12-01,569.0
2020-01-01,459.0
2020-02-01,431.0
2020-03-01,489.0
2020-04-01,519.0
2020-05-01,591.0
2020-06-01,573.0
2020-07-01,508.0
2020-08-01,442.0
2020-09-01,428.0
2020-10-01,403.0
2020-11-01,348.0
2020-12-01,293.0
2021-01-01,231.0
2021-02-01,194.0
2021-03-01,218.0
2021-04-01,242.0
2021-05-01,279.0
2021-06-01,320.0
2021-07-01,356.0
2021-08-01,359.0
2021-09-01,355.0
2021-10-01,325.0
2021-11-01,270.0
2021-12-01,180.0
2022-01-01,144.0
2022-02-01,138.0
2022-03-01,164.0
2022-04-01,189.0
2022-05-01,224.0
2022-06-01,280.0
2022-07-01,304.0
2022-08-01,351.0
2022-09-01,318.0
2022-10-01,318.0
2022-11-01,302.0
2022-12-01,247.0
2023-01-01,207.0
2023-02-01,177.0
2023-03-01,179.0
2023-04-01,179.0
2023-05-01,182.0
2023-06-01,201.0
2023-07-01,207.0
2023-08-01,209.0
2023-09-01,231.0
2023-10-01,226.0
2023-11-01,239.0
2023-12-01,207.0
2024-01-01,171.0
2024-02-01,173.0
2024-03-01,163.0
2024-04-01,194.0
2024-05-01,203.0
2024-06-01,222.0
2024-07-01,256.0
2024-08-01,254.0
2024-09-01,277.0
2024-10-01,329.0
2024-11-01,288.0
2024-12-01,205.0
2025-01-01,206.0
2025-02-01,217.0
2025-03-01,303.0
2025-04-01,366.0
2025-05-01,423.0
2025-06-01,449.0
2025-07-01,478.0
2025-08-01,511.0
2025-09-01,503.0
2025-10-01,497.0
