date,value
2001-01-01,15172353.0
2002-01-01,16049548.0
2003-01-01,16573356.0
2004-01-01,17467190.0
2005-01-01,18748397.0
2006-01-01,19633215.0
2007-01-01,19693154.0
2008-01-01,20408065.0
2009-01-01,20378686.0
2010-01-01,21693575.0
2011-01-01,22895357.0
2012-01-01,23709416.0
2013-01-01,23579480.0
2014-01-01,23868731.0
2015-01-01,24604948.0
2016-01-01,25687235.0
2017-01-01,26193676.0
2018-01-01,26775883.0
2019-01-01,27583329.0
2020-01-01,27352389.0
2021-01-01,29151362.0
2022-01-01,29094221.0
2023-01-01,30108718.0
