date,value
1970-01-01,62.394
1971-01-01,69.1
1972-01-01,76.6
1973-01-01,84.7
1974-01-01,88.8
1975-01-01,96.7
1976-01-01,102.6
1977-01-01,108.2
1978-01-01,112.9
1979-01-01,116.2
1980-01-01,118.572
1981-01-01,124.746
1982-01-01,127.942
1983-01-01,132.011
1984-01-01,137.511
1985-01-01,143.815
1986-01-01,152.265
1987-01-01,160.88
1988-01-01,170.72
1989-01-01,179.648
1990-01-01,189.367
1991-01-01,194.653
1992-01-01,199.491
1993-01-01,206.831
1994-01-01,212.975
1995-01-01,218.561
1996-01-01,223.681
1997-01-01,228.386
1998-01-01,235.038
1999-01-01,243.007
2000-01-01,249.638
2001-01-01,255.104
2002-01-01,259.254
2003-01-01,262.672
2004-01-01,265.063
2005-01-01,267.39
2006-01-01,270.249
2007-01-01,273.543
2008-01-01,276.583
2009-01-01,281.028
2010-01-01,288.618
2011-01-01,293.596
2012-01-01,299.223
2013-01-01,303.59
2014-01-01,306.989
2015-01-01,311.417
2016-01-01,315.581
2017-01-01,319.409
2018-01-01,322.895
2019-01-01,325.951
2020-01-01,332.821
2021-01-01,335.37
2022-01-01,336.439
2023-01-01,337.341
2024-01-01,339.668
