date,value
1990-01-01,2022.0
1990-02-01,2139.0
1990-03-01,1949.0
1990-04-01,2014.0
1990-05-01,2076.0
1990-06-01,2676.0
1990-07-01,3196.0
1990-08-01,3322.0
1990-09-01,3358.0
1990-10-01,3456.0
1990-11-01,3466.0
1990-12-01,3344.0
1991-01-01,3370.0
1991-02-01,3888.0
1991-03-01,3828.0
1991-04-01,3546.0
1991-05-01,4054.0
1991-06-01,4404.0
1991-07-01,4616.0
1991-08-01,4598.0
1991-09-01,4292.0
1991-10-01,4303.0
1991-11-01,4170.0
1991-12-01,4160.0
1992-01-01,4649.0
1992-02-01,4948.0
1992-03-01,4747.0
1992-04-01,4441.0
1992-05-01,4799.0
1992-06-01,5405.0
1992-07-01,5683.0
1992-08-01,5411.0
1992-09-01,4984.0
1992-10-01,4489.0
1992-11-01,4510.0
1992-12-01,4125.0
1993-01-01,4445.0
1993-02-01,4751.0
1993-03-01,4464.0
1993-04-01,4292.0
1993-05-01,4616.0
1993-06-01,5195.0
1993-07-01,5509.0
1993-08-01,5343.0
1993-09-01,4666.0
1993-10-01,4494.0
1993-11-01,3966.0
1993-12-01,3784.0
1994-01-01,4208.0
1994-02-01,4196.0
1994-03-01,4232.0
1994-04-01,4097.0
1994-05-01,4479.0
1994-06-01,5113.0
1994-07-01,5292.0
1994-08-01,5408.0
1994-09-01,4991.0
1994-10-01,4590.0
1994-11-01,4148.0
1994-12-01,3499.0
1995-01-01,4117.0
1995-02-01,3797.0
1995-03-01,3709.0
1995-04-01,3945.0
1995-05-01,4099.0
1995-06-01,4671.0
1995-07-01,5060.0
1995-08-01,4954.0
1995-09-01,4424.0
1995-10-01,4042.0
1995-11-01,4165.0
1995-12-01,3683.0
1996-01-01,3524.0
1996-02-01,3710.0
1996-03-01,3817.0
1996-04-01,3895.0
1996-05-01,4145.0
1996-06-01,4333.0
1996-07-01,4831.0
1996-08-01,4478.0
1996-09-01,4153.0
1996-10-01,4081.0
1996-11-01,4005.0
1996-12-01,3696.0
1997-01-01,3931.0
1997-02-01,3911.0
1997-03-01,3891.0
1997-04-01,3616.0
1997-05-01,3869.0
1997-06-01,4133.0
1997-07-01,4070.0
1997-08-01,4071.0
1997-09-01,3610.0
1997-10-01,3840.0
1997-11-01,3567.0
1997-12-01,3253.0
1998-01-01,3272.0
1998-02-01,3244.0
1998-03-01,3423.0
1998-04-01,2928.0
1998-05-01,3143.0
1998-06-01,3585.0
1998-07-01,3481.0
1998-08-01,3446.0
1998-09-01,3373.0
1998-10-01,3326.0
1998-11-01,3017.0
1998-12-01,2464.0
1999-01-01,2587.0
1999-02-01,2766.0
1999-03-01,2418.0
1999-04-01,2408.0
1999-05-01,2426.0
1999-06-01,2826.0
1999-07-01,2992.0
1999-08-01,2827.0
1999-09-01,2376.0
1999-10-01,2280.0
1999-11-01,2066.0
1999-12-01,1779.0
2000-01-01,3384.0
2000-02-01,3420.0
2000-03-01,3468.0
2000-04-01,3059.0
2000-05-01,3794.0
2000-06-01,4096.0
2000-07-01,4197.0
2000-08-01,4067.0
2000-09-01,3569.0
2000-10-01,3644.0
2000-11-01,3690.0
2000-12-01,3378.0
2001-01-01,3867.0
2001-02-01,4090.0
2001-03-01,4017.0
2001-04-01,3773.0
2001-05-01,3920.0
2001-06-01,4820.0
2001-07-01,4888.0
2001-08-01,5158.0
2001-09-01,4975.0
2001-10-01,5419.0
2001-11-01,5215.0
2001-12-01,5130.0
2002-01-01,5662.0
2002-02-01,5802.0
2002-03-01,5525.0
2002-04-01,5196.0
2002-05-01,5085.0
2002-06-01,5637.0
2002-07-01,5519.0
2002-08-01,5352.0
2002-09-01,4703.0
2002-10-01,4782.0
2002-11-01,4869.0
2002-12-01,4623.0
2003-01-01,5234.0
2003-02-01,5403.0
2003-03-01,5106.0
2003-04-01,4877.0
2003-05-01,5179.0
2003-06-01,5832.0
2003-07-01,5573.0
2003-08-01,5029.0
2003-09-01,4689.0
2003-10-01,4726.0
2003-11-01,4728.0
2003-12-01,4350.0
2004-01-01,5155.0
2004-02-01,4929.0
2004-03-01,5163.0
2004-04-01,4593.0
2004-05-01,4823.0
2004-06-01,5533.0
2004-07-01,5568.0
